before wait	after wait	rtt
1314	62067	67879
855	61532	68176
526	61359	68037
415	61369	68536
476	61255	67657
426	61298	66961
409	61158	67111
400	61184	67457
370	61138	68757
406	61239	67447
431	61208	67797
499	61244	67805
375	61178	67019
398	61275	68558
396	61182	67053
378	61164	67851
390	61460	67141
407	61187	68686
1153	61365	69589
388	61180	67686
374	61196	67892
401	61255	67778
1167	61215	67635
403	61213	68093
394	61227	68188
438	61212	69086
410	61207	68018
385	61154	67303
926	61547	67677
508	61217	68594
1158	61362	68636
387	61196	68445
378	61230	68457
417	61171	68635
380	61152	68160
385	61111	78723
433	61184	68075
431	61211	68549
404	61209	68125
400	61194	68336
399	61142	67671
410	61160	68369
392	61247	67604
403	61187	68160
438	61285	68395
410	61267	67908
384	61248	68036
379	61291	67508
378	61206	67273
374	61117	67791
409	61172	67729
419	61241	66880
374	61236	67728
381	61164	68859
403	61246	68074
376	61338	67124
387	61241	70385
381	61158	67579
375	61234	67920
390	61164	67984
417	61240	67633
393	61187	67783
380	61184	68201
430	61199	68776
423	61271	68439
381	61155	68128
1111	61217	67795
390	61211	69468
378	61309	68505
389	61168	68340
368	61154	69979
410	61176	67642
377	61152	67328
400	61214	67506
405	61457	68968
388	61168	67504
414	64555	67415
730	61416	67970
384	61219	68465
388	61192	68185
422	61172	67118
410	61234	69376
376	61143	67618
394	61119	68378
394	61212	68742
387	61236	68032
385	61154	68054
372	61140	68548
1118	61182	69853
1169	61276	68560
373	61144	66846
699	61469	67870
449	61226	67517
1158	61274	68434
386	61179	66790
427	61259	68050
377	61193	68039
1108	61298	68495
410	61202	69393
395	61171	67009
1120	61195	67512
492	61168	68395
389	61333	68200
376	61390	67269
396	61159	66753
380	61142	68569
387	61379	67396
411	61174	68135
428	61224	68211
418	61198	68256
400	61183	67990
394	61174	74194
434	61290	67597
407	61182	68617
398	61179	68277
380	61127	72645
421	61201	68486
393	61234	68604
406	61186	68687
386	61134	66977
379	61124	68518
1125	61279	67787
393	61211	68767
429	61289	68681
384	61148	68131
410	61332	68316
666	61336	68290
512	61253	67710
392	61218	69202
1137	61201	68463
419	61210	67520
495	61198	68009
517	61273	67171
578	61362	67979
387	61364	70605
387	61156	68545
388	61132	66937
410	61230	66837
383	61156	69302
392	61145	68345
380	61178	68278
400	61152	68596
387	61193	68459
384	61142	67864
403	61208	68075
390	61165	67001
387	61231	68069
388	61211	67832
371	61141	67948
398	61152	67322
387	61155	68332
360	61254	69245
386	61150	68520
379	61168	67820
373	61191	69198
406	61194	67458
1133	61171	66885
1177	61212	82517
1150	61242	68526
403	61153	68058
427	61180	68188
382	61159	67533
377	61441	68740
390	61147	68083
380	61215	846906
1529	61556	68881
588	61182	67309
397	61128	68844
379	61205	67491
391	61248	68015
404	61158	68192
384	61153	69272
386	61175	68321
397	61189	68676
381	61275	68679
415	61186	67011
376	61307	67019
390	61186	68553
417	61162	68251
376	61177	67001
1123	61161	68013
1110	61186	68943
382	61207	68675
388	61148	66958
395	61121	68481
411	61401	67805
386	61217	67391
373	61263	67567
391	61175	67665
400	61214	68635
1118	61196	67363
481	61174	68301
480	61188	67369
1135	61166	67506
1149	61227	69067
374	61174	66872
1113	61153	68125
606	61401	68451
374	61135	68672
415	61191	67729
387	61222	67449
397	61232	68562
409	61178	66931
389	61187	68086
392	61287	68947
389	61226	67274
383	61180	68154
386	61243	67744
412	61222	67878
1159	61233	67612
384	61180	67957
403	61266	67686
374	61167	66867
431	61161	66941
426	61640	79382
894	61688	67872
1144	61274	67915
1153	61234	67178
422	61291	67622
