before wait	after wait	rtt
3543	63781	67957
1695	62323	66241
957	61726	65345
1338	62010	65094
870	61713	64077
1227	61949	65032
2178	62223	65603
892	61723	67756
1776	62563	65241
830	61647	63944
1594	62234	65689
1223	61700	64698
933	61683	64961
1296	61947	63972
1599	61671	66930
1929	62800	67719
1014	61700	66183
1971	61967	67797
1562	61654	66862
1310	61775	66440
1356	62067	64889
1660	61689	65544
1957	62105	64878
1681	62604	67788
1326	62020	65887
981	61578	64055
1573	61754	65850
1916	62046	66237
863	61723	65855
2610	63018	65083
1657	61843	66673
1987	62916	66417
1003	61714	63863
1571	61645	66074
1917	62114	66243
932	61830	63923
1301	61993	65000
1190	61816	66816
1357	61986	65354
1584	62514	67288
850	61806	65928
1171	62009	66500
1656	61722	64999
1298	61990	65275
1015	61714	64881
1908	61997	64726
1630	61747	64553
1588	62488	65705
1959	62597	65537
1657	61846	66577
2627	62567	66690
1673	61832	63860
1936	62564	65220
1639	62129	66776
1551	61643	66631
1301	62074	65875
1030	61730	66372
1854	61994	64379
1036	61736	64663
1245	62072	65950
984	61693	63971
919	61757	66169
1891	61953	64304
861	61710	65634
1287	61912	67040
1570	61775	64076
2610	62526	66333
2245	62229	67225
892	61622	66413
1456	62217	67064
1654	61707	66331
1821	62737	65110
1012	61950	64038
2276	62526	67596
1374	62263	66643
1535	61707	64572
1220	61967	63912
1616	61714	63678
1877	61931	67011
1641	61795	65555
1413	62375	66467
954	61698	64663
1599	61737	64893
1118	61970	63917
954	61693	64303
1229	61922	65080
1580	61731	65927
1539	63030	65954
1184	61867	66887
822	61676	66502
1880	62005	65152
977	61696	65030
1228	62005	67007
994	61618	66161
1460	63306	64712
1271	62104	67004
946	61626	66952
1248	62120	65663
865	61732	64660
1089	61970	65417
942	61692	66618
1089	62023	64749
2017	61961	66993
918	61768	65455
1745	62379	66749
870	61667	65676
2553	62473	65289
961	61630	65450
964	61707	65201
1575	61993	65513
964	61734	64647
1879	63009	65032
956	61622	66311
2070	62515	66488
2200	62196	64629
5123	65723	69282
1101	61753	64707
762	61618	64100
1912	62062	66873
970	61854	65891
1242	62065	67759
791	61664	63952
1570	61883	64530
1842	61813	64106
818	61775	65189
1362	62089	65965
858	61694	64181
2522	62396	65994
880	61750	66560
923	61702	65123
1954	61974	67010
893	61844	64919
1213	61960	66376
1764	61781	65634
1195	62026	66477
967	61832	66182
756	61605	73819
1476	62178	67185
1150	61996	66110
1993	62036	65676
860	61668	65168
1245	61920	65650
1576	61834	64152
957	61716	63981
1180	62023	64313
1681	61804	66267
2532	62553	66516
