before wait	after wait	rtt
1630	4690	7600
1600	4600	9310
1500	4700	6797
1514	4774	9487
1543	4813	6776
1414	4727	9390
1534	4417	6460
1520	4743	9390
1533	4726	6583
1457	4320	9500
1474	4424	6427
1400	4630	6520
1424	4684	9964
1416	4623	9903
1417	4600	9314
1440	4600	6580
1426	4596	9340
1490	4603	6453
1443	4566	6466
1436	4603	9710
1417	4377	9630
1437	4627	11987
1963	5100	7203
1573	5293	11383
1517	4720	7337
1490	4660	6560
1480	4477	9800
1537	4770	10044
1500	4710	9804
1503	4787	10077
1513	4423	9753
1473	4637	6510
1466	4706	9350
1490	4650	6517
1437	4657	9890
1497	4750	9983
1466	4733	9916
1484	4720	10097
1426	4613	9903
1466	4656	9930
1596	4423	9690
1467	4360	9597
1400	4630	6494
1477	4633	9883
1520	4683	9867
1503	4673	9733
1504	4620	9817
1477	4557	10044
1493	4626	9216
1487	4650	6540
1450	4660	9290
1424	4370	6284
1423	4556	6566
1486	4730	10073
1490	4433	9624
1500	4987	10220
1507	4634	6547
1447	4294	6224
1424	4344	6320
1463	4343	6243
1397	4337	6390
1537	4687	9307
1467	4660	6550
1473	4606	9943
1547	4770	10127
1437	4400	9704
1477	4710	9994
1440	4673	9836
1493	4676	9996
1406	4623	9753
1443	4680	10010
1503	4466	9580
1440	4777	6657
1506	4690	9323
1530	4364	6227
1460	4573	6433
1504	4664	9920
1494	4704	9817
1490	4693	9657
1480	4716	6566
1467	4437	9567
1486	4656	9953
1487	4757	10023
1470	4634	9817
1493	4856	6720
1434	4590	9280
1527	4664	6507
1480	4790	9590
1470	4320	6860
1480	4576	6416
1567	4764	6564
1487	4680	9514
1444	4724	6550
1464	4630	9990
1484	4634	10910
1537	4717	7130
1517	4793	6657
1477	4657	9954
1480	4646	9840
1503	4727	9837
1507	4713	9850
1460	4710	6503
1427	4417	6207
1437	4344	6190
1453	4347	6240
1387	4627	6420
1443	4263	6087
1426	4320	6100
1380	4547	6567
1403	4600	9880
1407	4700	6623
1423	4677	9400
1430	4590	6383
1453	4683	6440
1433	4663	9970
1420	4397	9600
1393	4550	6356
1433	4580	9770
1406	4586	6413
1456	4980	6766
1424	4547	7104
1410	4563	9503
1480	4776	6606
1437	4587	6524
1440	4443	9316
1423	4426	6320
1463	4433	6270
1454	4324	6204
1397	4594	6414
1463	4627	6360
1456	4573	6320
1416	4593	6263
1483	4700	6450
1446	4346	9753
1457	4500	6253
1457	4687	6404
1483	4600	9666
1470	4647	6434
1440	4566	9570
1494	4720	6574
1493	4393	9747
1494	4667	6487
1450	4696	9756
1484	4624	9757
1517	4620	6463
1447	4627	6504
1410	4587	9677
1480	4693	6493
1530	4486	9953
1473	4760	11980
1893	5023	7263
1650	5414	9950
1490	4773	10583
1520	4840	9350
1543	4797	6623
1617	4514	9117
1534	4450	6277
1500	4364	6297
1483	4730	6786
1477	4647	9370
1494	4480	6334
1524	4627	9947
1493	4737	9910
1454	4734	9787
1484	4667	6520
1483	4636	9350
1510	4833	6790
1423	4657	9400
