before wait	after wait	rtt
884	4150	4996
471	3684	6086
480	3665	6248
419	3701	4554
411	3618	4577
406	3524	4541
419	3511	4640
399	3682	4604
415	3558	4599
453	3558	4558
406	3518	4612
440	3560	4608
436	3518	4559
413	3539	4596
398	3542	4596
417	3537	4571
415	3533	4516
410	3511	4632
399	3660	4620
407	3561	4548
518	3700	5481
436	3537	4483
423	3581	4625
438	4167	6552
433	3732	5223
434	3556	4548
442	3566	4619
421	3546	4607
413	3549	4642
452	3558	4638
433	3703	4608
434	3562	4649
450	3562	4610
442	3598	4520
457	3590	4644
426	3672	4638
413	3560	4680
454	3534	4697
450	3558	4689
415	3706	4634
406	3750	4609
490	3575	4564
412	3501	4678
416	3507	4636
413	3485	4582
419	3514	4670
406	3543	4628
459	3529	4605
417	3518	4640
469	3554	4613
447	3525	4588
411	3543	4676
408	3487	4687
421	3529	20266
413	3765	6219
419	3923	5102
437	3623	5534
425	3659	4931
394	3480	4971
410	3665	4713
398	3485	4876
419	3503	4699
406	3730	4692
411	3661	4729
398	3495	4721
426	3562	4693
414	3505	4728
423	3518	4730
418	3549	4734
408	3503	4642
406	3659	4728
410	3752	4716
398	3533	4752
425	3612	4707
402	3511	4699
417	3527	4642
398	3520	4676
453	3518	4718
410	3518	4834
410	3688	4674
408	3669	4693
440	3720	4670
400	3519	4727
480	3539	4627
414	3507	4749
412	3545	4659
421	3674	4777
416	4004	6627
411	3520	5217
442	3678	4657
402	3636	4667
439	3670	4700
442	3570	4695
409	3590	4552
450	3518	4670
419	3562	4606
457	3705	4812
484	3710	4590
412	3566	4671
414	3884	6669
427	3695	4745
412	3547	4684
404	3665	4633
444	3579	4680
408	3501	4701
456	3686	4595
417	3518	4619
413	3512	4573
404	3507	4630
448	3581	4667
440	3512	4640
419	3527	4668
408	3648	4629
417	3714	4558
400	3505	4545
465	3543	4642
398	3514	4617
410	3644	4680
404	3524	4703
444	4002	6586
404	3630	5196
421	3516	4609
402	3672	4592
402	3560	4587
434	3699	4681
409	3655	4575
402	3494	4661
443	3542	4691
410	3680	4572
480	3745	4665
402	3505	4558
421	3512	4697
408	3513	4652
413	3505	4695
416	3511	4614
410	3558	4665
429	3493	4579
416	3566	4680
405	3704	4617
442	3533	4655
438	3640	4650
423	3661	4602
417	3522	4608
431	3535	4560
415	3506	4539
408	3532	4606
453	3539	4550
419	3535	4643
544	3758	5480
446	3553	4507
443	3542	4544
424	4171	6620
423	3527	5325
453	3741	4756
402	3636	4522
422	3508	4636
406	3653	4644
406	3503	4648
404	3501	4627
427	3560	4667
402	3516	4560
446	3503	4628
413	3512	4613
423	3583	4650
448	3560	4659
417	3518	4539
417	3516	4623
442	3726	16196
442	3543	6000
407	3666	5074
410	3688	4894
403	3491	4800
402	3642	4901
411	3499	4746
408	3716	4764
425	3528	4749
405	3674	4817
406	3671	4743
398	3497	4745
421	3539	4865
412	3509	4747
419	3671	4694
397	3545	4772
415	3979	6777
409	3497	5211
450	3529	4788
400	3513	4747
438	3545	4743
406	3505	4686
419	3527	4785
412	3524	4724
451	3504	4678
424	3533	4641
419	3729	4685
409	3619	4666
448	3531	4651
409	9655	9939
661	3659	4651
440	3538	4578
421	3687	4607
413	3543	4642
444	3747	4659
401	3497	4698
417	3653	4687
410	3501	4665
457	3702	4643
442	3556	4596
417	3527	4689
421	3541	4632
428	3741	4611
414	3507	4680
410	3499	4680
407	3491	4670
480	3581	4600
453	3554	4626
421	4084	6581
405	3674	5184
526	3619	4665
411	3502	4672
415	3498	4645
398	3471	4635
408	3478	4655
406	3558	4604
440	3501	4680
398	3501	4634
431	3497	4695
400	3503	4669
406	3508	4571
398	3478	4606
404	3494	4564
408	3556	4634
437	3650	4659
402	3718	4638
423	3520	4690
411	3499	4624
417	3512	4689
398	3524	4621
466	3512	4641
408	3484	4573
440	3520	4528
402	3501	4716
407	3510	4693
402	3680	4726
409	3687	4668
417	3651	4617
408	3535	4644
407	3497	4712
431	4071	6684
394	3487	5078
409	3663	4638
405	3489	4679
409	3501	4657
408	3516	4644
414	3667	4642
409	3497	4630
424	3542	4596
434	3657	4672
413	3672	4533
404	3646	4661
399	3703	4638
403	3676	4603
414	3541	4711
405	3506	4662
415	3655	4589
405	3504	4611
413	3521	4689
400	3535	4662
402	3491	4584
407	3548	4594
444	3549	4642
408	3495	4642
423	3522	4592
407	3504	4588
415	3516	4710
408	3520	4625
417	3503	4651
594	3699	14783
465	3560	5809
411	3564	4758
484	4173	6982
411	3659	5419
427	3536	4705
406	3711	4695
409	3552	4697
396	3491	4779
411	3558	4723
409	3647	4834
406	3566	4661
414	3557	4789
414	3511	4728
402	3702	4723
411	3584	4807
436	3683	4699
411	3552	4543
407	3510	4670
439	3659	4692
416	3644	4730
452	3531	4709
411	3489	4659
406	3516	4674
410	3545	4733
470	3533	4685
406	3522	4631
418	3501	4711
408	3524	4659
423	3514	4743
432	3497	4683
424	3518	4672
413	3505	4644
434	3514	4683
407	3663	4668
421	3902	4769
401	3500	5095
431	3537	4659
438	3535	4589
419	3684	4665
411	3512	4708
461	3558	4513
427	3536	4633
412	3652	4631
444	3499	4594
421	3538	4572
440	3495	4657
428	3685	4626
411	3493	4685
427	3495	4615
407	3649	4647
433	3629	4598
410	3499	4669
432	3527	4687
402	3488	4690
408	3522	4690
419	3543	4640
401	3502	4586
402	3482	4633
442	3724	4590
394	3701	4651
430	3653	4664
438	3531	4693
413	3499	4634
398	3503	4590
444	3524	4678
405	3703	4584
463	3985	6602
439	3508	5150
419	3577	4651
422	3548	4670
413	3573	4584
410	3518	4693
413	3737	4630
407	3510	4563
459	3554	4678
440	3687	4665
425	3661	4686
394	3476	4653
438	3684	4687
404	3634	4630
404	3505	4724
436	3689	4636
419	3674	4782
448	3513	4596
421	3663	4659
404	3488	4625
412	3518	4676
