before wait	after wait	rtt
958	5339	6753
409	4760	6023
432	4716	6023
398	4665	6463
396	4573	6385
392	4640	6588
387	4722	6611
415	4720	6592
381	4669	6646
383	4545	6668
379	4667	6562
387	4686	6785
379	4678	6705
381	4701	6781
379	4762	6691
388	4742	6649
447	4714	6742
390	4598	6769
373	4676	6659
383	4619	6743
381	4693	6729
390	4693	6729
395	4684	6661
397	5162	6648
379	4676	7307
437	4764	6629
379	4738	6757
415	4708	6609
389	4646	6650
377	4711	6720
393	4558	6610
377	4621	6682
377	4649	6668
408	4661	6619
386	4716	6546
422	4735	6628
381	4678	6794
442	4771	6659
385	4705	6707
389	4764	6745
398	4657	6533
416	4665	6652
383	4729	6565
411	4762	6678
394	4714	6646
419	4741	6697
379	4667	6756
373	4678	6739
383	4569	6567
392	4682	6565
440	4756	6668
375	4651	14531
463	4781	5865
387	4606	6962
379	4629	6808
430	5110	6718
434	4691	7211
387	4703	6692
417	4587	6865
376	4694	6570
579	4863	6446
402	4636	6566
381	4727	6632
389	4661	6509
373	4690	6568
377	4655	6596
434	4838	6611
381	4728	6657
382	4698	6624
404	4678	6676
385	4716	6613
371	4661	6505
410	4674	6629
412	4722	6669
398	4636	6733
392	4695	6592
380	4634	6683
415	4552	6638
379	4657	6748
371	4649	6594
396	4634	6603
390	4649	6594
377	4554	6683
427	4751	6669
430	4664	6792
383	4640	6623
383	4625	6686
421	5147	6615
377	4612	7312
383	4672	6695
377	4689	6605
385	4682	6642
410	4768	6608
415	4707	6518
389	4665	6649
400	4723	6594
382	4624	6538
402	4692	6640
393	4667	6730
407	4624	6624
379	4697	6710
443	4693	6525
413	4617	6661
377	4653	6718
374	4654	6678
375	4552	6600
371	4630	6598
387	4638	6678
396	4703	6750
388	4634	6613
428	4678	6655
387	4587	6497
389	4695	16582
394	4651	5828
381	4543	6937
373	4693	6811
379	4519	6786
379	4720	6665
381	4796	6695
387	4973	6590
411	4716	7245
461	4777	6733
378	4650	6791
381	4634	6693
427	4680	6819
374	4684	6806
377	4735	6775
377	4634	6535
379	4702	6630
388	4683	6544
387	4722	6632
385	4680	6629
