before wait	after wait	rtt
1663	4870	8316
1543	4513	9360
1467	4680	6577
1460	4537	6447
1566	4500	9306
1533	4457	6360
1457	4410	6403
1383	4666	5900
1400	4650	6450
1416	4686	6573
1473	4763	9493
1470	4393	6316
1544	4690	6624
1490	4696	9413
1463	4400	6217
1416	4670	6526
1393	4590	6450
1424	4544	9154
1453	4573	6403
1427	4574	6314
1496	4436	6246
1467	4723	11837
1957	5207	7347
1657	5437	14960
1626	4683	7866
1456	4450	6233
1443	4563	6383
1507	4497	9797
1517	4737	6490
1456	4383	6173
1473	4417	6320
1497	4420	9207
1546	4823	6693
1483	4710	6500
1480	4353	6150
1390	4336	6073
2256	5246	7743
1780	4967	9624
1587	4987	9617
1603	4560	6373
1587	4630	6493
1460	4804	6607
1480	4780	9763
1486	4863	9336
1546	4550	6326
1550	4527	6374
1477	4873	5877
1487	4770	6610
1520	4567	6344
1490	4487	6360
1450	4417	6327
1470	4523	9910
1460	4836	9220
1490	4866	6610
1570	4516	6336
1397	4830	9300
1407	4357	7444
1437	4407	6254
1404	4374	6260
1427	4397	9493
1444	4394	6227
1454	4500	9677
1420	4360	6137
1393	4350	6216
1450	4413	6313
1460	4837	6563
1493	4467	6383
1484	4457	9294
1454	4747	6664
1480	4370	6256
1433	4437	6283
1480	4460	9207
1440	4733	6550
1460	4453	6240
1447	4430	6134
1474	4457	6147
1410	4703	6400
1470	4437	9304
1467	4357	6277
1430	4790	6570
1466	4530	6346
1466	4646	9313
1470	4670	6596
1483	4630	9673
1520	4770	6534
1490	4710	9367
1490	4453	6253
1480	4884	9670
1480	4410	6880
1463	4740	6603
1460	4673	9266
1456	4640	6456
1486	4353	6190
1417	4430	6323
1437	4403	9723
1483	4767	6650
1450	4413	9510
1430	4443	6243
1407	4370	6280
1377	4410	6297
1433	4677	6537
1390	4420	9427
1464	4430	6324
1440	4683	6516
1477	4417	6270
1393	4513	6330
1456	4446	6270
1463	4410	6270
1477	4640	6380
1430	4357	9500
1480	4456	6306
1507	4397	6350
1444	4397	6874
1446	4373	10963
1454	4390	6840
1427	4717	9800
1410	4737	6500
1397	4380	9537
1417	4437	6227
1517	4910	10157
1453	4827	6567
1417	4403	6240
1424	4434	7084
1414	4474	9684
1394	4740	6507
1497	4480	6284
1433	4630	6386
1440	4443	6313
1443	4700	6443
1440	4610	6317
1440	4440	6214
1500	4513	6350
1433	4823	8807
1460	4597	6413
1506	4373	6126
1477	4373	6300
1407	4394	6114
1423	4407	6217
1437	4410	6177
1423	4643	6400
1443	4667	9453
1446	4770	6433
1460	4663	9153
1530	4496	6316
1456	4600	6300
1473	4620	9340
1467	4497	6330
1510	4487	6257
1477	4434	6164
1420	4330	11866
2006	5160	7156
1543	5390	10046
1544	4610	7220
1490	4467	6387
1456	4503	6296
1410	4520	6370
1430	4466	9363
1436	4736	6540
1406	4766	5863
1416	4753	6500
1410	4440	6184
1420	4403	9830
1544	4564	9257
1460	4443	6273
1487	4427	6280
1460	4446	6220
1450	4464	6280
1427	4457	6193
1450	4440	6270
1490	4440	6313
1450	4310	6067
1490	4424	6194
1416	4653	6360
1507	4473	6273
1470	4756	6570
1433	4340	6100
1490	4420	6273
1473	4463	6160
1427	4384	6147
1400	4447	6274
1463	4453	6217
1437	4680	6470
1423	4433	6166
1437	4823	9370
1510	4536	7033
1473	4456	6253
1486	4403	6863
1443	4466	6250
1487	4463	6210
1383	4320	6090
1410	4287	6074
1470	4347	6137
1460	4387	6794
1476	4533	6306
1426	4426	9156
1477	4367	6137
1407	4660	6327
1420	4406	6796
1434	4797	9447
1420	4430	6183
1416	4323	6693
1386	4460	6160
1470	4457	6234
1480	4700	6497
1407	4617	9230
1473	4500	6403
1447	4343	11687
1486	4420	6880
1500	4467	6257
1447	4553	6403
1437	4437	9617
1493	4453	6213
1490	4423	6240
1540	4767	6664
1490	4387	9700
1503	4833	9930
1500	4723	7170
1470	4343	6113
1453	4666	6513
1410	4650	9267
1504	4514	6284
1450	4660	6430
1460	4450	6247
1427	4407	6177
1384	4604	6454
1413	4633	6413
1410	4400	9097
1383	4753	6523
1360	4363	6176
1500	4467	6213
