before wait	after wait	rtt
2026	235839	256729
773	233718	256560
562	233536	255799
579	233471	257224
1233	233508	257062
1250	233500	256681
1258	233525	257040
436	233476	256959
458	233583	256762
404	233399	257443
529	233433	261408
564	233469	256977
1220	233732	255888
2200	234366	258055
1243	233556	256554
618	233445	256772
1212	233456	256730
1297	233486	255378
1138	233523	256303
586	233451	256284
1211	233467	256234
1193	233345	263113
654	233514	256956
1216	234265	256720
1164	233523	256034
1381	233674	256630
467	233506	255705
581	233466	255928
1170	233511	256924
1366	234269	257990
548	233580	256755
547	233452	255320
1153	233443	256984
1201	233555	256351
1204	233443	256020
578	233465	256995
1193	233481	255947
1171	233609	256326
1008	233608	257617
450	233543	256451
438	233486	255257
423	233452	256322
1157	233455	255289
533	233460	255305
1195	233533	256818
1204	234329	256031
593	233546	255595
592	233436	256276
1202	233538	256257
1180	233452	256407
1489	233698	255769
646	233633	255467
1219	233502	255949
587	233477	256119
1207	233491	256049
556	233432	255618
1225	233501	257373
1224	233516	255500
574	233509	256860
564	233486	256178
1213	233513	255920
1197	233705	255453
1203	233599	256314
824	233642	256324
567	233589	255959
1189	233515	255943
1363	233546	256195
513	233457	255767
1185	233530	255670
1187	233443	256480
1226	233534	256596
426	233447	256699
407	233523	255881
421	233458	256216
1191	233556	255153
562	233594	255613
1355	233709	255692
1256	234362	256364
1180	233514	256590
777	233635	255913
1203	233507	256926
1208	233480	255578
593	233514	256864
560	233509	256739
1230	233509	255429
1190	233537	256993
1198	233525	255575
573	233465	255560
1439	233652	257359
435	233524	255917
1230	233476	256048
610	233485	256551
1201	233502	256913
1284	234346	257533
1221	233493	256822
699	233512	256312
1242	233546	256627
1209	233556	255362
1217	233532	256373
570	233516	257004
1254	233731	258833
1582	233662	257376
1262	233537	256255
453	233550	256683
443	233515	262777
426	233458	256402
1227	233480	255862
613	233507	256181
1224	233416	256667
1373	234308	257278
1236	233541	255917
603	233469	256813
1230	233441	256103
1223	233552	256080
1486	233636	257158
657	233494	257755
1270	233539	255714
1272	233498	256533
1273	233528	255626
643	233452	255564
1240	233449	256908
1249	233493	256459
1234	233409	256467
602	233473	256174
1272	233532	257126
1388	233752	256284
1445	233549	255874
443	233665	257084
1219	233474	256127
1660	234223	259001
1195	233551	257186
613	233530	255570
1242	233492	257217
1261	233540	263455
1314	233448	255620
457	233512	260477
417	233414	256526
440	233520	256978
1201	233579	255827
889	233628	256097
1259	233456	255807
1236	234298	256923
1236	233586	255850
562	233406	255923
1213	233412	257226
757	233416	255721
1236	233448	256690
626	233423	256931
874	233490	255987
1273	233447	255396
1222	233479	255426
2224	234849	258024
1723	233845	257047
879	233520	264424
1339	233564	256596
1034	233675	256593
1275	233532	255784
1266	234299	256370
1256	233414	256183
622	233488	256127
934	233548	256461
1238	233498	262442
1221	233510	256682
590	233593	256750
1480	233631	257210
1267	233482	260666
1187	233481	256677
438	233665	256571
424	233626	256416
436	233621	261077
1210	233528	255425
595	233522	255917
1252	233552	256751
1239	234346	257223
606	233548	256049
590	233469	255888
951	233737	257032
1294	233513	257109
1651	233519	257124
758	233602	255695
1280	233506	256489
1253	233472	255386
1240	233523	255567
635	233461	255534
1234	233509	257251
1193	233402	256455
1238	234230	255805
589	233442	255514
1229	233661	256467
1450	233768	256467
1272	233504	257119
583	233463	255844
1203	233465	257012
1212	233442	256460
1230	233478	257525
579	233521	255753
1249	233549	257394
1238	233520	255333
1291	233436	257163
441	233480	256954
427	233401	255433
420	233554	257139
1415	233539	256699
640	233547	256448
1201	233434	257018
1267	234381	257450
1315	233659	256425
828	233620	256151
881	233829	256853
1231	233502	255781
1201	233483	255677
575	233469	256435
1200	233513	256601
1191	233492	255767
1181	233669	255965
673	233566	257125
1229	233548	257017
1197	233468	256420
2211	234356	256811
590	233516	256751
1330	233518	257054
1221	234278	257690
1225	233464	256211
601	233457	255664
1241	233537	256662
573	233456	255908
1202	233655	257356
891	233636	259396
530	233498	257150
1253	233458	256130
1360	233582	256694
454	233476	262557
532	233650	257080
453	233508	256936
1287	233469	256431
591	233519	256194
1231	233553	255491
1233	234418	256066
1212	233564	256812
592	233627	256238
1397	233677	257477
1256	233501	256633
1204	233549	257234
608	233578	256799
1229	233459	255910
1282	233577	255781
1228	233483	255467
613	233552	256924
1211	233470	256274
1253	233505	255826
1214	233426	255498
557	233405	256730
1471	233612	259397
617	233684	257027
1260	233436	255973
645	233544	257265
1198	233522	261827
1214	234313	255818
1196	233465	256522
650	233537	256720
1198	233544	261245
1223	233448	256894
1230	233516	255697
414	233511	255573
419	234142	257432
1056	233906	257606
681	233573	256597
559	233468	256953
1194	233424	256569
1211	234224	257938
945	233504	256222
568	233451	256276
1193	233432	255609
1367	233509	256166
1196	233542	256343
584	233548	256507
1192	233484	256082
1564	234042	256745
1800	233796	257347
1303	234349	257307
1271	233472	256093
1234	233500	256647
1257	233500	255984
602	233566	256179
701	233505	257005
1235	234338	257046
1233	233529	256930
595	233604	256941
1239	233822	256122
1373	233705	255993
1454	233602	256068
541	233534	256134
1284	233460	256484
1257	233504	256827
1256	233498	255667
487	233582	255232
459	233478	256147
539	233471	257123
1167	234250	256413
589	233521	256736
1316	233579	255726
1228	234269	257798
1282	234049	256052
1808	234556	257447
1453	233636	256070
1242	233554	255931
1206	233489	256087
597	233542	255174
1189	233435	256254
1178	233434	256949
1233	233538	256357
564	233456	255473
1203	233513	257051
1241	239096	264313
1252	233522	257149
1031	233947	258431
660	233629	257913
615	233707	255986
1226	233495	255506
632	233578	256103
1229	233478	261151
1242	233617	255745
1212	233421	255585
610	233528	255419
1238	233500	255294
1230	233676	256686
1238	233533	256293
422	233630	255558
777	233631	257154
506	233516	255594
1286	233511	256042
580	233696	257083
1224	233460	256934
1249	234332	257372
1242	233440	255924
852	233736	256996
1248	233509	256773
1207	233492	255401
1234	233547	256009
617	233572	256244
1242	233637	256449
1406	233885	257801
1267	233569	255211
621	233559	255778
1216	233499	255754
1223	233481	258280
1201	233440	256479
589	233549	256986
1242	233517	255597
1263	234292	265290
1234	233439	256880
571	233453	256791
657	233649	256599
1473	233615	256587
559	233502	256963
557	233543	256415
1211	233529	255879
1196	233462	256543
1307	233555	256529
421	233489	255637
447	233516	255401
411	233522	256871
1186	233512	256711
603	233524	256115
1183	233479	256373
1216	234571	256961
1409	233703	256548
587	233568	255916
589	233589	256920
1292	233613	255799
1209	233450	257767
589	233568	255899
1185	233498	255932
1203	233546	257378
1193	233492	261953
584	233486	256138
1234	233535	256156
1178	233476	256373
1016	233865	256014
1427	233936	257897
1273	233473	255846
606	233615	256707
1234	233544	258684
581	233522	256511
1265	233557	257135
1182	233482	256313
1220	233518	264793
580	233573	257077
1173	233455	256196
1180	233442	255373
1248	233753	257395
720	233615	255399
503	233530	256385
470	233509	257290
575	233505	256550
573	233537	256771
1212	233478	256140
1234	234253	257619
1260	235232	256529
582	233454	256129
837	233509	255446
1249	233525	257273
1233	233746	255904
613	233654	257117
1418	233539	256907
1271	233450	256251
1250	233420	256104
614	233584	257214
1217	233482	259034
1220	233422	256591
1260	233514	256880
620	233501	257519
585	233445	256590
1249	234276	257533
1273	233582	256618
603	233738	256625
1514	233764	256664
1340	233680	256728
1206	233538	256508
582	233518	256174
1218	233509	256353
1208	233406	255811
1240	233527	255767
474	233572	257157
436	233570	256094
434	233487	255725
1234	233559	257928
595	233490	257405
803	233662	255571
1471	234385	257707
1300	233540	255880
598	233459	256305
1252	233496	255777
1240	233476	256957
1231	233685	256443
603	233479	255497
1242	233459	255839
1203	233441	257313
1226	233651	257137
629	233504	255988
1245	233441	257592
1993	233647	256506
1462	233752	255972
497	233522	256513
1266	233478	255826
1219	233584	255772
591	233560	256985
605	233450	255432
1207	233459	257073
1243	233481	255357
1217	233525	256720
560	233414	256020
956	233559	257060
1216	233529	256341
1569	233826	257028
534	233557	257035
558	233582	257380
481	233471	256301
1248	233540	255880
587	233483	255823
1205	233514	256534
1228	234220	257387
1239	233472	262277
737	233634	275628
1208	233479	257443
1216	233519	256403
1260	233723	256677
829	233622	256796
1215	233515	257259
1241	233566	255503
1223	233454	256639
615	233509	255945
1229	233623	257641
1223	233516	256404
1230	233423	255693
595	233461	256226
1234	233423	255787
1238	234270	257979
1263	233461	255707
903	233700	256033
580	233482	256304
1284	233430	256111
1269	233505	255927
586	233420	264077
1354	233576	257118
1204	233456	257191
1302	233465	255530
430	233419	264357
415	233542	256854
417	233451	256774
1203	233492	256222
570	233729	257048
1441	233935	256574
1342	234303	257919
561	233492	257261
568	233513	256493
1198	233496	256130
1180	233489	257148
1219	233529	257172
601	233565	256648
1254	233576	255513
1212	233446	257109
1257	233526	256029
622	233623	255595
1219	234455	256909
1347	233496	255660
421	233436	257169
564	233458	257110
1229	233572	256013
1230	233660	256471
1217	233611	257067
595	233430	255637
588	233474	263329
602	233528	256480
1184	233416	256153
566	233439	255743
1167	233455	259373
1437	233750	257440
1274	233612	256940
430	233409	255753
453	233592	256752
428	233450	256247
559	233532	257496
577	233493	256388
1184	233456	256450
1227	234235	257801
599	233581	255653
614	233402	269198
1225	233529	256944
1232	233538	256233
1437	233589	257621
629	233536	256062
1216	233472	256826
1220	233476	256212
1111	233566	256554
1218	234382	257668
1213	233435	255997
1152	233450	256191
1209	233512	263654
549	233393	256564
1193	233554	256287
1200	234202	257700
1259	233618	255986
823	233687	255552
1314	233546	256380
620	233509	255355
1284	233630	256354
691	233556	256902
1235	233469	256765
1228	233476	255095
1263	233568	256531
417	233442	255185
467	233503	256091
444	233454	255590
1262	233689	256360
798	233602	256952
1248	233488	256439
1280	234344	257248
563	233545	255967
681	233441	256283
1236	233559	255344
1223	234245	256875
1220	233747	256842
605	233459	256754
1218	239856	270576
1217	233516	257737
1193	233456	256921
572	233611	255712
1443	233560	264860
552	233502	255840
1311	233513	255917
645	233447	255750
1294	233522	256801
857	233578	255499
1267	233506	255411
597	233453	255131
1229	233501	256522
1201	233392	255411
1215	234281	256643
572	233469	256529
866	233601	256686
572	233541	256117
1234	233485	256631
470	233521	257093
563	233459	255791
414	233539	256745
1284	233506	256331
588	233571	256630
1257	233529	255304
1212	234318	256915
1213	233466	255552
882	233585	256702
1244	233669	256039
1514	233620	255351
1269	233393	255928
623	233553	256603
1222	233438	255035
1252	233436	261059
1233	233422	256506
593	233477	256101
1234	233405	257221
644	233535	264018
1241	233389	255775
639	233492	256986
1286	233505	255955
1247	234401	256773
1374	233676	256648
470	233542	256497
614	233520	257012
1202	233451	256933
583	233441	255834
578	233448	256999
1235	233522	256352
1251	233513	256916
1146	233576	255561
498	233477	255738
447	233674	256264
473	233448	259054
1469	233595	256316
544	233427	255475
1204	233492	256420
1210	234305	256696
1222	233557	255615
564	233423	256427
1198	233528	255516
565	233532	255724
1226	233492	259026
677	233442	256014
1187	233475	256707
913	233554	256956
1210	233682	256153
832	233820	256487
1230	233489	257504
1180	233386	256900
554	233493	256836
582	233510	256240
1186	233479	256193
1243	233565	256937
768	233496	256470
585	233440	257499
1220	233474	258416
1230	233434	257219
1199	233475	257030
576	233624	257205
1468	233723	256745
428	233467	256054
1200	233497	256627
417	233475	257134
442	233452	255630
445	233393	255950
1213	233485	256543
572	233442	255477
1239	233474	256121
1235	234274	257896
1332	233496	256030
590	233474	255594
1472	233649	261243
1193	233472	255435
1200	233535	256830
656	233477	256242
1191	233413	262094
1212	234159	255963
1185	233490	255372
547	233482	257342
1228	233544	263810
1200	233412	257586
1189	233475	257007
587	233376	257356
1196	233510	256511
1394	234266	257710
662	233504	255848
586	233463	255333
1242	233466	256407
793	233452	257055
1243	233612	256377
635	233436	256368
1240	233559	255491
1270	233429	255827
636	233498	256242
466	233428	256533
550	233551	256576
439	233924	256770
1760	234069	257617
734	233665	256290
1263	233556	256491
1236	234251	261480
1230	233512	257336
565	233382	256005
1185	233486	255874
1191	233570	257105
1308	233568	257035
599	233571	256530
1224	233550	255423
819	233693	256276
1541	233758	256420
744	233538	257074
1221	233448	257273
1229	233444	257480
1230	233518	255223
608	233476	256662
1317	233543	255785
1244	233690	255952
1263	233532	256196
665	233467	256514
1206	233475	255681
1225	233468	256362
1207	233635	256096
863	233556	255551
484	233485	255653
1221	233546	256213
1254	233382	260150
422	233504	257294
535	233587	255787
394	233397	255782
1220	233416	263347
579	233408	256648
1200	233430	256926
1215	234239	257139
1259	233568	256227
1072	233723	256842
1323	233548	256044
1203	233513	256037
1202	233494	258658
566	233458	255573
1227	233575	256690
1192	233554	255685
1240	233572	255749
575	233421	257116
1217	233479	257409
582	233475	257070
1240	233481	256544
633	233802	257047
853	233581	257034
1260	234321	256344
1243	233642	256661
618	233487	256013
1230	233439	256581
1227	233390	257212
1210	233471	256750
564	233396	257058
568	233641	255571
1192	233441	255944
1202	233407	256823
418	233462	256035
451	233643	257079
751	233662	257495
616	233708	256721
544	233487	257371
1245	233543	256537
1214	234255	257908
1265	233430	256935
587	233383	255471
1254	233473	262861
1208	233416	256541
1221	233515	257288
593	233472	256720
1189	233564	255680
1460	233658	261992
1266	233462	255357
603	233420	256038
1221	233433	256935
1258	233400	256538
