before wait	after wait	rtt
753	7244	10810
407	6834	8937
393	6992	8354
403	6886	8633
323	6856	8581
356	14420	14634
392	6822	8764
374	6918	8879
383	6893	9114
386	6914	8940
353	6885	8887
328	6806	8846
367	6875	8905
364	6767	8868
343	6850	8850
330	6808	8842
334	6891	9111
354	6783	8927
322	6869	8809
379	6900	8742
331	6793	8923
333	6842	8881
317	6811	8919
350	6867	8778
363	6840	9576
331	6797	8823
353	6772	8860
325	6786	8620
313	6750	8818
336	6826	8777
377	6931	8811
330	6895	8988
341	6914	8955
393	6889	8903
308	6827	8927
352	6836	8913
308	6765	8905
324	6857	8794
330	6751	8707
324	6844	18999
344	6764	8352
345	6824	9338
342	6819	9144
336	6906	9147
324	6824	9038
339	6794	8941
312	6856	8959
333	6871	8870
353	6881	8901
331	6870	8981
329	6836	8852
353	6917	8877
329	6844	8756
353	6777	8871
342	6879	8826
340	6838	8818
309	6886	9379
324	6855	9082
328	6842	8825
336	6841	8967
334	6771	8890
332	6747	8731
334	6912	9018
324	6875	8965
324	6897	8876
339	6834	8944
330	6786	8881
357	6895	8944
353	6897	8988
362	6844	8815
348	6811	8805
382	6796	8591
376	6909	8787
355	6780	8902
319	6863	8940
310	6814	8966
310	6879	8964
309	6823	9059
319	6847	9026
330	6827	8926
316	6754	8941
319	6896	19228
318	6749	10121
331	6851	9169
355	6879	9144
349	6750	9060
353	6882	8966
330	6831	9020
337	6867	9625
345	6808	9218
352	6796	8853
322	6849	8969
634	6990	9142
342	6825	8774
373	6954	8912
353	6899	8900
352	6881	8899
383	6924	8854
339	6762	8817
348	6793	8888
342	6829	8847
325	6868	8904
341	6763	8907
323	6787	8940
332	6758	8859
349	6836	8857
340	6739	8907
351	6855	8812
350	6822	8977
331	6781	8886
353	6857	8993
363	6894	9010
343	6807	8954
353	6825	8889
331	6783	8997
320	6795	8958
351	6814	8875
340	6855	8873
353	6910	8816
358	6891	8899
383	6800	9377
368	6924	15072
337	6777	8330
352	6837	9353
350	6875	9338
324	6844	9102
365	6933	9079
365	6953	9086
321	6807	9088
344	6867	8997
303	6847	9003
355	6867	9012
340	6877	9103
375	6935	9014
335	6775	9012
345	6877	8951
353	6891	8897
320	6840	9034
357	6872	8971
334	6867	8941
345	6849	9050
364	6867	9027
347	6906	9088
336	6883	8929
373	6904	8950
315	6750	8996
336	6871	8735
329	6774	8617
374	6787	8758
335	6904	8812
327	6902	8857
337	6944	8687
377	6841	9750
344	6813	8832
355	6884	8999
349	6851	8870
377	6838	8896
336	6797	8824
334	6877	9057
309	6823	8977
325	6788	9242
353	6816	17335
320	6834	8430
346	6850	9344
310	6787	9334
309	6773	9026
330	6853	8978
310	6804	8920
357	6779	8883
320	6854	8860
320	6857	8878
338	6806	8847
316	6839	8953
337	6893	8980
345	6859	8874
330	6870	8866
346	6736	8936
341	6805	8877
335	6885	8831
337	6870	8947
362	6896	8859
320	6775	8811
356	6904	8836
360	6872	8809
340	6841	9314
344	6801	8890
332	6778	8765
357	6955	8881
321	6906	9038
390	6847	8924
348	6868	8788
366	6811	8851
318	6914	8918
361	6875	8926
321	6875	8928
326	6813	8824
353	6867	8953
348	6774	8982
385	6906	8976
356	6817	8846
323	6866	8807
319	6868	14953
382	6930	8376
334	6907	9621
357	6787	9237
330	6809	9099
337	6896	9109
337	6871	9007
355	6834	9017
317	6826	9003
335	6785	8905
334	6868	8956
321	6861	9144
324	6770	8947
335	6843	8697
351	6899	8792
352	6824	9308
363	6907	8936
