before wait	after wait	rtt
396	3198	4198
204	2910	4857
219	2951	4558
196	2914	4807
188	2887	3674
188	2889	3501
191	2880	3581
190	2903	3503
193	2928	3484
198	2901	3505
191	2886	3614
191	2903	3543
188	2912	3651
193	2880	3526
189	2911	3511
188	2965	3584
187	2903	3617
195	2898	3513
184	2916	3527
189	2918	3516
187	2893	3549
191	2884	3474
191	2895	3562
203	3516	5047
207	2891	4322
202	2901	3568
186	2889	3537
192	3007	3588
188	2895	3693
188	2899	3537
187	2916	3633
191	2934	3583
186	2889	3657
196	2908	3529
198	2906	3550
190	2918	13866
188	2863	4592
188	2882	3733
194	2893	3743
192	2881	3628
190	2897	3785
198	2922	3619
189	2880	3687
193	2926	3657
190	2905	3735
189	2895	3650
188	2899	3708
190	2920	3701
190	2895	3685
196	2895	3598
187	2887	3533
192	2897	3537
188	2880	3560
192	2878	3529
188	2889	3531
200	3272	4986
189	2894	4021
194	2886	3583
186	2895	3493
188	2893	3562
191	2892	3579
185	2893	3545
186	2891	3495
188	2912	3559
189	2874	3592
198	3124	5025
198	2903	3558
192	2895	3604
184	2897	3701
205	2908	4923
188	2882	3432
192	2893	4775
189	2894	3564
195	2892	3530
192	2920	3520
189	2914	3588
190	2859	3615
194	2918	3565
191	2894	3535
193	2884	3530
232	2960	3440
202	2888	3488
188	2895	3479
191	2872	3577
194	3078	3680
192	2900	3537
191	2894	3505
207	3287	5028
191	2901	4181
194	6465	6647
233	2960	4667
192	2903	3489
187	2887	3615
188	2883	3560
193	2888	3492
193	2896	3536
193	2890	3608
195	3019	3612
196	2882	3483
198	2899	3587
193	2930	3667
194	2885	3499
188	2925	3520
190	2918	3542
189	2895	3592
195	2890	3532
191	2863	3503
188	2889	3522
189	2899	3587
190	2884	3507
191	2897	3511
189	2859	3539
194	2893	3590
198	2965	3560
187	2884	3526
196	2889	3537
192	3022	3619
191	2884	3528
188	2926	3508
193	3297	5053
189	2899	4128
195	2894	3473
188	2889	3615
195	2905	3518
191	2915	3621
190	2867	3510
191	2998	3621
188	2927	3514
190	2895	3590
192	2903	3495
198	2887	3543
193	2926	3511
192	2900	3647
191	2897	3486
188	2897	3546
195	2909	3522
194	2861	3592
192	2922	3504
188	2858	3542
195	2893	3495
191	2897	3625
190	2897	3493
190	2906	3531
189	2869	3507
191	2867	3610
197	3016	11562
192	2868	4735
192	2895	3794
188	2857	3643
189	2899	3514
196	2882	3549
195	3463	5052
202	2905	4280
205	2881	3573
194	2889	3588
190	2903	3558
186	2851	3617
191	2874	3471
191	2851	3589
197	2903	3446
188	2866	3531
194	2900	3516
199	2877	3486
198	2903	3579
186	2878	3573
194	2874	3518
191	2869	3576
189	2892	3501
188	2889	3613
194	2891	3529
190	2865	3518
190	2836	3537
192	2862	3622
193	2884	3547
196	2857	3569
192	2867	3529
189	2882	3623
194	2884	3531
190	2872	3556
190	2885	3531
188	2878	3602
194	2886	3512
187	2884	3554
196	3253	5030
191	2895	4179
198	2899	3537
192	2901	3548
192	2830	3545
189	2886	3619
188	2863	3558
190	2899	3527
194	2893	3539
194	2859	3613
196	2866	3524
204	3071	5040
192	2855	3541
190	2879	3662
196	2869	3573
194	2846	3508
197	2894	3534
