before wait	after wait
7304	884874
7317	878215
7300	916991
12470	917489
12025	917236
11172	915302
6803	896455
6831	898701
6791	889707
6771	893507
6507	892429
6891	898324
6862	889285
6842	871526
6736	889896
7346	876183
7436	878229
7435	863588
11260	927387
11356	896612
6699	879619
7222	916128
11564	902462
6887	892363
6884	887034
6811	901896
7518	894634
11499	919907
10728	914182
6883	896806
7023	898920
10703	915133
6804	879588
6743	882348
6793	886884
6771	875258
10388	921402
10571	906563
6770	880127
6804	890160
10453	907856
6825	889512
6894	875311
6797	892815
6777	905376
10975	919986
10604	916789
10739	917519
8587	907682
6849	895144
6889	902242
6851	888427
6748	894404
6683	897105
10596	915953
10312	943202
10700	906630
6830	874425
6799	877498
6850	892246
7017	881535
6849	876430
6887	902331
11350	919499
11369	920501
11335	901143
6844	870088
6824	879405
6777	878818
6794	885049
6884	883129
6849	899904
11217	919938
11240	920601
11197	924759
11227	906301
6895	883981
6814	876716
6840	889558
7013	871532
6816	878435
6837	891684
11387	908181
11365	910016
6838	873985
6897	871904
6802	880392
6796	877544
6774	878658
6741	915808
11382	927663
11295	916720
12130	918554
11742	910935
7477	879390
7354	874316
7364	889793
9027	883004
7484	883893
7426	881201
11948	893135
12120	908625
7220	876169
7326	886714
7327	908078
12230	920247
7303	896999
7309	892521
7260	907200
12342	916911
12162	925540
11469	917126
8798	906276
6864	893704
6867	882775
6859	869976
6793	880958
6796	886309
11137	915279
10895	928758
10917	904917
6810	878122
6803	881764
6748	882802
6987	900370
6867	888307
6904	892575
10765	929769
10918	917084
10815	916181
6870	879749
6823	905325
6768	887468
6780	894409
6857	885137
6824	895326
9977	915074
10619	919834
10630	922061
6928	882279
6882	886498
6867	882772
6918	892871
6941	882745
6865	902435
10666	913134
10605	910761
10610	907838
6929	884840
6854	873924
6745	884710
6793	884170
6793	901364
10432	942304
10792	909508
6793	894895
10369	908293
6778	894394
6981	892613
6893	884421
6867	890370
6877	897454
11545	924748
11313	910867
6850	869837
11329	917571
6787	882217
6779	883358
6779	901212
7372	887322
6796	902793
11220	921286
10810	924879
7035	899026
12187	925155
7342	898615
7387	908864
7566	898448
7324	899413
7381	902593
12660	921118
7409	899046
12140	920407
7371	901741
7419	885886
7291	883061
7255	890242
7320	913888
11472	924000
10350	906766
6772	901323
10592	912974
6880	885441
6875	893651
6864	895738
8309	906581
6842	897138
10731	921622
6855	896281
10466	923561
6804	912468
6788	890737
6797	908383
10767	915974
6754	876481
6838	873426
10747	911731
6994	888412
10495	902655
6886	877197
8937	884326
6864	878414
6864	877808
6868	873491
6880	899553
6834	893864
6807	897294
6818	882543
6718	895869
6752	892425
6766	899836
6791	906495
10731	914819
6793	895719
10577	916229
6544	893790
9791	961836
9943	949576
11887	970640
10452	962543
10490	964878
10830	974066
10469	1.11455e+06
9900	1.09555e+06
10507	1.10402e+06
11875	1.10571e+06
10411	1.10221e+06
11270	1.11094e+06
11658	1.20238e+06
11331	1.21692e+06
11598	1.20165e+06
11160	1.23732e+06
11336	1.19665e+06
11940	1.26953e+06
12297	1.25026e+06
11948	1.26758e+06
12157	1.26014e+06
12945	1.2724e+06
13269	1.28684e+06
12785	1.20657e+06
13291	1.20578e+06
13045	1.20548e+06
13280	1.198e+06
13005	1.20481e+06
13071	1.21931e+06
11960	1.29714e+06
13465	1.26962e+06
9714	1.22434e+06
11814	1.26114e+06
11609	1.2691e+06
11839	1.26487e+06
11937	1.25438e+06
11834	1.26316e+06
11583	1.26623e+06
11846	1.26106e+06
12623	1.26302e+06
12774	1.25277e+06
14051	1.25433e+06
12800	1.28599e+06
12165	1.28178e+06
11831	1.28294e+06
12214	1.2619e+06
11903	1.28127e+06
12411	1.24707e+06
12888	1.27888e+06
13280	1.26279e+06
12823	1.29449e+06
13131	1.26984e+06
12832	1.28316e+06
11833	1.25507e+06
12828	1.27962e+06
13232	1.27039e+06
9626	1.23666e+06
12789	1.25753e+06
12608	1.27624e+06
12857	1.26919e+06
12057	1.2739e+06
12869	1.26729e+06
12883	1.27064e+06
12765	1.27308e+06
12668	1.27475e+06
12785	1.28293e+06
13193	1.27764e+06
12737	1.28585e+06
13211	1.26954e+06
12626	1.28126e+06
13365	1.28325e+06
12822	1.27785e+06
13148	1.26367e+06
8747	1.21399e+06
12876	1.26646e+06
12377	1.27457e+06
11899	1.27034e+06
11849	1.28021e+06
12128	1.27231e+06
11825	1.26293e+06
12000	1.25919e+06
10605	1.26296e+06
11740	1.28912e+06
13094	1.26956e+06
12814	1.29536e+06
13159	1.26063e+06
12843	1.2812e+06
13109	1.26983e+06
12749	1.28462e+06
13197	1.26708e+06
28579	1.25407e+06
13277	1.28352e+06
10249	1.2246e+06
12788	1.27026e+06
12668	1.26802e+06
12862	1.27099e+06
12743	1.267e+06
12851	1.26437e+06
13028	1.28394e+06
12871	1.26892e+06
12659	1.27741e+06
12800	1.29149e+06
13191	1.2715e+06
12848	1.28325e+06
13308	1.27112e+06
12762	1.3022e+06
13268	1.27584e+06
12777	1.28468e+06
13377	1.26647e+06
9562	1.21914e+06
12909	1.26472e+06
12431	1.27401e+06
12862	1.27421e+06
12679	1.26915e+06
12942	1.26806e+06
12871	1.26403e+06
12951	1.26728e+06
12651	1.26516e+06
12876	1.28738e+06
13176	1.28228e+06
12762	1.27204e+06
13134	1.26813e+06
12885	1.28567e+06
13234	1.26111e+06
12837	1.2827e+06
13197	1.28099e+06
9329	1.21847e+06
12923	1.26764e+06
10207	1.22118e+06
12802	1.26281e+06
12531	1.26548e+06
12897	1.26458e+06
12043	1.28137e+06
13079	1.26224e+06
12994	1.27279e+06
12834	1.26255e+06
12643	1.27388e+06
12808	1.28898e+06
13209	1.26143e+06
12740	1.28765e+06
9822	1.23424e+06
12925	1.27921e+06
13208	1.27138e+06
12846	1.27933e+06
13214	1.26623e+06
11846	1.29121e+06
11862	1.27751e+06
11709	1.26725e+06
11828	1.2728e+06
11849	1.25964e+06
11957	1.26787e+06
11917	1.26872e+06
11912	1.28078e+06
12051	1.28046e+06
11743	1.29433e+06
