write_duration_nsec	flush_duration_nsec
26613	1131375
29479	1009312
29286	909564
31439	848889
29343	933790
29343	843569
29423	1467445
31596	1647403
29403	948330
29329	966529
31509	952563
29319	2189108
29332	975926
31186	841973
28932	983222
28926	841886
28966	931537
28952	1011014
31172	950413
28939	858602
29203	942660
28945	850162
31992	907607
29293	918091
29253	910651
29299	847469
31460	946604
28952	1493348
28906	1039954
29036	839796
31500	994379
29333	843333
29252	979292
29382	811867
36879	977906
29316	1771473
28976	1115598
29086	823140
31209	957163
29032	828100
28989	923470
28946	840896
31299	933050
29386	852059
29426	1680395
29363	2089921
31549	977989
28979	854593
29139	954003
31643	838956
29413	943554
29630	2132457
31525	1073096
29409	859752
29383	990816
29036	838153
31439	944800
29359	844119
29359	948460
29286	2192468
31545	995321
29309	842026
28950	918541
31252	851055
29116	972102
29213	832263
29456	937874
29292	829463
31506	944883
29285	1079822
29239	2088807
31492	895224
29209	998688
29213	856183
29242	2141422
31422	1178113
28986	54271228
31502	35973893
31502	876945
29339	878335
29716	839599
29386	893521
31496	845900
29356	877879
29366	842483
29313	858516
29315	905041
31329	1665979
29220	863216
29286	910834
31182	833059
29349	894911
29323	834190
29159	902547
29309	2098437
31582	970019
29196	861273
28879	888001
31379	848716
29359	882515
29322	833992
29213	856292
29249	1285374
31539	1939092
28919	858372
46792	876152
31270	852713
29109	861082
29122	838749
29429	919430
31439	2093847
29319	1066549
29249	925077
31636	895662
29303	839620
28919	911467
28972	844643
29046	874992
31166	2103370
28876	872499
29006	947590
31280	868526
29016	829233
28976	934413
28946	808450
31146	932314
29339	2143139
29329	1031981
31240	964103
28992	880295
28979	847642
28886	896921
28949	833256
31122	880015
28919	2083621
28909	918067
31426	852686
28863	1022268
29516	822874
28839	816984
31235	846299
29273	897175
29203	2089751
29189	890464
31592	851439
28942	984539
28913	859486
28933	881802
31532	853872
29263	884819
29256	2153146
31496	879885
29309	853526
29432	1022664
28953	948503
31053	855472
29219	850635
29213	1040194
29206	2306978
31486	1019945
29256	838293
29022	1057180
31476	856399
29206	876169
29316	840353
29409	932360
29246	849963
32016	874215
29282	848052
28976	859882
29109	898641
28896	1146061
31465	856842
29039	913264
28836	844606
29119	1425853
31446	892661
29273	867816
29450	994412
29199	834756
31589	964629
29282	907147
29253	836803
29342	899824
31535	854769
29266	888819
29330	2085121
31526	876722
29212	988245
29266	865769
29439	843090
29276	2137363
31249	875271
28902	917580
28966	850569
31472	876791
29616	976116
29263	869239
29152	865138
31439	2129017
29173	1045034
28926	952120
31239	847293
29259	914764
29302	1002521
29329	866812
29393	842880
31516	2231837
28916	857472
28889	895034
31346	842339
28886	884935
29072	842869
28933	976876
30929	831833
29266	882672
29382	818840
29335	850876
29333	905168
31713	880899
29305	860155
29290	827713
29346	2101613
31496	1014728
29296	835440
29386	865002
28889	817590
31255	862308
29073	842806
28989	869762
28946	930633
31322	2142312
29163	1056430
29253	1000378
31489	1047350
28939	948029
28993	839313
28976	876236
31096	855176
29139	895508
29309	2150099
31423	877585
29136	848709
29109	884578
28993	825167
28986	927787
31609	845443
29229	944257
29036	2043382
30936	1040921
29212	857969
29180	889445
28972	842949
28939	899737
31785	845606
28979	932367
28999	2058848
31102	882428
29012	841629
28886	905351
28899	819167
31242	914344
29026	836377
29046	886751
28902	2062918
31273	1026148
28952	1004955
28796	997495
28990	824710
31309	1033973
28879	983348
28896	1371307
18466	1771456
29219	1078203
29302	914504
29273	932734
31556	848056
29259	911154
29329	857959
29330	2134630
31549	972176
