before wait	after wait	rtt
353	6783	9066
187	6575	7665
180	6594	8982
174	6554	7735
170	6560	7890
177	6555	7999
169	6518	7906
173	6569	7907
181	6527	7924
204	6608	7883
177	6572	7994
174	6563	7917
238	6522	7908
179	6551	7909
163	6553	8018
173	6560	12232
169	6533	7739
187	6534	8181
170	6560	11779
183	6578	8374
166	6559	8189
171	6519	7954
169	6513	8064
199	6632	8063
174	6544	8744
176	6566	8000
168	6548	7993
177	6543	7837
169	6549	8083
174	6561	7987
169	6554	7930
168	6514	7987
169	6556	7934
177	6547	7992
163	6559	7990
180	6574	8019
167	6545	7940
184	6567	7984
180	6573	7948
173	6547	7967
164	6571	7896
198	6569	7970
168	6518	8038
167	6545	7848
165	6548	7980
171	6558	7954
161	6539	7984
172	6559	17627
166	6538	7691
175	6529	8266
163	6504	8103
183	6534	7980
173	6542	8040
177	6526	7941
161	6531	7957
176	6550	7997
161	6538	8457
187	6559	7819
159	6541	7864
171	6540	8004
163	6551	7906
173	6532	7953
162	6529	7935
182	6549	7949
165	6509	7977
197	6563	7944
166	6551	7974
183	6570	7972
163	6564	7866
184	6534	7903
166	6541	7876
174	6553	7627
166	6546	7798
195	6569	7989
175	6542	7890
167	6568	7897
166	6546	8000
174	6527	7862
167	6515	8012
194	11741	14651
317	6668	8585
178	6574	8192
167	6518	8052
174	6557	8044
166	6572	8038
175	6552	7982
166	6540	8011
183	6599	8052
163	6549	8534
180	6558	7917
162	6542	7944
175	6548	7987
218	6610	7715
181	6584	7817
175	6569	7997
173	6579	8051
164	6540	8017
184	6537	7884
160	6513	7923
171	6543	7935
163	6540	8048
170	6549	7974
171	6520	7937
168	6530	7995
162	6547	8111
192	6579	7940
166	6506	7893
186	6558	7945
167	6532	7918
167	6541	15355
168	6537	8018
175	6562	8266
167	6552	8188
180	6568	8130
167	6533	8021
171	6557	8121
163	6542	8050
189	6557	7988
166	6556	8089
180	6549	8050
160	6500	8546
190	6557	8073
163	6557	8004
174	6560	8002
167	6565	8017
171	6547	8012
166	6543	8046
181	6535	7991
169	6567	7979
173	6557	7988
184	6567	7914
179	6568	8051
166	6547	7937
172	6551	7988
169	6519	8039
181	6535	7961
176	6551	8044
200	6590	7911
165	6550	7930
170	6557	13695
239	6511	7830
177	6531	8257
163	6558	8257
172	6544	8101
166	6551	8051
173	6530	8037
160	6542	8049
184	6564	8034
163	6512	8134
181	6558	8049
179	6543	8028
172	6629	8029
169	6513	8628
174	6551	8045
166	6542	7949
179	6521	7973
167	6554	8068
173	6553	8051
170	6527	8020
174	6529	7986
161	6530	8028
179	6554	7954
161	6498	8000
180	6563	7923
165	6525	7975
165	6521	7958
167	6551	7938
175	6526	8040
161	6541	7922
195	6576	13613
164	6541	7796
175	6552	8304
170	6547	8004
171	6538	8011
162	6549	8148
178	6545	8040
163	6514	8047
188	6557	7950
179	6566	7927
171	6588	7905
164	6551	7925
199	6586	7924
163	6540	7988
177	6548	7923
165	6542	8527
175	6520	7893
163	6540	7871
169	6526	8019
166	6550	7976
170	6546	7927
163	6506	7996
184	6553	7908
163	6580	7969
190	6567	7966
168	6528	7969
171	6545	7971
163	6534	7911
170	6548	7969
164	6543	7926
174	6520	13424
167	6554	7940
205	6576	8247
174	6524	8118
169	6540	8083
168	6500	7937
187	6561	8028
173	6530	8004
171	6524	8063
164	6514	7964
176	6566	8003
170	6551	7947
178	6528	7981
165	6549	7929
170	6560	7847
164	6544	8002
178	6584	7947
163	6544	8478
170	6520	7990
167	6523	7931
187	6559	7973
263	6746	8133
182	6572	7852
168	6569	7970
172	6539	8000
163	6544	7973
183	6556	7916
159	6543	8016
173	6560	7940
161	6540	7980
177	6547	12354
168	6535	7728
168	6521	8142
163	6514	8130
208	6592	7929
165	6585	8009
172	6520	8029
165	6537	7990
177	6542	7919
166	6550	8014
176	6543	7987
166	6537	7965
184	6553	7877
160	6566	8047
174	6556	7956
166	6543	8037
170	6548	7881
168	6503	7908
180	6551	7946
164	6520	8431
177	6537	7920
168	6519	7950
179	6574	7870
165	6547	7976
167	6542	7905
166	6541	7918
176	6530	7984
165	6549	7997
177	6558	7881
163	6552	8011
180	6524	14076
166	6508	7727
194	6563	8148
185	6532	8093
169	6576	8110
166	6539	8149
196	6590	7963
163	6554	8002
172	6528	8025
164	6537	8061
175	6552	7952
166	6560	8027
177	6555	8004
161	6557	8062
187	6558	7923
170	6521	8065
193	6584	7990
175	6563	8154
171	6530	7947
165	6532	8057
185	6615	8017
165	6552	8750
172	6519	7943
167	6535	8005
171	6559	7938
163	6514	7953
169	6563	8067
167	6542	7944
175	6526	7996
162	6501	7971
190	6538	14559
169	6567	7866
168	6528	8208
164	6504	8183
170	6555	8045
160	6540	8044
172	6527	8047
165	6574	8013
192	6569	8079
163	6526	8046
170	6567	8088
164	6551	7951
170	6552	8052
163	6510	7972
183	6560	8077
180	6554	7970
186	6556	8016
165	6517	8048
173	6534	7976
169	6550	8079
177	6540	7990
164	6521	8037
183	6566	7963
172	6544	8606
170	6557	8015
160	6552	8020
173	6547	8020
163	6497	7944
183	6534	8001
159	6536	7969
176	6541	14146
164	6542	7688
183	6555	8120
165	6510	8243
172	6553	8086
165	6524	8116
170	6547	7924
163	6537	8033
170	6540	7981
162	6524	8013
203	6568	7983
165	6487	7974
182	6572	8019
176	6558	7970
177	6524	7925
162	6517	7911
171	6570	7895
168	6539	7989
175	6542	7962
167	6541	7934
178	6552	7999
168	6540	8014
172	6535	7982
162	6545	7948
175	6570	7999
161	6512	8551
190	6560	7900
162	6516	7990
170	6565	8039
250	6681	16958
177	6545	8835
166	6538	8241
170	6560	8086
166	6541	8181
184	6549	8047
162	6547	8089
173	6553	8034
163	6547	8206
169	6548	8088
164	6513	8051
190	6540	8039
179	6552	8119
199	6584	7966
164	6540	8024
170	6545	7967
163	6540	8010
172	6543	7903
170	6518	8060
174	6537	8015
163	6516	8047
180	6540	8035
161	6534	7961
167	6533	7951
176	6518	8068
184	6581	8028
177	6533	8003
183	6571	8010
165	6512	8594
193	6604	7926
165	6532	12115
176	6561	7737
167	6547	8260
171	6541	8057
161	6540	8024
169	6523	8046
165	6566	8127
179	6527	7954
164	6509	8049
204	6565	8014
179	6554	8059
185	6580	7993
165	6514	8008
168	6525	7952
163	6519	8099
198	6581	7932
160	6531	7981
176	6530	7909
164	6516	7995
174	6547	7981
166	6563	7983
179	6536	7933
164	6495	7967
197	6565	7971
190	6590	7956
172	6519	7968
163	6540	8088
172	6542	8004
164	6517	7960
176	6635	8013
161	6544	14757
167	6553	7754
174	6563	8191
171	6545	8070
166	6512	8110
173	6527	8021
168	6509	7946
215	6602	7979
169	6526	7923
181	6534	7917
164	6549	8031
171	6542	7934
164	6520	8088
171	6534	7908
164	6564	8061
172	6559	7876
161	6527	8038
195	6551	7978
166	6563	7952
178	6520	7967
243	6486	8064
184	6549	8008
178	6531	7951
177	6560	8106
165	6517	7989
173	6523	7917
167	6535	8037
173	6569	7872
174	6540	8069
168	6560	7870
163	6527	13627
177	6560	7743
167	6559	8774
175	6530	8170
166	6496	8003
193	6544	8104
180	6574	8051
177	6530	8082
183	6526	8000
180	6565	7945
160	6557	8151
180	6543	7897
173	6524	7970
182	6534	7986
168	6534	7687
171	6552	8088
170	6561	8036
173	6534	8008
173	6522	8034
199	6566	7947
173	6527	7929
171	6557	8064
163	6512	8084
173	6558	7997
163	6520	7914
169	6519	8030
167	6523	8020
182	6558	7986
169	6554	7934
175	6554	10900
162	6549	8373
168	6548	15725
164	6513	7732
186	6608	8244
161	6550	8628
171	6549	7978
165	6537	8075
176	6530	8006
222	6590	8236
179	6590	7820
167	6548	8005
167	6528	8018
165	6537	8030
178	6565	8037
163	6561	7947
173	6573	8077
160	6510	8034
182	6531	7978
177	6572	7922
170	6525	7991
163	6523	7923
199	6569	7965
160	6508	7917
171	6524	7925
160	6508	8117
183	6546	7974
163	6536	7935
178	6563	7919
164	6514	7963
188	6588	7919
165	6512	16784
188	6578	7773
176	6556	8186
168	6557	8192
169	6560	8043
175	6560	8084
168	6544	8528
172	6529	8004
171	6548	7967
173	6521	8104
167	6547	7974
175	6540	8034
166	6522	7990
