initiation_duration_nsec	write_duration_nsec	fsync_duration_nsec
11240	122775	1022951
11636	92531	1100283
11360	94698	939282
6717	88949	2204251
11602	91137	918725
6771	86658	1038294
6217	88232	874107
3717	86869	1032959
10714	91563	929339
10525	92471	1066051
6700	92940	905790
4354	83058	2184598
11537	96077	914691
11331	95712	1084992
6660	85480	895534
11625	95709	1090843
11354	91175	908128
11314	96734	1063581
6780	91517	1521414
26712	134305	1864661
13456	119969	1144031
9762	62452	1026288
11357	89989	944342
11356	95711	1085506
11311	93746	890251
11117	95297	1071810
11237	90921	905077
11251	95106	1167418
11326	94789	929517
11382	64584	2184452
11220	94583	954921
11314	96257	1111625
10843	95526	914623
11274	94574	1079323
11257	95643	919785
11388	90123	1105946
11477	93809	2192618
13347	120517	1161953
25994	121978	921736
11637	91738	1052524
11426	93072	949893
11351	87866	1007240
11431	91192	1007560
11594	97903	2136751
11425	113540	959972
11340	95603	1057605
11542	147114	1105540
11371	147684	1093526
11346	156123	973624
10620	97338	1166210
11251	93658	1624083
26989	129163	1179652
10546	64513	890692
11252	97358	1100015
11286	96580	928405
10425	92937	1045776
10180	99026	945139
10337	91569	1848713
11265	109237	940299
11317	93500	1055350
11586	95995	942925
11374	89866	1087552
11345	91417	902880
11314	92834	965467
11651	99300	929000
11311	91495	2284564
11417	129975	1132356
11479	150518	1161009
11239	145591	1065812
11454	94865	1036396
10920	96472	967493
11280	97400	1040739
11277	93203	2339839
27347	121788	1127673
11280	98029	921640
11291	96440	1093772
11319	95057	920297
11611	95986	1098786
11365	93634	947542
11334	94580	1043766
11351	93240	946765
11620	94289	1088655
11431	93435	909809
11331	92138	1061227
11368	133696	1010108
11591	144806	1083906
11368	144896	987504
11348	142970	2175044
25521	126831	1215191
11328	126275	1119314
11303	91063	924057
11034	90023	1060133
11319	90097	931085
11446	90966	1086115
11319	95583	1991677
11617	99660	1155364
11431	96474	941907
11394	95541	1111812
11599	99077	944039
11440	89817	1036670
11448	93251	919736
11331	91503	2353524
6846	125109	981369
6414	101584	1030616
7057	85475	1011260
11251	152692	1102003
11257	91797	958201
11302	90926	946067
10702	64515	1492534
11262	92846	1068832
11274	92460	931136
11351	94683	1119196
11563	98835	919794
11253	89694	1038630
11277	93275	920714
11317	92049	1079044
11506	98446	939402
11285	95645	1076535
11268	92294	1473135
10311	158283	1907886
11231	94712	941822
11300	96497	1057459
11057	94786	948633
11300	96206	1075747
11274	94777	927302
11322	95020	1046221
10749	63847	913189
11248	95863	2290417
11231	94914	931976
10346	98423	1074061
11282	96185	944561
11297	97372	1074364
11351	95180	879944
11108	99306	1059667
11251	96983	2127983
25658	112223	1134739
11512	91669	909663
11260	96180	1066373
11237	94377	932313
10465	94266	1083809
10580	96126	919409
10334	93623	1091606
11240	96606	2201792
25934	133181	1129011
26594	132977	1124548
26363	113983	1092015
10469	61356	889984
11263	97334	1074387
11248	95957	911805
10428	97991	2191441
25864	132974	1141204
25875	132299	1165521
11220	95029	932731
8080	92778	1068741
11274	93761	984347
11257	89386	1079604
11420	93617	969070
11537	94878	2243328
25652	132869	954444
11296	96934	1034947
11651	96671	942330
11451	96438	1039099
11348	92080	906348
10465	93591	999800
10934	96955	2067862
11440	106628	1102840
11382	93468	925016
11012	97049	1054053
11428	93829	938845
11394	94960	1044756
11434	95503	927137
11569	95718	1057470
11385	93629	2039127
11362	92826	1063361
11583	98832	925160
11328	95157	970847
11368	95003	918151
7186	85844	933279
6460	91689	895812
6163	92463	997340
5980	86781	2135837
11045	94443	1161863
11363	94189	938938
10403	90012	1079115
10425	94880	945789
10745	95566	1104251
11345	95643	961871
10391	94066	1114225
13097	75462	2082671
11334	94549	1041196
10414	95306	912249
10119	94006	1064564
11417	93235	910595
11337	96514	1055418
6634	91740	1014403
6111	90909	1514842
11231	91234	1586460
11263	92592	1009760
8974	76300	929716
11391	93620	1083552
11348	92169	946864
11394	94755	1138942
11525	99626	2244214
26239	133502	1213227
11274	94957	979424
11626	96143	1098635
11354	91483	943765
11371	89578	1081709
11440	106814	1503132
11514	91780	1811072
26220	133357	1112594
10568	98143	1114151
11246	94149	927731
10334	95152	1118011
10425	92937	967804
10585	96897	2240468
27921	120302	1032762
11277	94340	1056059
25932	128079	1206294
11348	90363	1039153
11360	93455	935725
10723	64459	1067092
11271	97060	2180439
26115	127399	1167624
11480	97432	952799
11260	94183	1102875
11245	94983	935667
11414	93518	1087661
11471	98189	934442
11283	94652	2275064
26568	133608	1028408
11574	95074	1094823
11302	90675	983723
11449	88124	1082438
11377	104894	931902
11516	96505	1132119
11283	94652	2198212
25185	112856	1162533
11291	98589	924351
11260	93746	1178501
11417	93455	936634
11502	96871	1076424
11260	96203	1092149
11271	94603	2081047
11492	93472	931588
11299	97411	1088814
11277	94466	977690
11337	95406	1083532
11626	96261	937017
11357	93861	1048268
11348	94591	1981046
11583	143907	1116577
11454	146133	1050070
11386	142079	1102409
10754	62761	928527
11382	96891	1110108
11348	92914	952347
11431	96120	2203805
11688	92460	950153
11359	95657	1094691
11348	96114	939313
10997	97495	1131871
11357	95520	958096
11349	94243	1076164
11442	94557	1994977
11637	96509	1127988
11302	91780	956724
10428	93223	1094700
11594	94497	982646
10445	94114	1101797
11445	94049	906223
10403	92915	2440505
11568	97657	940690
11351	93614	1063984
10834	63730	906543
11359	95603	1076721
11357	95854	1090469
11339	95705	1028876
11108	95031	1606017
11314	93395	1084595
11440	97017	947376
11372	95878	1067916
11522	98583	948053
11237	95252	1083101
11234	94091	2080555
11471	96463	1109448
11240	92600	918203
11245	90843	985849
10829	64647	892126
11239	97031	1084997
11226	98040	949236
11266	96017	1072058
10771	99034	2254533
11297	151061	1207777
11286	94815	930091
11454	95669	1091324
11383	93521	935171
11402	88992	1052564
11360	91849	1011383
11520	96480	2303869
27598	134518	1005131
11286	95095	1056884
11657	96023	1050144
11382	95245	1073103
11416	96137	920342
11357	100928	1059241
11440	95598	1574347
11294	153312	1163422
11379	94440	925856
10740	98771	1044093
11365	92831	920045
11394	92815	1050225
11417	93041	957639
11037	93912	1046022
11431	97134	947304
11365	94577	1811362
11468	94220	962815
11269	95381	1090489
11356	95143	946181
11428	96585	1063601
11503	98563	964444
11268	96737	2194640
25033	121880	1116265
11740	97883	1094017
11419	93520	907834
11340	91409	1078560
25984	141254	1157600
11469	94789	1063290
11306	93660	2017480
10631	64412	1067093
11271	92980	967838
11303	90864	1083158
11445	95354	914583
11000	94163	1084615
11274	96672	948719
11300	95026	2234282
25909	132129	1245488
26238	115412	1121374
11274	89957	914471
11440	92046	1042922
11537	90961	946731
11397	92003	1081210
11420	96483	2361522
11454	98391	1216865
11397	95626	934262
11337	94686	1113371
10902	96345	923176
11291	95960	1085835
11353	96594	962238
11334	93869	1133765
11531	97297	1302703
11443	95715	1200032
11303	93921	1030983
10217	98729	1059958
10485	91017	902126
10448	91897	1114725
11320	92489	912312
10488	62124	1047779
11434	93571	937639
11348	93612	1067247
11303	93978	1576724
11679	92517	1733782
11363	90449	952985
11331	95803	1081060
11031	95986	948305
11346	95357	1071238
11434	93806	915942
11343	94092	1111329
8160	89241	933534
11360	91669	1066481
6729	89729	882670
4315	84118	1091169
11554	93489	2042982
26030	127774	1155149
11383	96572	984725
11485	98045	1109434
11271	97517	953622
11288	93834	1063327
11231	129271	1480881
11460	93146	1672935
11377	94855	931719
13063	68112	1015408
11300	90946	980935
11265	96260	1046756
11248	95423	937036
10826	97798	1042305
11451	95109	1929006
11426	93629	1031908
11497	66244	891237
10406	95178	1034168
11246	97463	966741
11448	95635	1035576
11417	99054	931822
11560	94700	2157736
11302	162307	1073518
11471	149648	1177909
11362	92054	933133
11323	94797	1129300
11426	93926	918880
10823	95932	1074172
11251	97377	2206242
27016	128480	1112839
11523	95295	933017
10411	92848	1089500
11365	96451	1119388
11303	93686	1031568
10728	97186	940753
10763	91815	2197952
10756	94140	1048150
11254	96394	1032076
11251	95966	935816
11305	93614	1071735
11017	97929	915540
11246	98549	1099783
11285	93017	2164795
11477	96760	1087900
11245	95394	1079069
11283	88915	1030271
11394	92480	931774
10911	90474	1118225
11277	92678	931980
11262	91917	2379409
14143	121987	1117065
11266	97580	1044768
11277	97049	943827
12800	98800	1031522
10329	93692	961202
10385	94691	1032639
11317	94803	958342
12652	65679	995809
11385	95711	910645
11302	95383	1035899
11451	92926	914943
11314	89569	1081369
26538	161694	1185053
11371	91497	1068488
11383	88126	895946
10668	62467	2150082
26320	128567	1089286
11348	94817	1070058
11480	97060	947302
11380	95309	1072407
11345	95849	943110
11382	95954	2267241
26762	118920	937336
11357	92846	1087818
11440	90961	983987
11708	94706	1085635
11374	91555	946422
11389	93069	1126394
11437	95448	1550427
11662	96797	1074641
11417	95257	940033
10405	92800	1065773
10683	93129	943005
10400	92498	1065210
11359	93489	905203
