write_duration_nsec	flush_duration_nsec
32669	968359
28216	832833
28336	2508165
30616	926344
28433	799161
28366	874872
28369	925390
30093	815027
28396	793268
28509	860605
28390	2225247
30323	864486
28523	783001
28462	838066
28343	780934
45879	1005335
28306	790181
28529	842519
28419	786234
28386	988709
30483	804567
28459	2094617
28156	964110
30832	842229
28256	978496
28282	828759
28129	778861
28529	887298
30513	778355
28439	926557
28343	2032546
30523	954823
28293	929600
28099	831820
28456	786721
28399	890038
30612	779694
28406	850526
28489	779915
28462	854315
30546	791258
28409	2112793
28253	882352
28182	828546
30782	794380
28579	843072
28416	778421
28476	851713
28259	772368
30703	1318333
28445	1702508
28233	899745
30536	788168
28776	845579
28506	784954
28476	857593
28606	786488
30560	862139
28563	2001600
28185	1017504
30415	814913
28412	850285
28453	787601
28456	854259
28409	892404
30346	800160
28525	2007592
28206	959496
30763	870879
28490	873106
28445	829446
28189	907504
30642	851572
28239	807413
28352	1255594
28446	1789179
30473	956630
28216	813233
28386	784328
28306	847566
30639	784981
28482	851912
28502	789480
28833	2294492
30532	999255
28150	879192
28429	789454
28510	926104
30406	918924
28222	818740
28376	792698
28443	902895
28339	836300
30625	1301932
28282	1699735
28285	830966
30532	791461
28502	851012
28366	806207
15633	2014883
30542	903164
28280	895065
28262	793301
28592	1011801
30839	800268
28296	848553
28392	796381
28466	2088091
30642	1028361
28189	996261
28180	937557
30400	1045594
28013	802781
28826	855526
28322	794414
28526	2133816
30426	863352
28443	862473
28299	808294
30832	864965
28249	888385
28376	869532
28393	798541
28336	2040499
30682	807217
28496	863866
28463	869379
30666	800854
28366	811294
28466	994975
28292	800530
28276	916137
30616	1973297
28346	857456
28519	875005
30583	797774
28460	783178
28376	859889
28233	968599
28292	842612
30719	2085403
28326	810807
28479	872745
31066	820167
28239	788714
28412	846279
28373	938564
28232	995355
30629	2059251
28372	807173
28372	792474
30612	850412
28580	822367
28289	876145
28346	785675
28462	1006828
30816	808040
28490	2123203
28242	790241
30753	862833
28415	787234
28473	850846
28573	794494
28503	845906
30539	926084
28529	2028912
28176	842122
30496	836286
28262	796827
28393	848499
28553	783821
28482	846419
30750	785565
28959	1054820
28256	2029946
30563	822353
28489	782854
28409	842659
28473	785215
28632	845753
30546	787834
28503	846080
28443	2093327
30469	953229
28442	797054
28265	859212
28310	789495
28393	867332
30726	784388
28459	850632
28296	894818
28223	2056629
30319	851259
28376	863739
28465	792887
28486	847639
28563	793108
28556	854379
28519	847519
28249	2091457
30542	854272
28496	896444
28423	798168
28886	896272
30899	807827
28313	837833
28442	786634
28546	2072811
30510	1014335
28276	980449
28382	806420
42855	859639
30626	789554
28409	848740
28533	792474
28492	1292936
30596	1639503
28119	1026674
28215	859265
30769	844352
28469	796081
28515	848339
28316	789574
28336	863393
30605	2286411
28333	1053323
28279	803304
30622	846165
28490	785348
28526	847479
28209	775541
28436	908078
28229	787448
29002	848662
28516	785261
28346	1666582
30636	832046
28372	851099
28572	772141
28356	848179
44802	835379
30716	832066
28456	779115
28376	831580
28479	778771
30609	869058
28400	910364
28392	856079
28389	804240
28379	842419
30749	800294
28276	843686
28436	877512
28156	809207
28319	871265
30609	1365811
28340	855266
28312	1000955
28469	2132716
30403	832713
28426	794547
28552	926537
30666	789701
28802	852226
28433	907364
28329	860949
28496	894464
30722	852193
28636	796161
28432	2168828
30389	870085
28349	869362
28386	955476
28173	855206
30646	785594
28466	848072
28373	781248
28446	928190
28349	2119843
30423	999162
28206	848133
28282	980015
30649	814233
28299	854352
28370	1959515
30556	1002361
28143	794554
28405	856265
28523	795748
28359	935057
30499	815033
28319	852486
28629	799994
28843	2105491
30389	808080
28312	853339
28390	806561
28416	932831
30359	889018
28430	814027
28309	796027
28345	2145429
30836	1030461
28309	801674
28676	795327
28333	883378
30710	788075
28526	1068840
28300	798001
28376	2182101
30669	887925
28229	846646
28256	809823
