elapsed_after_memcpy_nsec	elapsed_after_msync_nsec	elapsed_after_fsync_nsec
921460	1744177	3381369
974453	1638448	3384436
974087	1640851	3363259
998443	1652843	3396607
1010230	1617832	3246402
1003229	1670118	2676345
1064666	1702751	3423810
1020412	1648679	3344300
1049833	1764538	3480560
1039445	1667185	3357044
1078302	1664842	3829705
1072565	1639018	3324837
879297	1627501	2509750
890743	2136747	3672390
914511	1627534	3127039
991916	1707762	3747471
980960	1660226	3331330
1009268	1697505	3390467
1079756	1646321	3407337
1003875	1717275	2724014
1056073	1764413	3394279
1017399	1662650	3426823
1044100	1705487	3303774
1061283	1726606	3574830
1068303	1665414	3501643
997577	1627320	3359825
952965	1531146	2486934
943891	1660921	3179365
890709	1617620	3224875
911491	1629218	3698310
945389	1637070	3252989
932230	1644940	2580215
974260	2081555	3651798
883956	1700428	3190585
953167	1637413	3732088
975332	1748817	3274741
977888	1633094	3295378
1021748	1823607	3534855
1022976	1662421	2688375
1051503	1678862	3871469
1051343	1707597	4195664
903482	1618620	3270496
902877	1604998	3070123
894029	1691159	3336356
1000185	1644370	3329143
998717	1743133	3499534
960608	1659340	2622979
1053130	1702154	3516969
1002213	1660975	3445664
1060443	1674699	3805554
915077	1708906	3416594
914734	1612880	3217834
939513	1634831	3512403
1008577	1595017	3296038
967733	1647965	2618700
987846	1848311	3463736
1073766	1657066	3398541
1025506	1756790	3393603
1033845	1664454	3385225
1031316	1733477	3533121
884822	1643472	2531138
908191	1617536	3205960
903486	2065258	3670442
906185	1623778	3283887
980878	1629973	3693344
997651	1658939	3449724
1049840	1656717	3404622
1081829	1728706	3607202
1043474	1663444	2709775
1065660	1656707	3568431
859430	1606717	3110811
851432	1607176	3087547
869579	1909633	3556721
890595	1674382	3255849
963401	1650574	2616982
935151	1606729	3228749
972738	1701212	3380430
1054523	2172508	3958016
1050990	1673262	3344504
1038526	1741366	3733494
1025570	1647921	3353828
969955	1763541	2736466
983109	1822017	3386120
963350	1642777	4368225
858057	1616772	3161170
919365	1607393	3353448
923333	1644004	3154570
991588	1724729	3493584
1008205	1640698	3355813
961819	1651555	2616236
1056193	1708007	3540151
1056853	1643880	3279681
1017235	1693123	3479983
1049113	1643633	3244640
980982	1653569	3502514
999444	1646829	3348295
967555	1639238	2609653
1055660	1813525	3615144
1061417	1666722	3280029
1016092	1738644	3527094
1057043	1712271	3390780
958746	1710114	3363738
1090822	1747073	3517050
1009606	1713334	2725942
851750	1611596	3298490
850336	1612193	3212402
846749	1605661	3138736
927167	1706735	3441529
960501	1668575	2631928
973115	1595088	3671217
977272	1715558	3539759
912202	1645728	3239958
909520	1776935	3346322
921288	1626630	3207547
976857	2141644	3909522
1014133	1632574	3190255
940291	1659358	2602674
1011347	1980013	3569640
1026468	1682154	3312891
1023585	1736156	3797002
866557	1670176	3268779
1016465	1610951	3260106
975073	1772004	2751048
983929	1662461	3426447
983554	1671744	3805853
976655	1679786	3350233
983695	1655473	3372340
979849	1763706	3497534
1093360	1669595	3438418
1091025	1681761	3674336
1090872	1702333	3385348
1052001	1694589	2750761
1057750	1797410	3724584
1069942	1684899	3351069
917811	1651464	3393346
917205	1656207	3261930
937996	1663935	3394424
968133	1763582	3344149
1049548	1709039	2762821
1055970	1737388	3653666
1070259	2517840	4293173
914179	1732876	3409966
910180	1649940	3436160
910128	1743434	3414786
1074437	1793015	3560878
1097980	1775034	3574068
1094417	1994150	4048423
1111867	1749608	3634733
1092685	1537807	3374233
1093025	1827654	3530045
977566	1724542	2706279
995578	1670492	3922522
990260	1673675	3440330
986703	1686486	3419790
981755	1755932	3510742
977018	1679394	3454481
1074329	1674493	3555689
1082499	1672280	3556476
1083383	1666818	3488834
1037270	1713848	2755301
1061096	1751450	3593028
1067938	1790703	3602943
857345	1637993	3191163
859910	1636102	3564618
863787	1651752	3258120
1018659	1755111	3540386
1008651	1669992	3389949
973018	1707705	2684689
986554	1707434	3650490
982472	1747105	3344417
977343	1647261	3357581
977520	1793557	3363646
1002980	1664467	3345925
1011004	1747425	3475392
1039245	1676105	2719539
1052513	1697463	3416488
1064319	1794766	3411653
921862	1655495	3319095
953487	1671118	3505350
948864	1594910	3362988
967883	1700162	3415447
