elapsed_after_write_registered_nsec	elapsed_after_write_completed_nsec	elapsed_after_fsync_registered_nsec	elapsed_after_fsync_completed_nsec	non_blocking_time_nsec
13049	76064	86267	1148174	22672
13143	60971	71074	955619	22662
13130	70155	80298	1029280	22690
13033	63985	74264	956669	22709
13026	72698	83111	2223572	22840
12960	77772	88495	1164340	23086
13030	70102	80308	1088189	22643
13096	61168	71258	953873	22605
13116	70367	80667	956009	22836
12809	64048	74254	966095	22389
13046	72038	82544	1036003	22906
12969	60731	71198	2156028	22853
13173	75525	85721	1275110	22772
12943	61829	72185	945443	22709
13020	72031	82191	1034070	22580
13080	61022	71131	1066876	22613
13016	75307	85760	1136663	22872
12989	62524	72701	983285	22576
13043	71778	82187	2191697	22853
13130	64098	74445	968582	22826
13176	72344	83311	1054079	23549
13057	60622	70905	939283	22737
12696	75494	86194	1176539	22803
13183	61655	71908	978579	22843
13113	71221	81444	1080872	22746
13180	60925	70828	2225113	22503
13029	75908	86957	1033840	23439
12996	62365	72664	946303	22703
13040	70882	81225	1017494	22793
13053	64892	75221	964003	22792
13053	72414	82721	1037400	22753
12986	61718	72308	952779	22976
13039	70907	81364	2245515	22903
13056	64258	74674	961206	22855
13143	73808	84274	1174209	23000
13089	61321	71841	1044460	23016
13253	74545	84771	1024331	22869
13267	60969	71195	1104445	22887
13246	71461	81711	1072136	22899
12783	64098	74298	2271681	22407
13043	72165	82648	1174830	22933
14253	65858	76181	973752	23975
13133	76602	87661	1025958	23569
13113	63511	73644	950446	22646
13096	71771	82107	1087725	22836
13143	61162	71308	953213	22692
13033	74654	84624	2231056	22406
13033	62618	72958	962116	22769
13099	71864	82187	1057176	22831
13099	63018	73194	973112	22635
13116	70725	80711	1006128	22533
13143	60689	70925	949063	22789
13056	70311	80604	1084029	22748
13076	63651	74038	2285718	22859
13076	72008	83571	1151430	24037
14300	63418	73565	966502	23830
13299	73011	83364	1007961	23045
12957	45729	55696	889991	22377
13126	49095	59365	972082	22792
12813	46719	56832	1006298	22349
12903	52732	63142	948709	22707
12943	46769	56848	880835	22463
13136	48209	58185	925590	22516
12849	48912	58928	921877	22282
12836	53062	63255	1174893	22433
12910	45792	55842	902451	22354
12823	47832	57892	971576	22286
13020	49745	59868	1541946	22520
13103	72854	83194	1150573	22840
13077	61995	72395	982642	22870
13116	71681	81918	997261	22749
13106	63865	74208	999225	22840
13033	71915	82421	1028671	22938
13023	61668	72065	947203	22790
13150	70868	80974	1017921	22659
13133	63772	73798	1454822	22543
13086	71894	82394	1169043	22990
13120	61775	72328	1111672	23069
14352	75361	86367	2313830	24745
13246	61104	71178	997064	22733
13089	70521	80627	1145620	22626
13129	64095	74594	964642	23021
13103	71988	82271	1060063	22786
13023	61758	72151	1008531	22785
12953	75758	86351	1038210	22933
13172	61864	72054	1034586	22768
13177	70935	81148	1090692	22793
13163	60561	70628	1473754	22633
13147	75211	85598	1724867	22884
13119	62701	72964	984765	22776
13087	70938	81208	1107275	22736
13120	64835	75151	972765	22833
13139	72874	83257	1042083	22928
13129	61828	72178	959532	22869
13143	71241	81561	1069886	22874
13133	64892	75368	2159012	23009
13053	72158	82468	1053153	22763
13116	61835	72304	1126351	22979
13249	74278	84597	1048693	22962
13160	60935	71015	962402	22654
13256	71051	81161	1052153	22783
13103	65624	76167	966412	23050
13016	72514	83081	1105625	22983
13103	62145	72802	2401495	23136
13157	76728	87095	1215715	22923
13063	62825	73264	981988	22869
13106	71955	82361	1048840	22879
13053	60908	71188	1063382	22737
13133	74774	84921	1137374	22680
13057	61609	72062	1667886	22903
13016	71401	81811	2185220	22829
13129	63088	73411	1166416	22836
13133	71505	81671	1024157	22702
12816	64281	74664	939119	22583
13019	56861	67058	977215	22606
12833	46352	56308	932640	22236
13016	71181	81507	1026807	22746
13206	77701	88204	2204943	23116
13146	70878	80988	1205825	22672
13226	61238	71461	979752	22856
13163	75475	85845	1049000	22923
13033	61729	72155	1122245	22819
13117	71115	81591	1035737	23003
13183	61018	71108	991498	22666
13123	75384	85687	1221795	22829
13103	62355	72698	2144472	22838
13130	94271	105024	1063303	23286
13160	60865	71001	1017531	22700
13180	70641	80804	1139130	22762
13140	61045	71155	914417	22670
12847	74838	85061	1179290	22492
12993	61285	71491	1152583	22586
13003	73668	84061	2337920	22792
13057	64282	74672	1167200	22850
13017	72725	83278	1061507	22937
13093	61869	72222	981122	22846
13386	74644	84647	1034107	22772
13196	60888	71228	1056813	22929
13226	71098	81251	1145284	22769
13199	60668	70937	2299873	22892
13076	75558	86128	1201789	23049
13043	61672	72172	1083036	22949
13086	70978	81604	1057519	23086
13182	63044	73107	1071045	22662
13193	70991	81214	1023544	22830
13146	60958	71011	1049070	22620
12767	75178	85438	2290718	22400
13129	62665	72988	1158793	22846
13047	72138	82438	1196989	22749
13160	64248	74681	969206	22996
13067	72648	83178	1031391	22993
13139	61878	72404	958532	23032
13140	71121	81488	1088099	22886
13043	63735	74128	960199	22799
14203	73024	83534	1142680	24110
13103	61841	72184	1063936	22840
13410	75118	85405	1133714	23073
13116	60505	70871	1043147	22879
13207	70708	81035	1466408	22950
13153	60815	70901	1663679	22653
13130	75118	85411	1047770	22829
13033	61728	72158	960752	22863
13129	70984	81204	1293952	22759
13097	64212	74648	984489	22939
13093	71691	82064	1138160	22859
13183	61855	72222	2045011	22940
13213	75391	97364	1049633	23369
13270	61802	71775	936350	22646
13226	70894	80764	983808	22509
13049	59821	69484	1051096	22096
13163	75275	85675	1001315	22946
13176	61865	72164	925726	22886
13060	71181	81671	985292	22953
13380	59848	69835	2036105	22787
14533	76501	86764	1042177	24169
8097	63405	73882	976786	18016
13120	90285	96458	974689	18903
7598	36166	41968	924716	13059
21312	79070	89300	996601	30983
7550	63951	74044	924849	17119
7560	76491	86584	2105949	17085
7432	66064	76437	965772	17264
7495	71658	81964	980255	17242
7512	64564	74617	934133	16984
7506	79708	90041	1095459	17289
22847	70779	81265	954555	32753
7520	41426	47376	940145	13127
13706	61485	71608	1004363	23236
7488	43386	49136	2041815	12897
7527	35600	41526	857112	13108
7514	42100	48084	883226	13147
7525	36050	42065	848813	13172
7596	40965	46729	893380	13009
7624	35039	40911	871941	13168
7636	41029	46768	836037	13013
7301	37022	42795	855746	12735
7507	41740	48224	2105079	13648
7465	35239	41216	920276	13101
11374	80109	86226	906897	17075
7547	34921	40702	897403	12988
7576	41187	47130	924725	13169
7616	35010	40926	968297	13189
7543	41249	47079	858871	13026
7525	36696	42427	842616	12904
8187	41912	47759	2075059	13690
8123	53430	61285	992897	15543
7551	65609	74002	1001099	15492
7525	35475	41376	867002	13081
7531	41620	47526	940851	13088
7523	34993	40934	863190	13124
7320	43241	49085	999713	12813
7474	35828	41778	975124	13081
7375	41578	47338	1915207	12800
7349	37550	43492	975242	12928
7514	67161	75544	997183	15428
7472	35418	41368	908256	13056
7445	41020	46968	917048	13050
7556	34064	39843	837218	12995
7503	42846	48517	1018668	12833
7485	35275	41029	1378145	12902
7607	66493	88701	1650416	29357
21409	59016	66923	883595	28850
7488	41367	47317	915105	13092
7529	35252	41241	840336	13173
7489	40985	46909	832727	13069
7304	28471	34214	842272	12711
7484	63090	70624	1039923	14581
7503	54387	61852	1958883	14547
7522	60466	68126	1121150	14748
7547	54763	62467	1003871	14814
7558	65121	73295	1022555	15278
7634	34984	40776	790328	13064
7273	43230	49142	995543	12823
7530	35938	41936	827449	13162
8145	41351	47149	997415	13602
7562	35390	41028	2055412	12853
7449	43582	49620	967787	13133
7434	35757	41786	841831	13114
7538	41539	47520	864693	13171
7554	34985	40831	908375	13053
7500	43532	49551	947982	13180
7454	35571	41334	905643	12876
7447	41058	46854	1003485	12908
7545	34811	40445	1423235	12842
9238	54077	61414	913726	16159
9333	44225	51547	858206	16230
9303	51058	58231	906050	16059
9430	43222	50083	924412	15874
9289	53402	60995	905778	16454
9251	44128	51280	940182	15980
9270	50648	57714	905122	15913
9337	43059	50019	1712404	15865
9309	58528	65875	955405	16229
9320	44235	51610	855907	16263
9276	50888	58214	882810	16172
7577	34843	40451	906197	12834
7531	43341	49309	889412	13149
7538	35892	41638	827109	12947
7472	41170	46930	868359	12896
7520	34814	40570	864655	12931
7463	44469	50235	2101037	12894
7472	36054	42227	945470	13276
7493	41524	47480	928759	13103
7489	36454	42328	834501	13016
7497	41470	47477	878064	13142
7545	35116	40893	836184	12981
7462	40675	46480	893092	12924
7523	34968	40614	794456	12836
7225	35420	41298	2010307	12760
7457	57593	65936	935567	15343
10885	57530	65871	1002367	18750
21624	62552	70924	979531	29550
21063	69179	77522	921076	28947
7457	35453	41439	823100	13099
7539	40828	46441	860854	12812
7613	34749	40298	821003	12815
7558	42907	48722	1356022	13025
7472	57063	65373	1614655	15328
21516	68793	77162	939900	29411
5874	35024	40593	814812	11089
5838	39612	45225	914288	11087
5824	33881	39471	807916	11076
5588	39610	45187	865540	10844
5819	34980	40618	808674	11135
5798	39679	45266	920561	11021
5992	34087	39675	1983530	11218
5912	65603	73596	1008916	13442
5739	50424	58746	902959	13575
5819	40333	46112	874417	11227
5661	33605	39300	805108	11008
5670	38903	44705	877079	11097
5512	35046	40587	816372	10729
5752	39633	45261	946394	11047
5855	49665	57582	2282219	13324
20850	70413	78669	1164988	28651
5853	34521	40265	910062	11220
5920	40092	45847	881995	11280
5811	33138	38818	805703	11105
5661	41685	47338	875495	10950
5739	33978	39747	815514	11148
5655	39592	45081	898580	10797
5743	33064	38555	1072634	10895
5743	39254	44782	892569	10923
5798	34976	40589	845410	11045
5813	39803	45505	978829	11192
5762	33664	39289	833947	11051
5634	39054	44648	1413749	10889
5840	35408	41161	864299	11218
5777	39706	45367	1117238	11094
5914	34016	39760	844739	11279
5834	39180	44902	1004360	11193
5905	35161	40886	894386	11285
5601	31989	37541	841920	10796
5630	24671	30342	918992	10947
5725	26609	32132	906877	10896
5560	24232	29816	846601	10786
5727	28525	34086	883377	10923
5922	25007	30590	1288709	11160
5612	26287	31847	905455	10863
5807	25713	31368	952772	11112
5672	28479	34136	845802	10997
5626	24500	30047	791404	10834
5588	25791	31319	1041741	10758
5611	49846	57076	889822	12419
4173	32900	37696	906473	8707
5741	25283	30971	849012	11101
5819	26843	32451	843970	11101
4381	21140	25938	780444	8964
4301	26664	31476	908761	8887
5615	24662	30254	2004047	10884
5853	26654	32239	888771	11082
4396	22384	27243	1095291	9019
5670	64151	71801	1010202	12857
5809	33759	39509	849103	11191
5838	39700	45399	876325	11170
5802	33230	39037	960084	11239
5760	41741	47932	884474	11596
5725	33334	38976	844095	11004
5652	39433	45007	930991	10856
5510	33106	38757	842242	10801
5642	41501	47231	2071604	11037
5647	55235	62850	954953	12793
5731	39606	45278	871473	11030
5592	35007	40660	842772	10917
5640	39940	45665	900946	10967
5516	33523	39390	860958	11030
5723	39368	44958	914724	10983
5807	33163	38749	839612	11037
5667	41591	47593	1043311	11294
5839	34041	39536	1368576	11006
5737	40409	46252	1776077	11202
5865	35519	41365	832125	11341
5852	40451	46237	899706	11265
5638	33363	39050	936782	10972
5701	39150	44938	830808	11117
5607	35136	41065	814111	11172
5765	40155	45747	959073	11007
5827	33616	39281	819824	11156
5718	39029	44541	903071	10881
5640	33738	39241	793316	10808
4568	40786	45851	1073786	9379
5701	34096	39776	1955982	11015
5838	39727	45549	857166	11287
5796	35200	41042	882595	11262
5803	40440	46543	881540	11544
5781	33974	39604	804078	11035
5552	38641	44172	978945	10712
5779	32731	38201	867525	10881
5764	41163	46772	1051899	11027
5841	33827	39374	1458638	11043
5779	62419	70102	917978	12988
5683	34985	41341	813412	11679
