before wait	after wait	rtt
317	17473	20184
205	17303	19717
232	17364	20684
215	17358	19452
225	17360	19540
220	17353	20166
222	17380	19701
209	17345	19801
216	17358	19645
214	17355	20408
213	17350	19804
210	17376	20162
226	17357	19767
214	17309	20166
219	17356	19988
214	17366	19894
228	17373	20125
212	17353	19577
216	17372	20054
214	17357	19897
217	17358	20060
211	17352	19737
211	17395	19858
255	17444	19841
244	17392	24919
210	17341	19324
214	17322	20271
236	17374	20088
230	17408	20049
217	17351	19982
223	17347	20041
213	17368	19775
219	17345	25358
211	17348	19422
220	17381	20183
217	17370	19958
214	17355	20035
240	17380	19784
217	17344	20238
213	17353	20100
213	17361	25225
219	17357	20405
213	17350	20662
220	17363	19960
222	17377	20277
230	17378	19992
207	17341	19955
210	17350	20207
217	17350	24949
212	17360	19843
215	17350	20553
217	17361	20242
227	17346	20371
214	17365	20136
217	17353	20275
244	17368	19867
223	17380	25004
213	17344	19985
218	17341	20144
236	17388	19737
217	17348	20268
211	17352	20321
221	17371	20056
210	17318	19891
216	17357	24575
211	17348	20208
219	17369	20520
211	17355	20125
213	17328	19625
262	17406	19793
224	17362	19645
212	17347	19851
218	17375	28156
221	17353	20062
213	17337	20169
218	17341	19995
223	17348	20210
233	17354	20254
213	17327	19854
210	17357	19851
220	17361	24932
219	17372	19589
206	17347	20372
206	17310	20193
217	17359	20156
218	17329	19575
215	17342	19913
219	17407	19841
254	17390	25197
245	17383	19968
218	17355	20375
226	17415	19275
255	17399	20209
221	17369	19992
211	17362	20079
210	17358	20003
207	17342	25516
220	17367	19978
218	17367	20328
219	17348	20102
210	17345	19955
224	17370	20082
216	17359	19885
208	17301	20211
223	17327	21450
214	17355	19468
214	17352	19310
207	17352	20348
220	17377	20458
227	17381	19993
210	17307	20231
208	17359	22246
215	17355	19769
216	17354	19719
208	17351	20391
207	17325	20468
219	17335	20334
209	17348	19634
213	17339	20274
214	17348	20065
210	17344	20503
237	17363	19285
216	17349	19831
217	17348	20361
214	17373	19757
215	17364	20107
219	17354	20174
210	17387	20268
219	17368	20094
209	17349	20586
222	17424	20500
306	17384	19311
216	17354	19588
208	17339	19901
219	17347	19704
219	17348	27551
211	17356	20276
214	17336	20328
213	17319	20527
210	17327	20055
219	17301	20243
227	17361	20211
211	17355	20096
209	17354	19648
227	17372	19332
208	17361	20077
209	17340	20197
208	17376	20421
213	17362	20358
214	17344	20235
208	17373	19990
245	17430	19543
210	17301	19898
208	17342	20380
210	17332	20398
233	17324	20167
208	17349	20156
214	17323	20295
215	17356	29082
208	17388	20296
211	17344	20531
211	17324	20472
217	17315	20354
209	17350	20153
212	17351	20351
286	17430	20137
219	17354	19928
208	17343	20356
205	17337	19747
210	17341	19459
220	17331	19625
196	17331	20665
203	17324	19312
211	17340	19461
201	17320	19413
197	17311	19473
219	17344	20043
213	17307	19906
200	17325	19771
195	17322	19453
220	17342	19559
