before wait	after wait	rtt
787	921730	1021037
1182	922293	1020214
1150	921357	1019573
1181	922148	1029584
385	921443	1025139
517	921383	1023745
1128	921359	1019639
428	921573	1022855
442	921454	1023980
425	921429	1021913
1104	921381	1023151
1031	921472	1019761
1227	921458	1018915
474	921371	1024438
1114	921430	1018805
1135	921414	1019285
2014	922284	1020365
518	921464	1019971
1151	921599	1023201
1421	922359	1022656
1300	922432	1020578
475	921363	1019337
1214	921438	1025250
1175	922419	1022046
1884	922188	1022057
456	921382	1020779
1139	921620	1022678
1097	922140	1021542
1093	921407	1021144
397	921371	1021499
1099	921378	1022003
448	922173	1021803
384	921386	1019986
380	921397	1020540
390	921396	1021169
1146	922101	1023101
1651	922571	1021995
460	921378	1022111
1408	922156	1021701
407	921535	1019208
377	921508	1020599
536	921533	1025440
1178	921748	1021513
1129	921503	1019646
1580	921514	1021200
477	921481	1020474
1140	921398	1020741
1113	921440	1021304
1117	922174	1019593
1283	922182	1022261
1292	921545	1020880
1869	922351	1020541
2093	922197	1022794
1244	922215	1022379
1177	921600	1021531
1261	922548	1020798
1249	921447	1020552
394	921347	1020039
1094	921511	1018652
1904	922172	1023491
388	921424	1021699
1278	922423	1023136
1113	921395	1020344
1081	921340	1019405
504	922309	1021832
402	921387	1021734
1090	921374	1020848
1176	922321	1020227
575	921576	1022788
389	921364	1024564
1121	921548	1021089
416	922245	1021798
1175	922181	1021768
380	921407	1028692
1107	921455	1023466
1097	921400	1028145
1120	921421	1021947
482	921463	1020155
1107	921371	1021823
1125	921479	1027627
1119	921532	1018438
1655	922556	1023283
1121	921423	1021856
1466	922217	1023728
1258	921648	1016852
589	921499	1020649
1248	922078	1019868
1172	922198	1021268
469	921406	1018976
381	921362	1023041
1073	921374	1018685
1080	921370	1019444
552	921554	1016907
470	921452	1023448
1095	921368	1020958
1085	921377	1020418
389	921500	1021662
447	921335	1027397
1072	921402	1024573
1868	922252	1023515
1453	922158	1020885
1209	922138	1026817
1423	922300	1019900
386	921353	1020678
394	921592	1019951
1327	922260	1021762
1929	922223	1022860
1118	921389	1021529
556	921428	1031444
448	921356	1021876
1406	922179	1026211
1123	921386	1020975
1113	922437	1021737
757	921467	1026149
1104	921376	1021855
1113	921673	1021573
1105	921356	1020780
1272	922163	1029634
1145	921630	1021385
1099	921363	1020427
1269	921514	1021762
1357	922324	1031145
1290	921558	1020717
2032	922958	1025780
386	921354	1025131
375	921394	1019433
1183	922156	1019162
1887	922204	1023310
640	921386	1024178
384	921391	1018724
1186	921504	1025572
