before wait	after wait	rtt
328	3023	4669
219	2897	4862
198	2863	4585
202	3068	4788
196	2890	3511
202	2884	4802
198	2895	3508
202	2874	3480
196	2867	3497
209	2900	3520
196	2910	3491
198	2876	3518
196	2808	3490
200	2800	3388
208	2808	3484
200	2869	3497
194	2893	3495
208	2905	3457
198	2878	3452
202	2872	3539
202	2878	14323
202	2867	4421
193	2863	3817
215	3491	5596
225	2845	4409
221	2907	3509
198	2870	3575
206	2884	3497
196	2880	3605
203	2895	3554
196	2878	3550
200	2878	3548
198	2811	3474
219	2892	3509
200	2890	3478
202	2892	3480
200	2819	3555
203	2796	3527
204	2882	3499
202	2876	3457
200	2826	3529
212	2911	3463
197	2800	3471
202	2886	3474
195	2815	3600
196	2777	3469
194	2862	3514
200	2867	3486
194	2863	3505
217	2880	3423
198	2878	3552
202	2870	3459
196	2800	3495
200	2808	3507
196	2884	3537
202	3269	4981
198	2792	4170
202	2893	3661
202	2884	3535
200	2878	3486
196	2886	3571
198	2869	3503
194	2869	3533
201	2891	3500
196	2897	3514
216	2878	3492
194	2864	3472
208	2877	3494
200	2885	3636
204	2870	4903
202	2873	3459
202	2903	4766
199	2798	3463
214	2813	3484
196	2878	3442
202	2883	3501
198	2887	3504
202	2832	3495
195	2816	3505
204	2886	3511
250	2867	3440
223	2890	3480
198	2878	3495
200	2874	3481
198	2874	3483
205	2866	3506
200	2819	3486
210	3297	5042
196	2863	4149
207	2885	3501
198	2884	3514
198	3074	4996
197	2875	3553
200	2892	3499
194	2884	3487
202	2862	3531
198	2865	3480
207	2990	5017
196	2880	3524
204	2876	3488
196	2891	3520
200	2873	3545
206	2874	3491
205	2868	3481
200	2883	3550
205	2874	3457
198	2870	3508
200	2883	3531
199	2871	3492
204	2874	3470
197	2886	3524
200	2875	3528
200	2872	3499
208	2880	3459
200	2914	3472
200	2861	3537
198	2811	3518
203	2872	3521
196	2811	3493
200	3246	5059
197	2806	4038
206	2848	3475
194	2794	3472
198	2813	3503
192	2787	3545
206	2874	3503
198	2888	3501
202	2876	3495
202	2909	3520
209	2840	3441
193	2867	3604
200	2893	3465
198	2855	11348
204	2880	4619
204	2887	3903
203	2952	3691
196	3061	3627
208	2882	3562
198	2792	3554
200	2867	3568
196	2884	3609
204	2853	3535
196	2865	3556
200	2882	3490
200	2861	3512
207	2891	3510
197	2791	3524
202	2831	3503
200	2796	3524
204	2890	3438
194	2865	3532
202	3411	5038
208	2880	4194
215	2889	3533
198	2871	3516
202	2873	3486
194	2806	3518
202	2882	3524
196	2794	3518
204	2905	3516
194	2861	3581
211	2884	3503
196	2874	3502
198	2864	3483
198	2862	3565
200	3130	5027
202	2893	3482
200	2867	3480
196	2861	3606
209	2811	3495
194	2867	3448
202	3057	5063
194	2870	3518
202	2876	3445
196	2881	3485
200	2895	3533
198	2859	3533
206	2968	3524
196	2783	3449
205	2786	3607
198	2857	3591
206	2887	3508
196	2912	3462
211	3249	5093
196	2870	4154
208	2878	3534
198	2817	3464
204	3009	3560
198	2872	3541
210	2895	3552
194	2870	3461
206	2815	3447
196	2792	3596
209	2887	3440
204	2870	3522
198	2880	3463
194	2866	3482
206	2874	3428
198	2794	3478
206	2865	3487
198	2883	3531
208	2811	3501
198	2794	3495
