memcpy_duration_nsec	msync_duration_nsec
30726	400545
32159	349937
26410	321895
25849	416911
32049	350653
26319	405008
36632	397879
32199	1344248
31452	422181
31906	463290
31763	354130
26033	377863
31999	351126
26683	309052
33716	403261
19381	422373
19023	19426275
24925	512195
25799	264465
26001	183820
20748	178096
20409	162694
19959	169056
20251	172981
20021	274500
20131	174374
19915	170026
20087	163490
20080	176922
20136	148768
20098	135518
19809	525161
26153	148664
27368	125111
20872	111959
20200	110524
20084	108585
20056	109863
20390	110199
20294	111703
19864	110819
20004	108317
20752	111562
20131	110703
19948	109444
19823	108710
20117	109204
19983	109689
19952	108938
19825	109790
19791	110719
19917	109597
19820	109202
20011	108900
20279	109992
19985	109827
19792	110018
19776	109835
20037	110967
20067	111928
19964	109307
20310	109274
19988	109720
20088	109410
20110	111403
19787	109516
19787	124255
25136	119359
19924	110538
19707	109352
19863	110079
20411	109801
20142	118039
19813	109822
19879	110107
20334	109621
19882	109938
19933	111065
19882	110230
19964	110357
19623	108383
19917	110091
20101	110574
20204	109938
20025	108877
19960	109795
19687	109034
20002	113524
30139	109804
14758	95148
14682	95043
14957	96706
14851	94485
14761	94717
14690	94960
14898	94797
14924	94611
14623	94072
14602	94792
14861	95213
14824	93984
14840	94201
14786	94706
14699	95853
17966	98807
14881	95576
14919	95666
14948	95940
14889	94308
15270	93991
14520	94596
14719	94544
14964	95464
14708	94683
14944	95543
14792	94799
15076	95314
14650	94123
14686	93824
14818	95751
14748	94540
14577	95704
15028	96264
14826	94934
14914	94030
14575	94858
14865	94543
14618	95083
14763	94269
14781	95371
14693	94695
15076	95712
14929	95671
14986	96553
14668	95008
14877	96172
14522	95054
14887	95540
14746	94959
14599	94296
14531	93596
14992	94932
14813	94024
14981	95948
17951	100018
14992	95531
14971	95311
14983	95199
14719	94608
14821	93958
14530	94748
14802	96186
14791	94702
15069	95386
14661	94836
15113	95361
14740	94212
14737	94333
14759	95005
14635	95844
14826	95919
14912	95714
14977	95898
15091	95100
14649	94207
14735	94142
14628	94199
15066	96208
14611	95491
15032	94434
15180	95204
14973	95030
14822	93978
14666	93460
15078	94468
14859	94413
14986	95572
14904	95580
14923	95505
14790	95205
14830	94860
