elapsed_after_write_registered_nsec	elapsed_after_write_completed_nsec	elapsed_after_fsync_registered_nsec	elapsed_after_fsync_completed_nsec	non_blocking_time_nsec
11740	125666	136099	1714474	21486
13129	112293	124979	1033739	24902
11043	71392	80041	989823	19200
11311	53207	62150	1052190	19730
11434	70929	79740	1135150	19734
11385	70160	79040	1039347	19748
11320	72961	81844	1016694	19702
11434	70641	79486	1104231	19771
11226	70176	79084	1437456	19634
6209	85098	92478	1091597	13280
11271	71458	80237	1040533	19554
11423	69367	78107	1096672	19654
11225	69346	78280	1113730	19662
11508	71538	80003	1154312	19474
11311	69792	78575	1134264	19600
11414	69903	78766	1447287	19769
6291	48950	71008	2157469	28079
11151	52399	61244	1044039	19464
11297	51119	59859	890886	19499
11019	52692	61424	1049410	19217
12211	70706	79717	1085994	20714
11274	51704	60667	1011811	19709
12151	49364	58247	915325	20519
11237	51741	60752	1079132	19717
11317	70210	79198	1127231	19790
11240	52367	61261	959058	19592
11174	49864	58704	1600414	19494
11251	71655	80678	1726425	19776
11220	51722	60553	1071372	19525
11288	67815	76798	1086103	19768
11337	70332	79392	1010771	19899
11134	52936	61873	982081	19536
11234	51727	60730	1061250	19682
11012	55987	64827	1070198	19309
11254	52669	61675	968474	19734
11217	52064	61027	1070035	19649
11139	49755	58681	891979	19517
12136	55458	64535	969737	20710
11254	52813	61787	995331	19712
11031	52518	61167	1021608	19154
11274	48864	57358	2048344	19251
11291	72958	81812	1011625	19647
11145	53361	62392	948850	19622
11063	50387	59401	960712	19530
11005	52581	61407	1057504	19340
11223	52419	61441	945553	19716
11185	52215	61212	1005831	19642
11232	48988	57930	932086	19642
11136	52795	61618	1074927	19445
11282	54735	63664	2145790	19682
26031	71480	81880	981277	35834
11189	51190	59930	989615	19388
11365	69998	78826	1013725	19685
11334	69698	78540	1037308	19657
11345	68475	77375	945497	19737
11099	70720	79649	1006962	19536
11262	69495	78334	1629021	19576
11283	68284	77238	1793846	19736
11319	73198	82460	1076092	20059
11194	69944	78775	1048890	19527
11274	69218	78149	1004416	19689
11291	68852	77715	1020434	19656
11126	72475	81226	993860	19379
11251	70618	79515	998977	19631
11139	53955	62969	949021	19613
11337	51359	59916	980898	19368
11223	72270	81258	1173978	19679
11188	53590	62578	959235	19651
11188	50410	59258	934653	19494
11320	49541	57998	982354	19260
11356	71189	79914	997436	19593
11137	51476	60230	1018725	19385
11074	47419	56224	2209677	19356
11197	70561	79160	1153538	19285
11260	52490	61389	960967	19623
11111	48259	57193	886983	19496
10997	50598	59481	965426	19346
12185	69746	78589	995840	20502
11260	52756	61653	929239	19628
11286	47348	56156	931662	19559
11091	56441	65333	955604	19449
11313	51112	59881	958666	19556
11279	49713	58278	1001254	19316
11271	46493	55090	1045376	19338
11297	55393	64087	1023282	19443
11257	68904	77738	996571	19579
11246	51844	60430	951913	19323
11291	50550	59149	993234	19385
11020	52978	61472	981672	19005
11325	68698	77177	2060589	19310
13683	81074	91324	1073575	23340
11006	69375	78175	1066718	19303
11211	68338	77303	1108162	19662
11291	68504	77418	1066929	19714
11380	68341	77332	1011574	19879
11277	70093	78764	1096617	19442
11394	69183	77920	1066549	19631
11240	69124	78032	2210124	19640
13270	81291	91594	1087889	22970
13173	80034	90537	1025837	23079
13120	81188	91511	1039450	22823
13139	82631	92607	1041723	22512
13036	80688	91068	1032580	22819
13106	80454	90740	1144540	22799
13307	80468	90691	2101326	22960
13236	81911	92437	1017390	23159
13263	60868	71071	924787	22859
7367	52939	61075	878272	15186
7200	54872	63035	941593	15000
13139	80234	90194	1012967	22522
13233	62545	72685	990582	22793
13193	61865	71891	1509127	22636
13260	87261	97521	1686765	22943
13219	81061	91460	1098734	23032
13273	81551	92204	1128084	23334
13239	84094	94607	1048103	23156
13359	82304	92687	1179486	23146
13273	85911	96500	1175653	23242
12646	92098	102264	2263975	22253
13230	82168	92751	1163453	23153
14416	82468	93144	1029154	24509
14326	85220	95674	1039983	24190
14406	82184	92640	1050886	24240
14413	82267	92947	1038260	24473
14433	82468	93071	1017941	24426
14346	83798	94614	2218560	24565
13360	79744	90054	1171933	23050
12869	84561	94887	1182486	22542
13240	82511	93001	1165783	23133
13083	60931	71601	972292	23136
13233	56439	66902	1049497	23070
13249	82730	93290	1039356	23213
13267	82281	92911	2250239	23277
13073	60874	71344	1056529	22906
13203	82554	93017	1029177	23069
13329	80321	90704	1148386	23132
13253	61845	72285	948419	23060
13193	62858	73288	1117271	23003
13126	81394	91944	1024744	23090
13073	60412	71018	2183747	23033
13229	91104	101847	1148907	23352
13266	80248	90701	1148620	23129
13223	60518	70938	975558	23034
13233	88781	99174	1005485	23036
13280	83148	93724	1067483	23249
11265	105011	116397	990942	22062
12996	55855	66335	2122396	22829
13183	83138	93468	1191853	22916
14406	83780	94220	1143627	24260
13262	81607	92224	1005778	23296
10771	76209	85834	1041412	19751
13307	80121	90484	1063543	23090
13286	81098	91554	998211	23152
13267	80558	90928	2362266	23010
13286	84457	95104	1297982	23316
13213	82097	92920	1075812	23416
13156	83344	93601	1032240	22839
13189	80441	90887	1195159	23035
13167	80171	90548	1028511	22944
13126	79981	90341	2716992	22846
13269	84997	95537	1211452	23195
13313	82691	93341	1111818	23343
13243	94654	104817	1018607	22833
13443	80854	91144	1050500	23136
13139	80587	90964	1036650	22930
13276	80111	90427	1102538	22989
13306	83668	94224	2265125	23273
13193	81677	92104	1246614	23000
13226	84671	95251	1203985	23163
13300	81138	91424	1178020	23003
13186	80514	90764	1043853	22849
13156	79807	90424	1147996	23156
13269	83040	93607	1622439	23243
13189	81920	92524	1859606	23200
13287	83805	94361	1198809	23207
13349	84997	95347	1184916	23122
14376	81544	91937	1045263	24179
14503	80548	90848	1062400	24223
14377	83925	94378	1048820	24234
14340	83561	94254	2251762	24439
13219	83864	94374	1182079	23136
13207	80115	90411	1049387	22926
13237	85995	96431	1058417	23083
