elapsed_after_memcpy_nsec	elapsed_after_msync_nsec	elapsed_after_fsync_nsec
10927	264045	278266
20483	209614	908997
14743	257512	275819
6816	248207	257756
6060	319947	331097
14226	250126	267275
6883	367566	379559
14356	252673	269896
6910	224377	233966
5634	309251	319931
14523	248083	265372
6510	209717	218854
5503	535195	545821
27666	258893	872052
14723	255003	273309
6713	210214	219567
5833	413838	424774
14616	250090	267602
6853	224860	234490
5733	325911	336727
14733	251986	269572
7000	214717	224394
5559	750102	760764
27319	403559	1036180
14873	251033	269413
6803	195935	205614
5727	421494	432341
14406	254129	271462
6896	224330	233903
5716	325394	336244
14330	251396	268489
6734	215467	224791
5590	354066	362290
5360	200238	208284
19506	323574	1729561
14829	324031	343906
14553	372336	391936
14573	317041	336660
14486	311911	331444
14489	306832	326364
14539	280589	298655
7904	285451	296149
18709	328311	2148291
7783	254923	265496
5436	288745	296691
5503	237557	245603
5813	415988	426847
14510	259666	277022
6603	227330	236850
19259	303118	901307
15096	343147	363313
14113	253589	270609
6669	248707	258016
6397	431817	443324
14437	260399	277762
6886	327207	339203
14306	348090	367442
14429	252473	269665
6656	225430	234566
5527	324360	333360
20799	217241	944160
14786	745696	765585
14346	1021911	1041347
14360	326500	345984
14229	318931	338270
14263	321911	341304
27433	397972	1158837
15309	273053	291905
6753	206218	215607
5843	345527	356416
14486	348524	368056
14403	270456	287672
6783	220880	230236
5696	316274	327017
14486	251560	268829
6440	227383	236303
5607	364459	372866
19133	233973	789237
6447	315274	326831
14232	335954	355309
14113	791590	810837
14399	1018101	1037633
14313	335694	355103
14579	322141	341813
27259	304928	1081206
14996	258069	276502
6803	261856	272208
7963	313865	326874
14453	253146	270406
6570	203831	212954
5384	365149	372976
5476	281146	289102
5474	438097	448618
14523	274862	292422
20476	319608	1098515
15026	263536	282178
6740	247023	256506
6097	245399	254253
6010	318061	329181
14273	252966	270169
7330	371516	383949
14333	250300	267496
6730	261779	272059
7893	281599	292028
5587	252379	260669
18856	208524	930713
14663	249533	267702
6756	247623	257062
6063	761065	772231
14306	1121804	1141243
14320	407878	427301
14297	307767	327188
27185	439718	1063539
14910	258126	276559
6690	399545	411281
14463	255209	272466
6780	261549	271772
8070	321454	334570
14449	256789	274082
6577	261932	272013
8060	379039	392145
14446	261163	278689
20333	233163	828043
14713	253703	271962
6970	368766	380869
14346	250929	268179
6990	249586	259293
6123	335557	346763
14273	260092	277248
6780	191821	201261
5707	437381	448134
14450	258103	275349
6554	258242	268256
8040	308648	320148
20939	218104	942663
14749	280459	298725
6986	324811	336920
14227	255719	272869
6786	248790	258259
6156	344600	355840
14389	377889	397411
14380	1379124	1398607
27642	335821	951193
14843	259682	278189
6770	381485	393359
14403	257609	274882
6720	321564	333407
14293	257569	274769
6736	323194	335054
14563	258123	275556
6797	371642	381909
20619	208441	808923
14959	254956	273468
6816	189955	199528
5760	432034	442927
14390	278225	295518
7180	332334	344624
14356	263510	280795
6880	262219	272599
7993	356780	369820
14579	387936	407561
14476	687217	706796
27389	277852	885944
14833	262046	280499
6826	376870	388839
14373	263146	280496
6950	249436	259036
5977	337617	348704
14243	251890	269009
6909	203111	212637
5657	428061	438765
14543	254209	271869
20226	306485	901748
14839	257813	276218
6897	383635	395655
14350	261709	279019
6923	249007	258600
6020	331564	342693
14306	1079172	1098602
14290	284738	301952
