elapsed_after_memcpy_nsec	elapsed_after_msync_nsec	elapsed_after_fsync_nsec
11147	291618	306318
8330	206827	217697
5413	360996	371406
14443	269288	286685
19840	501332	1096729
14873	261509	279845
6180	225167	233830
5417	334710	345124
14513	324400	343897
14316	248880	265879
6430	225917	234913
5390	315537	324434
7550	217044	227004
5223	316814	325557
7497	345783	358333
27552	247143	844766
14577	252509	270566
6919	261660	272112
8074	829219	842290
14453	1081813	1101262
14499	299295	317304
7840	207264	217981
18989	330141	1041693
14819	322707	342523
14323	252549	269532
6400	263459	273429
7933	324161	337090
14436	253313	270535
6353	326657	336664
7550	236553	246493
5217	304874	313598
7513	232920	242866
5194	301038	308882
19606	211338	871592
14620	248629	266702
6300	227236	236060
5443	357377	367816
14520	253266	270526
6366	801861	813223
14519	1048740	1068202
26950	323237	1003382
14779	262576	280822
6309	407102	418408
14553	325927	345477
14360	258456	275486
6327	227050	235867
5407	346610	357014
14526	244067	261299
6327	366769	378096
14446	252697	269889
6860	226464	236237
19199	325594	920083
14753	336893	356643
14343	254290	271406
6236	226264	235110
5320	340153	350470
14452	249040	266289
6307	358269	369573
14440	1427748	1447185
27616	315350	945069
14733	264069	281792
6330	221120	230010
5473	397988	408481
14460	268972	286192
6930	386312	398262
14460	250979	268143
6673	260556	270792
7937	315981	328938
14446	275452	292748
20519	234704	813127
7850	267969	279402
7863	234253	244563
5406	424741	435144
14453	246053	263233
6396	228687	237696
5584	335127	345707
14490	246143	263396
6527	325327	335507
7596	1459175	1471768
27666	288348	876111
8906	319931	333833
14436	255519	272689
6380	362756	374132
14883	257383	274939
6440	227563	236563
5343	437417	446413
7553	208111	218123
5247	311924	319924
18863	363556	972442
14826	253593	271935
6130	258222	267889
7497	303914	314941
7499	311795	322797
7473	233370	243333
5257	297695	305442
5353	249843	257653
5303	296248	303971
5250	307238	314951
5310	1404610	1412613
19609	315041	975215
7897	241996	252700
5273	291262	299035
5187	330954	338547
5290	277279	285012
5140	277122	284672
5250	271312	279132
5150	421735	431968
27486	255489	911630
14609	245753	263899
6199	249277	258129
5976	321801	332877
14369	256706	273872
6693	320834	330064
5434	231366	239310
5493	337274	347790
14433	243203	260346
7326	267343	278232
8010	310064	323144
27313	772587	2239019
14763	314881	334707
14329	316585	336013
14376	248336	265439
6263	371180	382439
14443	254830	272026
6419	229637	239153
19690	327587	979552
14726	345974	365753
14209	256823	273825
6560	227494	236767
5600	329657	340340
15249	245393	263356
6440	226034	234977
5720	420405	431122
14423	253879	270999
6360	228377	237287
5446	303928	312094
19430	213780	2088517
14739	332174	351936
14293	318667	338017
14310	256046	273039
6500	228850	237893
5540	340170	350707
14443	285495	303062
20006	213477	820123
14620	252516	270609
6403	427131	438557
14373	264413	281506
6550	269042	279182
7897	308618	321534
14796	247230	264689
6437	261142	271129
7940	318268	331204
14476	290405	308415
8377	211590	222424
5397	317537	325617
19433	207438	822124
14706	399765	419491
14396	1391987	1411420
14390	329304	348730
14313	333108	352417
