elapsed_after_write_registered_nsec	elapsed_after_write_completed_nsec	elapsed_after_fsync_registered_nsec	elapsed_after_fsync_completed_nsec	non_blocking_time_nsec
13306	72551	83018	1100512	23123
13129	61658	72228	1012261	23029
13167	61499	72055	2084324	23073
13193	64045	74691	1011967	23166
13323	60235	70611	999621	23067
13182	43435	53808	912887	22908
13246	43632	53838	1037926	22802
13203	47779	57958	971042	22772
13226	59094	69464	1013270	22943
13203	43225	53478	2388694	22806
13223	63242	73571	1246688	22913
13099	61271	71717	968488	22906
13150	60292	70855	1111605	23066
13106	63715	74184	967262	22959
13143	61258	71771	1051513	23006
13230	61648	72134	946623	23056
13229	60618	71007	1075245	22965
13180	63515	74048	970375	23047
13196	62245	72814	1690828	23116
13149	61465	71941	1187882	22985
13206	63302	73915	1066579	23182
13197	61335	71785	952849	23027
14370	62275	72618	1106978	24049
13183	60082	70341	966962	22786
14406	64418	75144	1111785	24479
13196	61655	72111	1411216	22995
13080	47832	57738	1287366	22370
13320	63418	73945	964556	23210
13286	60392	70725	1028334	22979
13066	43608	53728	878628	22522
13050	43519	53689	940943	22573
13090	50955	61052	942996	22593
13176	61968	72161	2287704	22765
13083	61068	71568	1029744	22963
13149	64908	75418	1130587	23012
13243	62481	72981	971832	23086
13210	61535	72031	1065643	23056
13236	60201	70704	1441001	23102
13210	62979	73752	1733600	23310
13230	61695	72142	986262	23017
13106	73818	84467	1130974	23106
13250	61888	72198	1069403	22890
13280	60472	70985	1009978	23176
13150	60245	70535	884501	22810
13096	50235	60385	1432352	22593
13216	61051	71201	1639159	22752
13162	61741	72171	1095831	22925
13213	64451	74928	1025174	23073
13173	61409	71922	1184730	23026
13160	61465	72025	961016	23053
13159	60095	70598	1021690	22986
13166	64628	75068	1524863	22985
13219	60655	71028	1674405	22939
13176	60735	70861	998685	22682
13149	63395	74014	1035123	23102
13309	61418	71814	934273	23076
13190	60022	70438	1079749	22956
13240	60232	70592	996328	22970
13236	64838	75624	1539745	23376
13177	61922	72365	1631417	22996
13129	61084	71611	1048393	23006
13149	63675	74128	958382	22922
13120	61352	71701	1029687	22803
13173	61391	71918	1076672	23063
13166	76328	87244	1041933	23379
13259	62291	72624	1025614	22962
13173	60045	70335	2058325	22812
12940	64239	74492	964349	22540
13127	62712	73081	1050757	22869
13289	62878	73324	945652	23079
13202	59738	70088	1080535	22923
12850	64148	74588	977912	22654
13223	61375	71748	1145347	22939
13120	61062	71442	1942378	22876
12987	64055	74648	1070493	22877
13163	62352	72785	949873	22933
13210	61308	71765	1113175	23010
13183	60145	70665	904688	23046
12947	49869	59995	1164200	22479
13199	61028	71727	946859	23266
13100	61262	71622	2524804	22830
13210	63195	73824	1052813	23169
13296	60225	70741	1045380	23172
13233	60235	70711	938690	23056
13283	78682	89415	1064100	23320
13106	63651	74154	969502	22973
13173	60968	71445	1004368	22973
13163	60075	70518	949409	22977
13150	78701	89707	1272993	23509
14380	64302	74738	1433256	24186
12970	48105	58092	1001608	22363
13073	48202	58295	945150	22552
13259	62475	73044	1013307	23179
13309	60321	70648	2061014	23010
13283	59851	70278	1045366	23083
13220	63249	73745	1053000	23076
13196	61725	72365	1018261	23170
13130	61238	71568	950629	22790
13269	60268	70928	992494	23283
14197	53496	63342	932284	23439
13023	47175	57218	1157590	22443
14226	49462	59611	2190653	23779
13156	63552	74051	1128138	23005
13193	61495	71818	955189	22843
13173	60215	70504	1052009	22812
12833	63022	73508	950566	22659
13126	61245	71664	1081492	22879
14270	62055	72531	955196	24069
13206	59692	69968	1632176	22849
13189	63678	74121	1660575	22962
13083	61125	71615	1022668	22906
13036	48055	58175	925976	22543
13150	63409	74522	1105645	23577
14353	60918	71318	955616	24107
13199	59671	70095	1098535	22986
13200	60428	70721	2379442	22856
13240	63385	73971	1213208	23197
13193	61202	71712	945087	23053
13212	64434	75024	1048256	23169
13256	59595	69844	953512	22849
13283	59905	70364	1054483	23123
13229	59965	70185	910720	22819
12733	62482	72888	2418267	22453
13183	60625	71055	984172	22959
13190	60932	71301	1023924	22940
13250	64545	75001	970725	23029
13136	61021	71441	1112204	22940
13153	61111	71488	954875	22914
