initiation_duration_nsec	write_duration_nsec	fsync_duration_nsec
15354	885297	3485180
7367	847671	3113814
8918	869844	3158362
8320	866961	3171046
8568	832222	3126967
8720	827666	3237349
11288	920282	3340639
11728	908061	3245487
11937	903654	3313953
11949	940207	3231634
10953	952131	3323289
11366	1022004	3453232
11346	977339	3264867
10866	985599	3432302
10823	975999	3291135
11546	958694	3517657
12843	949977	3315640
9643	923467	3043620
11073	1003931	3580164
13593	997719	3315376
10946	990639	3364351
11190	950150	3414493
12516	984298	3310805
12853	977285	3376640
13960	991725	3316093
13123	999312	3520333
13756	1002691	3318035
13653	986639	3286370
13326	1000668	3375061
13706	976562	3912298
13869	980762	3302959
12916	987975	3302963
11203	958516	3364088
11623	986479	3301859
10529	980518	3580241
11603	1016152	3383614
11373	981972	3720021
11400	973139	3471218
13653	983172	3133184
13336	982776	4363966
12936	986392	3283493
13627	981676	3612291
12650	978282	3227442
12387	985512	3411626
12486	989651	3386130
12263	1009028	3987416
13326	1008175	3733511
13306	1020481	3362087
11423	997492	3319216
11693	983135	3287707
11390	972163	3454996
11359	952826	3711567
13389	992025	3333178
12836	987745	3322909
13327	985159	3148041
12180	1013038	3446046
13320	999322	3423506
12730	984589	3385587
13296	980319	3365871
12703	984256	3283360
12716	991388	3461675
13383	977366	3471015
13602	988368	3243597
12110	1020948	3460512
11350	995434	3320539
11603	967569	3350481
11280	951516	3413339
11573	992105	3392230
12810	988625	3465308
12580	982045	3433393
13137	985932	3347005
12277	1014775	3426596
13666	1004448	3250114
13533	987632	3569365
13859	990558	3249920
13450	993855	3666332
13553	983506	3302183
12756	985345	3293963
13956	992245	3445349
12443	1002804	3305466
11113	978743	3656583
11286	976532	3303306
11306	961366	3766753
11437	983712	3310443
12696	1003138	3330378
13556	988539	3515340
11527	976346	3296273
11477	983189	3640084
13000	983566	3303976
11927	998959	3409757
13623	991412	3388040
13520	977679	3299553
12800	991692	3391504
12643	988935	3541273
13480	981552	3263871
12389	992295	3400060
10600	980339	3321882
11063	1011055	3364974
11616	984175	3431699
11623	987939	3332522
11503	978479	3364817
11590	980682	3319455
12683	988382	3331042
13453	989192	3546330
12120	975483	3326639
12563	1010524	3863160
13443	1020244	3462958
13383	1014912	4042332
14079	1013357	3320092
13433	989111	3901835
13513	986832	3331666
13300	999532	3220315
11213	986132	3437336
11910	969626	3354435
11677	950720	3477765
11687	964413	3295813
10997	4247776	6718319
12527	792294	3151067
13627	797024	3371751
13260	789015	3046944
13526	941826	3259643
12243	934705	3332339
12996	953432	3367154
13416	947656	3464248
13556	988002	3399877
13243	1005642	3358292
13617	982286	3467822
12636	988002	3326595
11246	959916	3320496
11323	987618	3299399
10296	1008761	3310502
11330	970193	3435486
11330	968830	3267918
11583	988489	3788723
13733	991255	3306239
12427	995992	3749960
13860	988352	3346198
12557	988176	3263591
32519	964332	3968260
12733	1006468	3291797
12483	1010132	3534426
13250	1015935	3464795
14150	985052	3282810
13543	988015	3256958
11300	965656	3290004
9259	971325	3210631
11757	968156	3447922
11400	995512	3292257
13253	1016684	3265787
13216	988758	3389070
13467	983602	3242032
13366	987815	3398873
13500	998781	3325215
12609	1004321	3426662
12579	989105	3489604
12589	996055	4335030
13149	999301	3246604
13116	1019804	3507660
13496	1010115	3874860
13413	1023031	3361871
11346	967326	3284256
11146	968955	3372064
13136	985212	3285450
10373	962843	3308119
11640	969563	3435276
10833	977159	3282720
11300	997945	3636127
13813	1013485	3438132
13973	985572	3397337
13330	991565	3455569
13737	987426	3228545
13316	984855	3339211
12689	989511	3441662
12730	971153	3320613
12546	1006284	3596051
13473	1017344	3335155
11336	973939	3333911
10913	977852	3321606
10853	979016	3244722
11379	975762	3404026
11416	985132	3272473
13160	1000605	3826588
13283	998645	3627274
13823	1027251	3430982
13346	1013924	3496024
13823	994019	3845324
13460	980719	3365551
12693	992979	3297033
13220	1002128	3500907
13357	995239	3323156
12812	982405	3561215
12627	996572	3328249
11163	999735	3346425
11343	1017941	3422980
11703	1000398	3360035
10756	965212	3312342
13683	993031	3307766
13549	995565	3325638
13447	986819	3369661
13527	985742	3353955
13003	1012574	3496657
13379	1014264	3103495
13503	990171	3458884
13410	986375	3457632
12956	985685	4173551
12456	981315	3254450
12659	987338	3297256
13740	982866	3402060
11233	1003608	3310722
10919	983915	3339488
11393	982995	3433649
11323	954209	3355764
12626	990855	3430375
13679	984522	3354821
12806	990218	3395023
12846	986105	3478274
13283	986799	3266534
12970	1007325	3518973
13343	1003108	3423676
13586	992978	3875956
13447	997635	3407900
12483	984838	3394233
12613	1013384	3485857
12710	993332	3810312
11840	969059	3276210
9590	964752	3279583
11637	965170	3705845
11673	998761	3472714
12446	1001751	3363164
13706	1016967	3609434
13703	998539	3419523
12696	990281	3449501
13260	986472	3325632
12600	996525	3286950
13053	987482	3516260
13389	985515	3381933
12950	987159	3389644
13333	1001745	3407283
14030	1023644	3270124
13530	983526	4445304
11093	1018105	3369318
13117	975009	3295683
10863	987785	3353088
13086	986648	3503520
12767	991779	3295953
12616	994561	3417036
12809	981308	3442515
12446	1009698	3449145
13606	1008945	3337015
13320	1012828	3455739
13673	986202	3107765
13486	992745	3500257
13676	989762	3316782
12633	993639	3775370
13543	983125	3435016
11389	989948	3651922
11063	1000702	3400414
11546	1006721	3360821
11363	988449	3266141
11457	991839	3434096
13779	995572	3470061
13293	995751	3340175
13637	996372	3498274
13383	1013108	3443862
12476	990682	3790519
13063	1007308	3344495
13553	1020211	3324965
13056	1000918	3429829
12920	990205	3252631
12580	993415	3962077
13376	997774	3516246
13370	995069	3249858
10096	974032	3238784
11969	981828	3259933
12206	1011084	3450901
11387	993859	3476388
11293	965659	3281093
11590	1006468	3147054
11166	969619	3375600
12586	987402	3371634
12919	985185	3399410
12933	1012648	3436146
13610	1018825	3331466
13347	1004752	3435559
13753	994698	3317465
12752	986298	3240301
13569	1001431	3359678
13467	987509	3311653
11323	981219	3447812
10723	983309	3326989
11667	1004678	3297720
11300	1012528	3775616
12757	986346	3412127
13587	996592	3285390
12893	989015	3409393
12840	987759	3347061
13426	992082	3427849
12389	984965	3340638
12663	1052927	3445839
13359	1016427	3467851
13562	993158	3395780
13399	999058	3324232
13160	988206	3281687
13410	986322	3297046
10686	983805	3324859
11116	995005	3885383
11390	972672	3439105
11299	1009694	3999646
13503	1029334	3450195
13319	1029370	3519346
13573	998548	3320722
13103	988242	3332372
13733	990205	3380987
13429	1011348	3306252
12716	996245	3391433
13587	994522	3266854
13352	1010577	3299319
13720	997272	3448862
12843	1009071	3307532
13080	1004025	3391100
11113	966950	3347512
13560	989902	3296827
11063	973026	3378724
10929	978485	3173826
11423	982402	3361132
11533	994656	3399407
13470	999525	3254201
13223	1000452	3532940
12900	999659	3279114
13360	988485	3386174
12110	990569	3272277
12853	1009608	4408884
12923	1026891	3342559
12796	1009094	3422712
13870	1016265	3382047
13679	997178	3322549
11437	976519	3375578
10903	990495	3289233
10310	963852	3198642
11666	996071	3463821
11103	986242	3333761
11276	989595	3290356
13810	998418	3481904
12527	998092	3923619
13323	994012	3429483
12660	991485	3302133
12336	1018121	3239827
13353	1005311	3344315
12716	989282	3363597
13520	1013975	3428583
13507	1024804	3318593
13223	1000742	3441469
10873	975626	3303306
11500	967036	3269691
9687	993395	3362441
12660	988482	3331012
13026	1001645	3375387
13053	1006975	3474241
13529	1009681	3435332
13717	1006045	4599380
13440	1023588	3440959
13466	989351	3538312
13433	990472	3871280
13153	994518	3375167
12709	987855	3341265
12623	987745	3380820
13363	992212	3188977
13306	988365	3604644
11056	984615	3307803
11049	1007778	3375651
11266	970356	3410456
11383	984522	3329409
11190	982882	3498177
12473	1006134	3381074
13756	991785	3409143
13349	996101	3497277
13743	979055	3241424
13296	1016525	3489108
13679	999765	3262860
13573	1003911	3893816
13556	1006078	3437019
13453	991298	3250937
13483	998565	3474921
12586	990352	3720684
11246	975342	3316489
8840	966846	3220536
11133	1005525	3383481
11376	1019031	3464648
11193	986806	3425240
12590	990989	3425600
13273	996108	3385327
12263	994872	3365774
13496	987918	3409323
13366	990502	3392643
12713	982902	3328152
13299	1023177	3289839
13277	991865	3418300
12540	979773	3636684
13743	987715	3243354
12443	992028	3491251
10379	978372	3317659
11350	990685	3272260
10850	951577	3381611
11116	1012228	3339649
13747	992556	3387967
13543	994538	3361357
13116	991189	3277450
13799	991051	3418192
12687	986546	3352115
12403	990202	3347198
13380	1010345	3336992
13460	1036204	3310853
13860	990586	3386431
13896	981815	3265677
13396	1004081	3750470
13370	1011338	3354775
11503	989098	3629963
12677	990586	3294630
11380	975889	3261968
11206	1010858	3494118
13396	999231	3291543
13306	993072	3467331
13343	992178	3321869
13343	993162	3427839
13623	998431	3381733
12437	1006188	3401177
13626	985392	3397997
13373	1019384	3390300
13336	1038240	3288276
13540	997469	3764063
12480	987135	3397307
12376	981189	3283107
11246	985445	3377244
11200	990402	3290730
11023	968529	3732977
11433	992099	3468168
12143	997468	3378290
13426	1019775	3463252
13370	997025	3432369
12516	990492	3473058
13290	988789	3726857
12463	986212	3282460
13663	1006798	3298117
12683	989632	4162965
12566	988499	3232181
12513	985069	3460165
12017	993669	3400014
12383	1005784	3442352
11373	986752	3273710
11439	962702	3274310
10776	982715	3345588
11263	993318	3215969
12666	991515	3425996
13250	999949	3405624
12380	1006565	3838157
13333	1012388	3481888
13573	1032337	3427679
13113	1005264	3578175
12763	994135	3405290
13356	996665	3385424
13820	992889	3377577
13350	998908	3222192
13610	988055	3555319
13733	1003925	3318919
10647	1018995	3381178
11533	988509	3328569
11220	968683	3288500
10576	992245	3403386
13410	995812	3402247
12617	994845	3332989
12969	1010224	3429125
12903	963773	3216909
12143	1019054	3374860
13807	1001292	3376184
13643	984355	4801086
13266	1023174	3620257
13486	1022641	3300946
13437	997802	3490128
13393	995361	3243187
13360	999935	3254051
10250	958286	3253474
11796	987549	4360343
12749	961199	3259574
9526	1006544	3702611
12483	998268	3419186
13123	1024494	3515497
13727	1027538	3280601
13323	994851	3424742
13333	993349	3411573
13330	985882	3264037
13090	986336	3456066
13327	991399	3401224
15263	1029907	3518996
11309	1004602	3388342
11265	989416	3621271
11322	1028676	3349594
10946	1002171	3758250
10713	1009395	3386147
10783	984759	3295577
10643	999485	3429236
13016	1027314	3282316
12856	984148	3519633
13040	985495	3457398
12883	999908	3425780
13020	1005398	3321416
12840	994318	3396010
13050	992602	3735178
12840	987322	3833054
12846	991228	3275493
13213	984298	3742267
13203	1009554	3373997
12129	993198	3331435
10643	962339	3434365
11006	993501	3323382
10190	980452	3410083
12906	998491	3326451
13350	979992	3348748
12059	998488	3339275
12716	987955	3607960
13006	997602	3368784
13259	985149	3795799
13213	989722	3330119
12199	977798	3321318
13033	994458	3371890
13060	1001188	3314716
12300	1011808	3436526
12820	981946	3261268
13030	987079	3503244
12119	982962	3483910
12753	986419	3377121
11410	970236	3274991
9587	993592	3873490
12893	992379	3411953
10230	972862	3284030
13023	994521	3490771
12940	998105	3383881
13063	989599	3496491
12223	993095	3482488
12370	989672	3595998
13217	1003185	3429543
12983	998318	3497664
12486	1001948	3449298
11880	1000819	3547593
12297	999385	3332299
10400	980476	3771573
11090	999922	3445269
10757	965043	3309460
10399	970256	3403347
10380	963990	3276344
10247	978853	3441572
11516	989135	3413010
12519	1017421	3413502
13086	1021287	3356284
13040	1016858	3391677
13066	1021657	3535433
13046	1021681	3533299
13126	1016247	3451171
13083	1017054	3905779
13173	1003228	4286345
12406	991948	3340918
10646	958919	3317919
10623	958946	3772869
9376	971179	3295189
10666	964756	3381667
12243	990988	3583001
12519	990235	3437725
12563	1010695	3519130
12403	983652	3361598
11910	991629	3914239
12907	985572	3401734
12253	993025	4283819
12930	996625	3328742
12333	1002134	3821168
13016	1000921	3462091
12186	991022	3921105
12883	994385	3361098
9900	979679	3297660
10820	990012	3424650
13183	980342	3351628
12266	986921	3520856
12983	1004095	4552934
12919	1006731	3472794
13033	993558	3422019
12250	991522	3354131
12793	989129	3447349
13173	998485	3444529
13093	991819	3383707
13136	994298	3412416
12907	984009	3375124
13100	978369	3266647
12050	1002065	3420616
13156	999858	3299073
10993	960709	3252391
10926	963079	3424385
10807	987376	3287631
10753	987992	3378923
9836	994932	3331209
11399	963976	3672835
12609	999261	3141587
11000	994225	4385899
13006	993965	3317669
12963	997255	4346194
12396	991358	3426459
12953	985209	4187111
12146	990839	3255624
13043	997201	4547527
12836	997335	3401103
12089	995931	3354821
10123	1004292	3345822
10759	988291	3374723
9990	984072	3510134
12960	992996	3487258
12770	988355	3461151
12957	1003369	3364512
13253	990869	3294146
12259	997131	3362517
13139	982065	3941978
12913	993685	3287443
13123	987332	3756863
13210	997612	3326062
12860	1015105	3362954
12946	1015331	3430099
12953	994435	3306669
12279	981408	3381964
11063	961686	3234431
9316	968826	3322422
10766	970525	3218705
9456	958133	3828391
12773	988969	3389330
10996	965579	3328579
13143	996865	3385494
12996	994872	3375901
12527	996212	3516890
12373	987025	3448469
12476	993632	3569782
13023	1012615	3325052
12649	995998	3956100
12950	1005389	3473892
12973	990555	3546545
13053	998758	3335832
10810	986776	3305623
10933	991461	3374377
10873	977849	3833641
11023	967549	3371934
12306	982252	3828078
12836	996231	3550719
12230	992998	3409410
12806	991472	3553792
12980	991185	3517940
13016	1008598	3528813
13086	994132	3459288
12213	986255	3508220
12376	1004235	3403336
12973	993245	3446512
12900	985506	3380395
12916	991911	3353267
10286	965666	3287360
10170	971409	3777833
9257	967669	3369788
11033	978942	3342361
10770	969440	3369295
8859	963489	4355586
13090	994539	3469821
12353	1008602	3486731
12877	991346	3475085
12990	1000158	3234098
12966	986782	3482331
12390	986266	3416100
12169	989468	3895186
12767	995522	3436499
13160	990709	3486381
12986	996131	3335219
9913	990698	3435168
10883	971012	3374657
10850	986962	3361481
10773	987659	3858340
11139	988651	3431002
10533	985718	3519440
12973	991732	3335278
12476	988302	3561318
12493	992125	3386010
11746	981482	3811585
13133	994958	3363847
12293	993905	3655279
12829	994658	3401390
13053	988306	3498171
13183	992255	3607397
13093	985995	3336778
10080	983382	3460948
10940	981822	3396657
10920	978896	3650363
11280	1004405	3519164
13023	996598	3459025
12596	986758	3395273
12393	983399	3439099
12473	990955	3299390
11646	993425	3736397
12689	1003305	3468404
11869	999868	3879943
12919	981982	3479864
12180	988945	3327615
13056	999235	3485638
13133	991588	3394533
11850	994982	4164975
10906	980712	3332799
11049	971035	3305735
10523	965813	3324839
11006	967635	3511563
13120	986225	3424816
11160	992785	3359098
11726	996851	3290140
11956	988862	3338712
11853	994135	3412450
12846	1003161	3833131
12499	997225	3361301
11776	983072	3262657
11909	1011681	3506993
13036	1008734	3430462
13063	1025091	3447383
13116	1001682	3358864
10793	989038	3450362
10853	985862	3388201
10706	1027247	3437932
10826	1030324	3452875
13167	1033741	4096118
12879	1000615	3383007
13073	1002881	3411033
13373	1017711	3232161
13070	1033784	3891539
13033	1004812	3357128
13313	1035297	3378840
13000	1015605	3456172
12962	1027007	3360667
13133	1016951	3517819
12847	994622	3348202
12986	1020608	3840888
10779	1010054	3365677
10720	1024714	3422682
10810	981405	3359611
10819	997048	3453918
13133	996035	3437365
12963	990132	3322653
13080	993602	3360252
13067	977196	3412830
13156	991718	3430189
13256	1005718	3355248
12503	996449	3439079
12766	990645	3299026
13056	995872	3405050
13163	995338	3311949
12953	986812	3609387
13069	987088	3307706
10833	962803	3640753
8853	963772	3381020
10007	992102	3243701
13183	997565	3421360
13360	993359	3220549
12673	987865	3459555
13013	988375	3453172
13080	1012425	3911526
12843	996239	3520540
12966	992091	3431615
12493	1007828	3432156
12850	984746	3431996
12876	983432	4019732
10803	964613	3370048
13096	984585	3420366
13043	996648	3535399
12183	977242	3363048
10443	977833	3372688
11243	960649	3333622
10539	969282	3419906
12803	1001132	3369671
12956	1008614	3461844
13093	1000865	3415876
12629	979188	3910595
13163	1007498	3430519
12213	989352	3423196
13249	995548	3455341
13250	995868	3399137
12106	988058	3481814
11973	983555	3434455
12553	1004015	3491168
12393	992462	3317809
10353	986125	3922285
11123	966593	3313706
10926	985365	4293661
11129	1000108	3402833
13310	990358	3260054
12197	990319	3391271
13083	992745	3444529
13083	994475	3779999
13116	991265	3396731
12273	1000478	3452695
12239	992091	3451375
12833	995525	3541356
12976	995238	3406410
13080	989566	3983850
13033	984615	3441279
12946	990145	3846514
11000	985509	3322985
