elapsed_after_write_registered_nsec	elapsed_after_write_completed_nsec	elapsed_after_fsync_registered_nsec	elapsed_after_fsync_completed_nsec	non_blocking_time_nsec
11823	126409	132129	1792390	17072
12268	94584	100468	2243969	17719
23701	103069	110280	1199739	30345
23093	88374	94070	1173141	28402
22154	85559	91502	1031928	27716
7728	61661	67629	1055804	13342
6895	85399	90145	1201599	11397
12239	91392	97298	2363871	17745
25921	119582	129819	1229400	35418
11145	108371	117311	1155632	19548
11312	104817	113814	1030551	19779
11254	88621	97538	1047816	19665
11340	85249	107629	1033910	33162
11851	92406	101363	1163158	20286
11177	87412	96415	1045053	19670
11322	86875	95889	1294481	19757
11317	105574	114399	1558475	19617
11226	90018	98806	1083167	19446
11397	86326	95286	990261	19776
12823	104667	114704	1114928	22249
13010	101800	112287	1164940	22874
13060	104514	114970	1081893	22892
13210	99057	109427	1068059	22957
13123	126257	136576	1644833	22830
12933	124023	134546	1128160	22833
12966	103440	113743	1180176	22638
13253	124386	134719	1079812	22959
13210	123000	133520	1147467	23106
12960	103487	113987	1800585	22806
13086	130933	141512	1223061	23049
13363	121036	131399	1107484	23129
13340	128146	138749	2425533	23310
13027	126903	137220	1284303	22683
13126	103090	113480	1571395	22856
13179	125763	136386	2297544	23113
13226	108964	118907	1153460	22559
13123	95404	131892	1070109	48965
13283	128857	139343	1154257	23149
13263	103383	113586	1017910	22849
13206	101730	112146	1054822	23023
13023	109937	120167	1149240	22650
13077	103544	113877	2176944	22786
13193	101401	111840	1079016	23045
13176	123469	134032	1169332	23106
12963	103764	113940	1038340	22519
13123	111557	122047	1109455	22993
13220	107924	118117	1037671	22776
13340	122093	132586	1257331	23210
14273	123117	133656	1496267	24192
12952	183724	201577	1759692	29562
13303	173719	191218	1176166	29562
13290	173045	190468	1226278	29472
13170	160632	178019	1178430	29316
13376	123046	133503	1302302	23213
13180	123757	134323	1215919	23129
13153	128173	138572	1719977	22899
13119	125646	135862	1692221	22712
13290	121330	131563	1238568	22909
13063	126490	137766	1085249	23715
13153	122686	133009	1165206	22853
13256	132933	143232	1185842	22928
12906	126153	136479	1245591	22565
13436	123210	133539	1757446	23156
13206	121773	132313	1595574	23130
13053	124507	135036	1109175	22955
13089	110980	121450	1111348	22903
13023	98000	108453	1162350	22859
12973	95534	105814	1122021	22627
13166	105720	116077	1028377	22906
12969	99840	110270	1072182	22776
13166	104187	114576	1112934	22969
13153	124126	134449	2432523	22853
13090	104724	115083	1064543	22819
13036	105127	115567	1265113	22853
13293	128390	138866	1072086	23156
13340	121363	131956	1165626	23323
13249	125896	136376	1185479	23133
13323	124753	135186	1214385	23133
13202	123649	134199	1120191	23129
13109	129266	139332	1136147	22589
14293	126013	137412	1236514	25036
13203	123523	133962	1607387	22999
13383	177485	194921	1286306	29580
13157	124693	134863	1226748	22659
13113	135186	145539	1197662	22846
13109	123260	133509	1136214	22739
13206	124350	134706	2411451	22936
13003	131400	141909	1210402	22889
13066	123837	134406	1121518	23019
13420	130963	141530	1264241	23369
13286	165728	183228	1177979	29546
13296	121483	132039	1205072	23226
13029	129749	140236	1355151	22896
13187	123310	133587	2706019	22847
13162	131492	141599	1119674	22649
13317	123483	133850	1222962	23074
13230	122140	132620	1062276	23094
12950	109741	119820	1158700	22423
13106	124313	134706	1113908	22853
13346	128513	138946	1228998	23166
13216	127006	137526	2414873	23147
13130	166652	184212	1440256	29432
