initiation_duration_nsec	write_duration_nsec	fsync_duration_nsec
12146	121773	1025258
13539	73217	918417
13623	70918	840073
7986	64448	901421
12469	69278	845979
13260	74922	967686
13490	72695	891301
7960	65542	865982
5250	62638	1421416
14416	73874	1023947
13573	70541	844269
7863	64952	887938
5173	62521	891731
13809	72884	929363
13683	73028	838259
7273	66518	873028
7517	66295	825890
7366	66108	1805472
14026	76124	1020784
13752	73241	946723
13513	72511	872032
12680	75422	958656
13527	73015	868499
13493	72805	2249139
13443	120376	923377
13493	74288	1131557
13457	70768	876019
13686	72861	1035107
13050	75655	875859
13446	74175	989522
13356	73795	2100490
13469	119333	1026531
13373	74331	881862
13436	73748	993382
13603	70522	945914
13846	74581	940443
12353	73902	872205
12476	73191	939323
13826	73325	2353100
13460	119923	1015081
12387	73058	1026868
12410	72951	1006128
13873	74128	856419
13770	70858	980149
13626	71054	872178
13636	70671	1082533
13230	73688	868399
13416	73865	1122838
13676	73415	1454455
13560	72325	1039201
13836	75227	2045958
13560	72881	998988
28079	77758	872272
13946	70815	921737
13623	70655	845593
13793	71191	918297
13617	70925	928311
13756	74468	1112198
13450	74024	2066841
13500	99784	1073513
13903	75652	863039
12486	71965	936903
13493	72718	863852
13683	70651	1004101
13117	75818	874325
13639	74338	1007468
13563	73002	1399367
13576	73074	1691428
13863	75772	877292
13716	73355	941250
13746	73111	865112
12533	72565	929430
13303	72797	864262
13603	72788	1015711
13776	73271	908404
13750	72795	972762
13923	75864	2270042
13589	115363	1057703
12629	74364	1026307
13583	70541	914804
13806	71141	1036471
13573	71328	1039957
12619	70501	897584
13490	72615	2110237
13547	73092	854639
13009	74451	971329
13513	73195	858513
12576	71824	923737
13630	70605	1016418
13643	70182	969990
13993	73445	953563
13550	70881	2221720
31759	85511	1107179
13730	71105	992035
13837	70998	872905
13786	70924	974682
13530	90651	919407
14000	73535	949240
13576	70498	2160222
30769	86410	985188
13913	71354	839256
8063	65022	879915
6873	63665	795304
5003	62212	957980
13139	72331	949153
13523	73101	941437
13656	73051	918977
13613	73158	2220487
13689	115430	946883
13470	73095	1004442
