before wait	after wait	rtt
1197	62688	69135
313	61020	67834
214	60916	67491
937	60918	67637
936	60934	70290
237	60913	66861
338	60885	66374
228	60929	66902
207	60936	67320
216	60914	67439
230	60920	67088
303	60942	67002
230	60905	66468
254	60975	67790
208	60922	66468
229	60983	69278
230	60948	66906
947	60945	67092
309	60921	66740
310	60906	66690
227	60930	66635
244	60919	68033
216	60945	67397
297	60989	76673
243	60917	68345
929	60943	66630
220	60964	66920
319	61012	67687
208	60895	66618
927	60901	66995
304	60917	66811
231	60921	69220
300	60885	66475
227	60923	66563
229	60908	67034
922	60929	66500
213	60884	67766
226	60941	68029
216	60942	66559
932	60914	73929
940	60914	66803
227	60919	66737
210	60874	66791
222	60904	67166
230	60944	66614
230	60941	66782
214	60889	67078
926	61064	72742
933	61154	67922
933	60944	66566
320	60897	68087
306	60901	67308
949	60909	67756
938	60950	67691
318	60886	66621
946	60903	66734
940	60914	67098
937	60931	66407
310	60885	66777
221	60901	67244
211	60901	66325
232	60959	67438
302	60910	66691
233	60904	75462
308	60942	67018
939	60896	67487
306	60915	66877
923	60883	67416
221	60948	66333
240	60882	68162
307	60938	67019
222	60918	76865
230	60911	67791
219	60953	66904
207	60920	66778
217	61024	67275
322	61038	66843
214	61119	67758
216	60935	66548
222	60899	70823
211	60946	66808
221	60916	66422
212	60909	66857
226	60924	67371
927	60929	66489
928	61060	68301
297	60935	67272
216	60927	72908
923	60892	67286
933	60893	66517
295	60913	66968
260	61001	66542
315	60944	67031
934	60903	66915
209	60913	67094
217	60871	66804
215	60924	66472
227	60916	67643
218	60915	67584
926	60925	67304
215	60916	67788
226	60901	67823
223	60957	67514
214	60923	67777
210	60919	67427
236	60914	67174
209	60890	67804
216	60940	67063
206	60910	67252
234	61111	66879
219	60943	66713
218	60888	66713
210	60918	67211
233	60893	67928
223	60917	66648
224	60970	66515
218	60922	68191
407	61125	67301
210	60920	75931
218	60954	66915
210	60888	67662
235	60958	67413
214	60907	67388
229	60957	73824
209	60953	67730
1035	61825	67922
390	61017	68200
213	60941	67095
206	60890	67758
221	60945	66672
230	60994	67034
238	60931	67632
227	60954	66872
258	60957	72946
221	60950	66492
240	60942	67118
224	60906	67045
238	60959	66988
210	60903	78578
223	60944	66539
217	60877	66875
1041	61721	68579
212	60956	67369
224	60944	72602
939	60914	66971
304	60922	66928
219	60929	67704
233	60932	67029
216	60927	74149
1032	61737	68360
224	61093	67004
231	60962	66874
307	60928	67932
231	60961	72647
309	60933	66931
934	60950	67461
212	60918	66860
413	61138	66841
223	60928	74197
233	60924	66768
322	60931	66773
932	60934	67163
301	60924	66779
309	60941	74345
931	60938	67367
932	60941	66740
336	60910	67401
229	60908	70917
208	60889	77853
232	60910	66600
225	60901	66801
225	60924	67219
224	61004	67088
230	61142	75575
222	60993	67022
323	60971	66858
210	60897	67025
227	60921	67495
295	60936	77124
945	60927	67125
931	60923	67322
952	60950	66808
305	60899	66546
946	60938	75433
931	60951	68168
828	60915	67858
225	60924	66793
305	60938	67263
223	60925	72189
304	60921	66661
305	60949	66497
929	60920	67904
227	60904	67231
307	60931	72701
230	60941	66666
310	60935	66552
235	60940	68120
231	60892	67149
342	60908	72640
324	60935	66709
211	60915	66881
230	60930	66766
223	61104	67400
252	60946	73581
222	60907	66674
229	60921	66706
222	60941	66734
218	61026	67083
231	60951	73436
220	60952	66591
304	60900	66635
938	60892	66721
940	61073	67050
299	60910	75186
224	60921	67092
940	60919	66734
927	60950	72707
930	60893	67666
215	60899	75167
287	61027	66779
942	60974	67706
933	60907	67788
523	60902	66745
229	61243	70178
679	61199	67181
224	60941	67612
300	60964	67190
221	60893	67038
366	61048	69328
506	61047	66681
390	61003	66445
271	61075	67229
247	60985	67348
224	60914	69122
231	60948	67495
275	60977	66520
237	60912	66789
220	60947	66659
264	60964	67420
220	60954	67040
213	60904	66918
233	60910	66823
207	60978	67311
