elapsed_after_memcpy_nsec	elapsed_after_msync_nsec	elapsed_after_fsync_nsec
276622	1414674	1695330
290384	679894	1666615
185874	652765	842699
196728	616708	817522
184103	654493	1383252
186682	697478	888203
170953	681380	856376
196022	719480	919556
209050	623443	1702728
182585	721059	907686
170413	635761	809149
191937	634194	1434005
197176	663731	864930
194618	733004	931645
193942	665777	863821
183963	1787917	2761386
187616	656491	848150
171372	733685	909099
197745	650908	1429971
187040	647624	838702
170783	661587	836387
219552	679868	1989266
186774	662499	853293
170247	650916	825174
171041	656149	831247
183226	712569	1476812
194168	637828	836038
171527	635322	809614
162407	641722	808171
198460	712060	1499820
188800	644539	837365
170789	658013	832822
221488	644847	2655549
195934	646694	846648
195487	616507	815017
176969	612379	1602802
194751	666404	865204
171667	657800	833518
171261	661048	836331
200346	734900	1717066
195236	652901	852159
170744	633719	821165
175852	608145	1327662
196000	704580	904594
195733	693382	893134
193229	658598	855896
207801	678073	1463160
185055	707819	896920
170818	658567	833439
172230	670829	847122
209114	672769	1457727
190024	696007	890045
169658	1722339	1895074
199161	678885	1536602
195987	656629	856644
171169	711543	886754
202611	654107	1409959
187619	639394	831059
172452	663024	839496
169963	727805	900805
177210	657684	1928825
186564	654903	845504
172135	642675	818853
220929	717567	1516617
189281	649912	843250
195939	662423	862379
171935	648858	823822
176510	704402	1496303
196664	794197	994863
194875	674060	872943
197273	694305	895629
209436	1469661	2291103
186564	645130	835739
171587	667932	843536
201394	633471	1516480
196830	648060	848933
172563	649427	826002
173655	663869	840384
201104	632206	1520776
196218	646838	847070
171189	657624	832836
222476	639934	1537593
188754	641091	833856
195913	632623	832559
172335	622293	797454
178349	685103	1575352
185181	645998	835233
186287	642098	832436
195538	659121	858678
211827	670410	1568963
197377	646644	848058
171732	637296	811808
162613	623288	789949
199387	645234	1648618
171809	669750	845604
171238	658221	833513
220592	652746	1439079
186619	660880	850762
163564	638538	806139
172469	616968	793454
219682	633226	1430115
186072	702051	892135
171703	683018	858735
171352	666286	841653
200366	647602	1455259
196160	1648412	1847607
186057	648849	838912
200583	648163	1409335
171798	658056	833899
171283	724825	900160
171227	661746	836993
200546	642713	1412908
192966	654424	851401
171695	1519784	1694479
196786	682347	1525035
194417	647747	846179
171430	645416	820888
171147	721568	896729
199135	652551	1413862
185547	638729	828279
170223	1010771	1184003
175661	975118	1741679
185775	641552	831370
171306	661835	837184
170626	655421	830082
197229	705748	1576438
193979	642503	840502
170638	630039	803497
161230	1445173	1610417
206952	756089	1606514
193217	640502	837736
215179	641682	1528505
184544	637792	826347
194377	683421	881809
191728	624727	819355
196216	835498	1742137
184864	647909	836836
169806	656790	830648
169863	646276	820156
197816	642086	1526399
193277	642279	839565
168669	1248953	1420582
196209	710448	2337787
194065	714589	912697
169521	662409	835950
199612	648695	1467210
194068	647968	846079
167852	705826	877686
216326	626889	1436078
188351	643948	836308
169121	652610	825748
168375	702974	875366
217420	667629	1473057
184626	637119	825756
194066	663247	861336
194683	681469	879143
177178	643478	1380015
171196	1087300	1262547
192897	676949	873906
181968	707049	893063
199175	645835	1486743
195477	645036	844555
170204	656044	830311
222086	678289	1462553
171164	665169	840373
194992	853387	1052421
196522	668113	868664
209588	736320	1525137
185369	645010	834431
184101	639650	827788
170836	627529	801387
175209	694007	1437160
191525	651076	846638
169604	1043864	1217471
218094	681612	1547710
186754	654359	845156
195301	676317	875669
196247	623892	823102
175749	648764	1448327
188118	640347	832507
170487	650200	824761
195266	963642	1162925
209648	703120	1646061
196108	680215	880366
169527	627476	799871
191660	643445	1518871
184444	649780	838267
169338	661224	834613
195854	665064	864935
209234	779761	1780564
186059	648494	838590
170015	633099	806011
182779	625703	812548
197720	642276	1514894
195863	660072	859981
170406	658873	833333
217747	643774	1894395
194703	699088	897102
184097	673339	861444
194329	671052	869432
227455	607310	1474024
197549	708696	910288
172135	657581	833776
171109	676960	852112
196900	615914	1803905
183365	734374	921741
196308	706003	906363
197986	655432	2649630
181688	652566	838296
215170	711818	1499526
171092	654285	829422
195770	660142	859955
195747	646703	846582
207613	713043	1731453
188409	661129	853581
170935	662701	837679
184307	641083	829445
207846	704577	1564581
196175	876049	1076269
169292	643559	815819
174695	647655	1553006
193656	669842	867521
196444	620233	820720
195763	680849	880677
207508	665067	1499868
183803	652493	840341
170649	868895	1042407
160847	670809	835688
183581	661575	1509977
187926	647067	839010
170543	648296	822850
217651	646616	1536353
170581	661944	836542
193466	624036	820408
160484	994086	1158624
197207	633901	1546118
194768	667356	866178
168741	675955	848738
170693	686806	861550
201194	635819	1531816
185941	642135	832096
171689	632465	807103
194420	865018	1669918
189606	699512	893129
195994	692046	892060
194060	699377	897483
210619	682119	1536539
195963	709380	909386
169598	667681	841325
170341	677666	852056
198395	735936	1518588
184475	713211	901694
169832	623602	796383
192334	658070	1839624
169289	1175404	1348707
194113	714312	912433
208004	650966	1429768
194879	642380	841302
194754	652967	851764
195080	715962	915068
207582	711869	1696597
185550	646012	835570
169461	636565	808914
161955	710417	876383
183406	656875	1876880
195224	640686	839918
195681	659306	859024
199605	707723	1503925
188543	644736	837333
169510	653504	827077
169130	662947	836099
198001	704933	1542899
196570	839540	1040133
171295	662658	837007
193449	652412	1533210
195694	691735	891443
193981	663471	861464
193883	662541	860466
210983	649518	1475820
187549	613751	805343
169978	893285	1067306
169970	664401	838388
210121	633406	1534519
195445	630537	829993
170320	630340	803494
178349	626508	808865
184469	623696	1419982
191466	625936	821417
171710	1022459	1198183
210543	631579	2422900
197561	698153	899765
196593	632809	833454
200658	614153	1444055
197944	706844	908788
172286	654261	830547
170552	638692	812204
175266	789788	1674953
182871	708262	895142
169584	681123	854815
183120	656558	1404862
188447	652929	845419
193450	701659	899160
193552	663036	860605
207271	801047	1600421
169413	656175	829591
171221	689483	863493
182633	635252	821902
196718	656438	1428856
187548	651522	843113
169696	720885	894643
169086	677861	851013
198364	892636	1681369
190407	632561	826202
162584	676744	843439
183067	662481	1417608
183582	666553	854178
169812	662356	836202
194851	720794	919705
208502	652755	2557852
196270	630667	829991
184442	630292	818777
199491	711314	1482086
199974	658390	862418
186458	653624	844125
170941	675335	850324
197890	705713	2019145
196165	627057	826470
184713	623083	811842
210981	662668	1582134
196736	653734	854533
172570	670286	846899
216177	646987	1538973
169844	669229	843119
194417	818352	1015606
184806	644647	833462
207733	655205	1544035
196159	664167	864383
195826	670825	870693
195653	667546	867211
211136	668305	1552724
194337	641813	840167
170061	733182	906083
192526	661213	1862333
183743	1219159	1406911
169378	674217	847644
199197	654059	1421316
189027	646409	839482
194557	733705	932311
194789	654350	853181
209101	671576	1658961
194411	625231	822930
161039	696788	861850
170143	663670	837847
198029	661555	1415845
190742	640502	835293
169418	715802	889283
169604	868621	1042271
198147	641663	1468175
169238	651918	825193
169169	712228	885526
184104	659555	1405094
186686	654687	845425
196393	681708	882155
197380	740079	941510
211023	841824	2836087
196545	665019	865627
200892	626907	1451807
191777	636508	832316
171709	676872	852593
196440	619617	820082
183023	660218	1460190
170592	696709	871323
170916	668980	843959
184375	625653	814039
199929	648976	1465833
170510	662698	837219
170515	628936	802396
182850	668769	855627
210777	669721	1979724
189337	651907	845247
170618	655404	830042
197573	646846	1519816
184073	652271	840395
169209	657370	830596
195040	616954	814791
198621	1086414	2367784
194900	679983	878929
193705	644834	842550
209495	652703	1513865
193520	700189	897754
181448	639166	824631
168601	650773	822254
173700	677558	1662595
181544	795949	981515
193688	627317	825071
182426	661747	1407560
196885	650240	851176
168044	716357	888449
168178	659490	831682
198225	647768	1409225
185066	652664	841753
170258	1034456	1207605
217567	647317	1438256
193767	642684	840462
169604	1742230	1916002
206924	721010	1502609
196127	638652	838822
169675	664235	837947
195492	696134	895643
208626	742724	1589480
196080	635776	835871
170224	646784	819851
161504	649867	815413
197970	700490	1534641
196239	655643	855936
168489	655467	828002
218160	716773	1651504
194993	648623	846610
185279	634423	823722
169840	634828	808739
182683	654870	1463238
187930	642563	834502
169410	657438	830893
