initiation_duration_nsec	write_duration_nsec	fsync_duration_nsec
13296	129023	1071436
7520	120833	1183150
10953	127050	2234183
7510	138640	1020128
10193	152374	960630
23999	122853	1013835
10648	110465	936344
21400	133086	997645
10557	209845	1202203
13639	124153	1109335
13257	126073	1026964
11973	130180	1232002
13456	124163	1143758
13033	123393	1105468
13113	125936	1019418
12997	130500	1054934
13626	130002	2172198
13263	126049	1180719
13480	162656	1052017
13270	125130	1063877
13223	122646	1019827
13226	122916	1248354
12953	127133	2118657
13169	122586	1069466
13167	122993	1050234
13353	131789	1157863
13140	130217	1016121
13073	124213	1095846
13423	131616	1034417
12036	123050	1088819
12047	124280	1016508
11987	129257	1072283
12453	125077	2300832
13223	141630	1162161
13210	142233	1035854
13576	126586	1056103
13197	127057	983666
8160	119120	1011374
13663	124513	1009491
13223	129130	1065977
13306	124649	1138697
8210	157279	2255286
13540	159969	2317081
13160	164419	1367944
13536	159906	1055934
12153	126080	1104146
13007	126884	1263835
13566	132776	1673092
13173	129576	1013545
13130	128923	1119088
12803	127823	1019544
12003	126966	1091502
12047	128860	1050847
12053	125509	1030414
12316	130176	1853320
13256	156452	1248288
13190	152603	1034524
12299	125996	1109128
12080	130120	1033404
12136	128146	1103389
13826	95517	975109
12177	127617	2318764
13170	125143	1082106
13453	133409	1081722
13316	128453	1007392
8463	118993	1030277
13316	121816	1009084
13546	127016	1076022
13240	121720	2203754
8193	100804	1288806
13150	155939	1050060
13237	132983	1061710
8186	122323	984342
13389	129786	1080886
13176	126943	992875
8153	121010	2266315
13496	167025	1266887
13239	129783	1115488
13100	135583	1004152
12970	130400	1112272
13050	125340	1022138
13090	126144	1105269
13159	132403	2212570
13400	156782	1304266
13206	127843	1019921
12787	127594	1110012
13067	136003	1032568
13113	131843	1109298
13110	122916	1120531
12743	125550	2193151
13180	159239	1284157
13157	171859	1260599
12463	133386	1031177
13086	132103	1104855
13200	128273	1032457
13573	128863	2325854
13183	126373	1058314
13076	129506	1133081
13479	126943	1032960
13073	125613	1107595
13147	128230	986769
12443	101274	1077386
13147	125597	2221137
13160	129883	1208709
13496	131050	1020591
12087	128414	1124219
12067	130073	1020395
