initiation_duration_nsec	write_duration_nsec	fsync_duration_nsec
14093	113074	1143954
8323	65981	845293
7530	64875	945770
13556	89071	939763
13883	83731	1336509
7920	65238	819273
7533	65114	913047
24363	85391	854432
12793	82981	1031084
13483	71118	837216
7919	65091	1697121
13816	76394	988995
13437	84071	2029052
6396	66598	850679
12749	75234	960803
13677	73375	847076
8007	86511	984906
7586	66991	967442
8413	69771	948173
13483	71348	853736
7956	74574	961406
7630	64542	829700
12419	69561	1123351
13766	74111	951163
12486	79628	1014981
8310	65728	850399
13523	70994	986395
12993	74174	905351
13370	81708	997945
13656	73111	1464535
12683	74224	959459
13563	74995	873489
13340	83878	985055
13329	74604	866782
13429	74601	1074742
13723	76971	897484
13483	82808	972183
13603	73851	880882
13482	73334	1008411
13726	75128	877818
12283	80874	1026744
13376	71074	875632
13449	71277	972009
13013	74224	895924
13393	84488	1097482
13356	74434	941763
13487	73368	1552296
13703	77221	954880
12359	83617	1099048
13410	74645	968323
13493	72815	1014691
13806	73575	893085
13539	80884	1076192
13530	71381	898851
13563	71181	1397310
13976	80784	1059267
13506	82807	1109995
13383	72601	875189
12643	72895	1001942
13386	74581	886075
13509	83650	1256194
13366	115146	1014691
13856	77404	2204760
13190	119197	941517
12340	82668	1045144
13629	77394	875061
13370	74548	976466
13399	72321	877938
13646	81807	1083649
13667	74922	874989
13423	74801	960506
13483	74671	861258
13496	84187	985169
13379	76724	1450802
13363	74611	1043557
13400	74515	855513
13443	86161	1040477
13873	75904	869065
13373	72555	957047
12480	72985	1664080
12386	84331	1521067
13329	74828	1499210
13397	74752	945940
12863	76198	876205
13399	84614	1060596
13423	74542	866389
13433	73515	953456
12473	72904	896111
12796	86121	1038924
13579	71401	853669
13536	71148	951493
13500	71298	1362215
13613	163485	1719188
13660	71851	884825
13489	71571	966379
13730	77191	878129
14013	84394	956709
13553	73732	863269
12370	72478	892764
13290	76661	2074088
13209	144409	1202562
13660	71602	876225
13797	77165	964190
13483	71135	864999
13503	81528	1014751
13476	71571	824920
12483	71252	953213
13549	73778	2093497
13356	83918	1247508
13086	114950	996188
13573	74195	957593
13563	73851	865015
13540	83594	981195
12313	73228	869059
12383	72414	2159082
13506	80598	1095616
13063	96057	1111645
13400	74695	869896
12560	72738	922734
13656	73595	860292
13047	91741	1178560
13293	113687	2190451
13426	110170	1031037
13746	77144	1044724
13477	85078	1037074
13520	73521	839456
8060	67695	901991
13923	76001	860192
13589	82241	1099928
13587	71748	1807785
7784	66235	958006
12450	72355	864799
8220	77958	975449
7589	66461	826360
13580	73168	1058693
13872	75894	2521668
7850	108764	1131635
13020	77335	866359
12406	73455	953653
13476	74648	1046840
13353	84937	982718
13743	77568	860385
13337	74478	964360
13419	75104	869388
13440	81838	965979
12603	72588	867322
13413	74871	954896
12373	73548	853816
13536	83884	1875643
13576	121086	973849
13450	74448	2393306
13500	102807	1065880
13570	84181	1086606
13279	114250	989181
13533	71405	904504
12660	73141	858949
13426	91171	1072623
13500	73518	857183
13490	73378	996598
