write_duration_nsec	flush_duration_nsec
878725	3104408
876278	3647013
881512	3104609
886681	3648519
877405	3274517
877441	3308839
902851	3413913
900974	3347662
872096	3370958
880945	3281270
875082	3143374
840299	4119606
875841	3218748
883321	3390423
885822	3201003
907074	3809685
909111	3315889
884108	3245264
881188	3564509
877168	3310169
894981	3559619
877949	3163307
871612	3269158
894148	3387517
878635	3327342
881445	3497718
872862	2944973
886681	3277467
879161	3403616
883611	3319395
888135	3583771
907038	3363518
877608	3180983
880268	3375104
898895	3181413
879491	3475727
879052	3244915
896295	3291520
875575	4318238
894434	3379384
870809	3384977
882081	3318239
873019	3603141
872422	3255781
879759	3190549
844503	3430913
878795	3130324
902668	3732524
896101	3296026
880582	3357005
875562	3353088
874855	3269614
869348	3310122
879239	3328606
884441	3263334
876308	3426432
885325	3259147
878169	3384587
871402	3141904
838436	3072479
888015	3337055
925407	3358071
878221	3513913
881998	3256264
873442	3088139
877225	3293020
883462	3213245
887268	3156243
878308	3283919
880055	3322172
881815	3494181
875649	3368031
876761	3518180
877508	3183116
882222	3227975
908394	3407199
874401	3188856
878675	3563599
876139	3103905
875421	3292179
878405	3443955
877898	3324352
895065	3303773
882719	3454592
884798	3291050
878252	3493044
881411	3239954
877828	3339211
878556	3290487
893004	3298136
906027	3316915
876201	3281106
873095	3522913
874659	3170430
871659	3049430
875041	3387956
884588	3315366
877225	3234138
883958	3303542
881849	3508464
870656	3138424
882489	3184570
873512	3407886
910337	3247191
880825	3236984
888295	3314106
871055	3195152
872352	3736444
843429	3160700
880718	3205529
889858	3231345
876885	3207242
875632	3659287
884869	3350472
877812	3246317
875962	3338049
873662	3246072
905614	3667669
901427	3312259
879845	3138431
885625	3371407
873558	3182302
839943	3389323
839423	3148684
892958	3163431
873109	3579755
878308	3175626
820271	3546579
816366	3037358
812100	3135809
888514	3558488
885268	3276136
901938	3477965
881762	3200396
881735	3472061
880381	3151370
876349	3254718
871465	3391317
889828	3097072
870852	3249421
878198	3372390
884175	3243094
876929	3633614
874442	3314569
895901	3306339
886315	3411856
899304	3256730
881015	3372917
876925	3243721
878941	3273153
876432	3353208
877795	3218299
890088	3446749
894108	3266243
875732	3079146
873232	3411503
877208	3102825
852539	3590361
889905	3249554
891188	3105926
879511	3434172
886268	3311082
880025	3512330
878529	3307723
879035	3236842
878985	3349792
881579	3086749
869502	3538520
876868	3221411
883115	3283620
874585	3343781
876069	3350105
899931	3276260
895078	3340899
902168	3252964
876032	3325079
894134	3266614
882272	3413810
875745	3286313
879228	3296133
882352	3539869
897791	3397250
869862	3236275
887095	3415489
879472	3155781
883762	3475381
889611	3235308
866699	3258624
890718	3347115
872251	3373824
884848	4201980
879629	3155974
879678	3568269
882539	3254904
879638	3259037
881999	3812129
874745	3226745
891574	3591964
895612	3278207
891755	3248801
882981	3340725
886932	3188223
816508	3520627
820571	3193991
824105	3092318
897221	3406543
873945	3203756
884281	3646796
884545	3234601
878432	3326145
869989	3331732
872239	3298773
890535	3432583
890958	3414060
880328	3908986
888448	3245901
880882	3240998
877568	3251088
845270	3150658
885395	3712218
891947	3082415
872175	3639813
883901	3286116
874975	3162613
879944	3678478
876875	3311109
879102	3200756
882808	3304316
888662	3419926
889141	3778979
879258	3255547
879008	3733500
877665	3239038
886575	3293387
837733	3248038
881938	3211918
898348	3566492
903674	3273423
877592	3208109
883961	3410329
878975	3235445
893208	3589568
876492	3228731
884741	3389677
891378	3379274
881002	3401371
884202	3246615
879579	3251071
880308	3187736
872842	3278707
894288	3089845
894278	3581125
869192	3076713
875935	3288693
889905	3707978
868295	3336075
876692	3259251
880282	3316530
