write_duration_nsec	flush_duration_nsec
23523	878948
28873	901101
28745	925046
30889	866168
28639	840502
28740	845276
16156	810994
17629	2101909
28539	1016484
28712	929423
19240	787824
28779	1035043
28746	835876
28792	973138
28693	892581
30662	1991256
28719	843182
28712	877794
30765	842382
28696	987485
28526	875928
28753	853102
30866	857646
28746	2079197
28616	889888
28729	932806
30903	855996
28759	878955
28996	873621
28712	879461
31002	856355
29022	2059151
28842	967718
30966	963282
28945	844862
28722	869208
28723	968752
28732	869528
30779	857782
28696	2029788
28719	872781
31159	894264
29075	849902
29116	870051
29033	877135
31025	894151
28646	822277
28662	1339848
28783	1598148
30856	935633
28609	851075
28766	865395
28803	790881
30843	979116
28793	857942
28916	1390823
28903	1537619
31176	977582
29235	850608
28729	868715
28786	867622
31086	877665
29076	875795
29039	967356
29080	1998860
31139	922330
29002	936086
28755	898290
31032	859145
29006	870532
28949	1022257
28942	2055244
30906	1054706
28896	910037
28976	848409
28839	868185
31049	837572
29022	866452
29003	890542
29093	1494880
30869	882148
29092	875185
28819	823209
28972	835266
30856	851539
28999	875892
28952	838703
29130	1705921
31636	877345
28919	922170
28652	845076
28692	906154
28662	874301
30792	874328
28589	1015551
28563	934634
28712	948393
31040	1391617
28903	885141
28943	909624
29092	830052
31169	861252
28503	838130
28623	864289
28663	818627
31186	869339
28753	841583
28676	1644027
28676	799013
30769	878978
28795	843075
29049	873665
28856	838732
28983	875545
31243	2026082
28682	957382
28839	837412
31259	881044
29326	839822
28943	970889
28935	840919
28699	899327
30816	1393820
28766	1681772
28506	916420
30899	871955
28726	837009
28703	884302
38946	828106
18779	896061
29119	1355794
28970	1669006
31266	872165
29236	957236
28770	840409
28712	910273
28745	842422
30913	875888
28586	1392993
28623	1591988
31193	886932
29172	973862
29210	846090
28989	968719
31329	850522
28796	875435
28809	2008895
28836	984139
31573	972085
28732	973098
28746	842009
28779	890847
31182	849772
29163	883291
29289	1967593
31136	942430
29103	848439
28775	935286
28850	837436
28772	925353
30910	849689
28859	889141
28676	1968150
31232	1075352
28932	1039860
29015	1075125
28839	973779
31112	1004581
28829	908044
28773	956260
28753	1927751
30999	893141
28686	827490
28712	985752
30973	972166
29079	876451
29115	852692
29643	963209
29159	1944923
31892	885621
28853	859156
28766	1051363
31132	845116
29156	870972
29096	842519
29043	1003518
31100	1992583
29096	972129
28899	837519
31102	958196
29356	854022
29066	881518
29116	850906
29132	994315
31123	1883496
29116	974876
28729	844799
31136	873412
29115	927473
29116	876638
28999	839359
29119	929170
31232	2228369
29289	926610
28756	855369
31026	875475
29133	950299
28819	860702
28846	837556
31103	1141578
29089	878342
29069	962955
29103	844522
31299	958722
28759	1422886
28679	1000005
28780	852823
31232	873945
29263	846063
29176	954036
29292	835732
29136	946556
31245	846848
