memcpy_duration_nsec	msync_duration_nsec
4177	253882
4567	193068
5963	330731
18533	329697
8569	290914
9114	341850
9156	260039
5150	238894
4375	397739
9243	414919
9147	266080
5082	350580
9125	269780
5267	802020
9324	899903
15724	431900
9213	346341
9168	259966
5274	339888
9156	273688
5415	269327
5354	408144
7404	257271
4218	278072
17641	268762
6090	284716
8954	322928
7419	394842
7421	260492
4154	343775
7402	260220
4307	330692
7375	251139
4210	411007
7390	271250
4631	329841
7405	628605
20219	506028
12848	349053
7413	390006
7422	335720
7433	922934
7512	346470
7411	272769
4707	214674
3739	461248
7434	256376
4261	243202
8451	383454
7427	258648
4338	222394
3550	445738
7462	328838
7563	334120
7455	334939
7426	322425
7419	264704
19074	319481
17796	682294
12977	490584
7455	332153
7431	331576
7423	331156
7446	398086
7458	318356
7390	323791
7407	881509
7437	274033
4076	303239
8479	411944
7575	339237
7430	347802
7402	347516
7458	323129
7394	331717
7459	399300
7453	337231
7358	258240
17625	268166
6183	282592
6270	683077
24144	487439
17012	390585
7425	326895
7377	249450
4067	352225
7537	259433
4282	409211
7432	249454
4136	344177
7374	256673
4120	1024471
12836	350394
7424	406216
7450	322240
7380	333798
7448	332827
7448	328035
7438	260833
18002	331317
18868	285301
18812	291758
14473	795366
7659	386907
7419	325071
7379	404591
7413	251655
4134	357811
7430	253838
4040	340459
7432	258583
4208	406316
7385	253646
9164	294476
7403	248551
4126	344241
7375	884148
7469	427787
7432	339074
7556	327061
7394	325610
7369	264003
18505	264082
6243	332513
8642	294566
17830	1223188
6143	369727
7390	341997
7390	330461
7451	402372
7415	339844
7375	328087
7396	260367
26812	341394
7440	325872
7428	404431
7605	324116
7413	331727
7412	321292
7400	341545
7352	333347
7426	310380
4208	224466
17541	290198
17961	241750
18944	294391
23194	223981
6257	373963
17845	1242991
5873	385899
7400	273525
4671	332141
7491	258088
4295	397611
7402	261911
9015	219201
3806	392537
7441	249690
4183	222967
3602	450629
7442	336214
7385	331669
7413	331249
7386	331935
7407	277724
17829	338174
17992	342666
7392	264099
28766	336763
7571	332913
7413	327191
7403	773452
7436	432955
7464	338980
7381	328311
7399	329304
7341	259958
17955	327307
17709	279175
8554	327389
7407	238629
5788	281169
5009	237989
3607	454574
7391	258365
4407	216022
3575	399288
7408	257261
4269	221569
3569	460977
7394	923069
12769	348862
7415	271652
4644	331451
7445	696203
7478	478855
7402	336311
7377	326088
7417	251292
4112	279939
18606	265791
8357	417155
7577	334970
7438	332687
7392	322760
7362	342586
7381	336967
7400	423124
7400	328138
7415	261779
19100	268675
6013	272555
6263	272988
8425	418915
7474	243442
4050	995035
7451	341606
7377	332807
7505	342737
7384	389217
7478	271846
4619	340838
7392	274263
9006	212457
17035	325974
18007	327780
5980	286018
7415	334193
7367	251918
4162	241639
3742	369991
7447	379678
7328	257355
4183	237904
3609	298709
6580	308925
7430	327080
12796	392679
7417	327896
7375	328423
7423	324134
7409	332870
7381	348440
7427	843388
7400	337970
7524	260869
4200	224938
18423	324134
23401	211977
19161	377093
6157	305495
7562	346836
7383	326417
7423	322783
7396	324593
7387	317029
18497	220051
18661	289839
18858	241380
5880	287242
18972	237541
8413	440621
7439	326263
7475	325823
7370	335566
7370	328439
7384	333493
7394	396369
7510	920361
7431	273887
4187	311896
27530	218555
3810	394460
7445	390598
7451	272000
4669	227350
3625	381963
7421	249225
4263	251380
4390	443669
7379	248688
4101	251782
4291	325354
19145	231590
8592	384223
7427	386060
7419	272213
4773	197118
3659	406104
7426	272488
4748	209759
3739	446127
7419	257333
4223	1253621
12875	447185
7478	259832
4242	380427
7413	401731
7434	260774
4307	349720
7417	254668
4310	343887
7390	245640
4188	423056
7396	327621
7409	375915
15769	347002
9175	335619
9152	332351
9107	402648
9161	262171
5274	359555
9119	263611
5154	335476
9124	270538
5061	836338
15769	389551
9319	334996
9162	877126
9161	308137
8147	354417
9124	328204
5196	348239
9148	339541
9114	265506
19288	271762
18667	272713
25272	447107
9181	339769
9116	342893
9162	334387
9126	254315
5006	357649
9173	402406
7497	339255
7379	342442
7373	265063
18549	1314355
12882	366047
7415	321656
18620	301628
6156	348590
18889	369180
7403	255891
18197	279772
18911	325350
5976	292515
6117	274083
8341	356540
7438	248553
4318	241571
3695	437845
7430	272497
4667	214907
3792	391379
7365	248587
4162	343076
7391	404225
7434	270318
4596	324389
7398	710867
12830	440835
7445	346493
7417	403881
7423	345707
7404	344509
7388	950397
7562	339362
7429	264435
4122	340721
22700	240523
18735	318564
17939	305270
7377	330394
7356	257414
4160	334603
6187	215218
3682	403015
7434	269754
4680	215272
3672	391417
7411	393817
12930	372716
7560	1219500
7460	346896
7423	272863
4644	230999
3609	445688
7434	272436
4663	208789
3640	400230
7409	265295
9101	238816
3826	434932
7420	260893
4219	219116
3530	386041
7432	252079
4145	223744
3568	440401
7550	258168
4233	346263
7445	252004
4116	343200
7383	266878
8807	398491
7468	698451
7468	449713
7470	271977
4730	229659
3882	378969
7430	373835
7433	256906
4153	210461
3600	398248
7403	261577
4437	211558
8518	456400
7438	923239
7464	349651
7417	339200
7403	352173
7432	347064
7436	391303
7377	335232
7423	274616
18880	221214
22995	332030
19219	222360
6077	790268
6000	438181
18152	387877
7434	331179
7528	334383
7417	320949
7444	384994
7406	279392
8931	247512
17990	270916
6027	279122
18257	274263
18648	328494
5986	282312
6237	278549
18762	930004
17569	303431
5923	297645
17967	359526
17546	278889
21755	361066
7408	326065
7443	330992
7359	704488
7428	493364
7424	260192
4263	344256
7392	263119
4444	252698
18305	272122
18072	401416
12865	325260
7407	320238
7436	328196
7434	340634
7442	329269
7424	380178
7561	339111
7457	324206
7385	254949
18734	876283
8226	394655
7491	409461
7413	338684
7397	328076
7425	717503
7434	416670
7581	339986
7394	398221
7445	342114
7386	270125
8831	206465
3781	389437
7589	272991
4705	386559
7428	259143
4244	342356
7423	257025
4248	344806
7438	256530
4221	406076
7457	249166
4175	350028
7425	250218
8797	344849
7439	879558
7444	408668
7476	368049
7411	1265711
7459	341167
7505	342469
7426	343068
12792	321431
18132	273842
19352	305754
18251	261803
6030	285568
19501	269083
17837	336121
18894	240977
6220	325464
18857	221793
5917	330781
18257	205724
6054	360912
9236	307706
9257	258473
5164	220923
4422	395144
9200	260701
5093	484680
9221	374179
9183	705606
9147	270892
5179	234031
4350	410699
16037	384534
9135	257095
4971	222609
4436	391075
9239	255501
5066	221666
4385	452694
9348	257794
5236	343952
7415	249254
4055	326371
7425	239833
4106	412083
12870	255728
4379	220525
3584	380970
7435	249437
4326	207153
3655	444900
7472	250556
4186	252330
4311	951234
17682	356532
7537	338724
23361	393237
7431	271156
4731	209765
3703	389435
7432	257094
4230	324773
7446	395639
7383	247865
4094	344618
7399	246130
4137	327773
7361	258693
4142	365551
9074	193436
3754	393269
7457	273030
4940	197701
3741	399135
7453	400032
7409	322365
7436	327122
7400	336526
7411	723600
7436	991234
12800	404846
7434	272452
4791	343937
7409	253232
4095	346635
7384	249208
4002	403563
7389	248652
4196	338470
7384	250130
4080	286754
27233	279955
4442	384816
7476	245429
4151	343255
7469	241746
4239	343062
7413	249175
4118	412754
7424	325911
7400	325641
7457	740846
7402	382708
12768	334901
7402	400956
7613	930278
7430	352451
7400	334091
7409	321267
7390	259502
7106	326764
17501	272539
6066	344664
12754	333669
7472	329075
7560	333107
7459	387203
7410	332882
7388	320738
7406	330639
7402	327749
7545	252815
19314	330993
17689	685364
25228	406239
19506	359987
7388	332141
7408	317913
7423	368292
7417	249871
4135	983099
7422	340731
7392	249833
4051	278247
8577	405744
7421	251473
4166	347301
7432	249886
4303	346981
7390	273266
4632	390640
7424	241155
3983	252172
4333	308353
18183	233303
3526	356807
7400	789552
12862	437755
7535	336926
7451	347615
7413	341474
7392	346544
7411	365321
7409	270939
4817	194742
19145	318934
18263	910398
23983	361931
7409	398092
7468	325349
7417	331053
7402	321175
7427	324328
7409	254502
18728	317171
6280	271023
6119	279192
6116	270529
6070	276475
24228	697643
17888	464004
6550	371870
7445	246202
4122	341030
7375	245993
4084	343023
7375	388955
7379	245302
4112	343668
7398	246278
9082	346661
7482	332753
7417	988120
7371	352802
7386	340430
7379	330259
7413	350744
7523	334946
7385	315120
4124	263160
22584	270239
17194	315168
6023	1299014
7475	337439
7428	393551
7474	337093
7409	339665
7362	248326
4173	327691
9211	235376
3872	411278
7436	246196
4238	344472
7411	240631
4225	343809
7428	251360
4180	458147
7400	329914
7407	326227
7388	326055
7426	330061
7400	259791
22415	325654
18323	338962
7501	632090
4303	486421
7421	273583
4702	344039
7390	393442
7404	258311
4319	342001
7442	257038
4289	258111
8533	344022
7415	383970
7400	260255
4233	210162
3533	394336
7455	251162
4036	221716
3512	440985
7434	328479
7385	935759
7377	346809
12844	335648
7457	328355
7398	408175
7543	1222898
7390	342950
7413	271179
4546	287756
7392	253024
18579	343309
8570	329837
7425	252570
4141	221613
3518	396699
7521	260114
4301	387488
7440	247624
4140	251878
4328	300745
18740	216264
3832	384552
7400	383584
7407	257238
4053	224456
8493	456043
7407	255421
4122	349950
7384	402316
7445	1226175
7428	351956
7371	333175
7400	333478
7422	336436
12819	417661
7451	330256
7408	333153
7465	249327
18961	267349
18694	347424
7422	385151
7388	333131
7388	259458
18824	204981
6330	290909
17592	241833
5963	358826
22857	220630
18380	316738
6049	287467
7421	400472
7457	322421
7472	759938
7460	401402
7497	333139
7362	250747
4015	336857
7423	248826
9023	405019
7470	329092
7392	331048
7420	330057
7434	320522
7392	331134
7434	383636
7388	328756
7398	251167
4098	252629
6223	262966
6046	284138
8331	302620
17755	258673
6167	221807
6010	317694
5883	200318
17754	393173
7444	942227
7427	346044
7377	327447
7356	250032
18364	275798
6406	274389
22933	406164
7447	331339
7431	263480
19255	207295
6110	321901
6646	290992
7467	378412
7366	250285
3916	222740
3449	394686
7409	249063
4142	252507
4339	353596
8608	222211
3702	387259
7478	273106
4682	196019
3673	403899
7458	382683
7372	329383
7428	327430
7390	1289817
7552	352735
12903	335317
7389	393343
7413	280182
4549	245512
6153	240940
18539	295428
18693	241740
17561	361243
5910	241723
6253	326304
6030	208678
5926	324687
5963	223285
8564	432637
7436	249900
4383	241635
3703	379454
7421	247024
4118	253366
4368	429221
7370	249355
4108	220656
3486	725462
19037	536770
12878	343143
7415	403922
7423	944972
7458	351317
7366	334042
7392	251244
4171	342971
7391	398829
7480	248958
4131	368986
12929	253353
4322	344764
7432	254018
4202	395821
7442	251224
4164	345905
7417	259890
4257	343398
7492	251502
4059	411571
7489	714667
7339	431468
12729	336474
