elapsed_after_write_registered_nsec	elapsed_after_write_completed_nsec	elapsed_after_fsync_registered_nsec	elapsed_after_fsync_completed_nsec	non_blocking_time_nsec
15061	1552036	1579154	5412112	41175
8527	1447920	1474605	5845719	34203
8394	1483632	1511859	5477358	35651
11839	1538964	1566658	5208319	38511
12822	1521551	1535880	5299424	26134
12728	1607912	1624395	5698035	28042
14005	1623631	1641160	5460463	30304
14213	1750833	1768869	5495919	30989
14209	1774716	1792412	5468269	30732
14083	1753803	1771859	5555244	30872
14183	1729517	1747216	5572600	30642
13220	1823408	1841544	6416556	30112
14199	1755652	1773418	5475252	30791
14096	1775669	1793712	5506535	30993
14109	1736396	1754106	5574273	30669
14326	1769206	1787255	5548894	31172
14013	1772032	1789675	5590369	30483
14213	1797601	1815534	6344220	30952
14050	1728604	1746403	5428691	30579
15360	1792332	1810415	5593666	32177
14096	1756843	1774659	5545573	30736
14210	1795648	1813611	5643915	31022
15282	1761662	1779405	5548573	31858
14176	1755376	1773089	5560893	30716
15273	1835227	1853277	5808860	32149
14156	1759183	1776869	5614938	30666
14196	1757796	1775865	5468982	31026
14280	1753080	1770856	5623169	30883
14177	1793989	1812071	5589159	31086
15287	1773549	1791312	5523415	31876
14290	1734855	1751586	5477470	29924
14160	1638060	1654485	5429595	29499
13051	1677461	1694177	6247118	28621
13280	1621368	1638791	5308479	29520
13377	1695117	1712936	5869320	30033
14239	1719783	1737566	5580146	30779
14393	1805158	1823307	5562409	31276
14406	1752506	1770179	5600502	30930
14329	1785343	1825096	5504035	53013
13291	1686568	1703225	5399190	28888
13362	1673331	1690830	5310186	29698
14313	1770229	1788368	5652507	31185
14369	1731877	1749629	5503595	30895
14547	1810278	1828481	5645128	31483
14390	1762186	1780016	5598636	31046
15500	1780892	1798975	5590949	32433
14170	1743777	1761396	5513382	30596
15503	1783332	1801122	5476653	32142
14336	1791932	1810035	5569143	31289
15630	1762320	1780022	6014630	32159
13753	1717377	1735167	5600052	30269
14390	1745843	1763646	5504189	31040
15416	1776199	1794215	6207125	32259
14399	1748313	1767209	5420567	32122
14376	1778279	1796308	5515305	31232
14310	1766932	1784602	5430097	30829
14420	1702130	1718872	5264825	30007
13171	1608517	1626020	5339001	29424
13271	1643721	1660395	5396645	28854
12714	1644124	1660498	5329753	27999
14465	1699509	1717112	5217698	30837
15463	1806121	1824257	5671703	32332
13469	1798535	1816191	5665770	29976
14506	1795772	1813818	5303421	31402
14596	1785478	1803244	5546134	31188
13348	1637587	1653918	5186920	28613
13211	1644390	1662373	5332114	29957
14540	1749200	1766883	5591356	31050
14450	1778976	1796979	5566084	31280
15549	1746386	1764152	5247152	32142
15450	1802139	1818893	5508087	31046
13151	1633476	1649861	5395313	28467
14474	1628656	1646209	57031879	30780
14389	1785948	1804031	5514961	31318
15720	1764826	1782602	5464987	32323
14453	1763329	1778929	5309690	28971
13142	1533684	1548804	5252978	27273
12448	1583152	1600585	6658816	28704
14453	1778026	1795802	5242166	31076
15760	1781396	1798972	5272855	32163
14417	1808212	1826241	5658648	31273
15546	1787029	1804858	5624525	32228
14302	1752216	1770272	5528334	31092
15389	1760706	1778362	5599809	31872
14323	1809231	1827274	5612942	31173
14260	1762839	1781745	5418920	31993
14473	1776039	1794188	5343067	31375
15799	1799363	1815617	5622324	30963
13151	1640861	1657195	5373145	28402
14102	1650859	1668852	5484039	30838
14346	1710141	1727820	5451813	30788
14373	1814991	1833057	5524108	31265
14483	1767836	1785545	5618245	31019
15509	1773531	1790276	5428276	31075
13291	1650474	1666882	5155456	28625
13425	1650647	1666906	5487514	28624
14451	1627065	1643782	5404779	30000
13263	1601045	1619768	5390453	30777
14480	1775009	1793125	5574033	31336
14346	1727793	1745433	5589489	30726
14567	1837588	1855851	5628122	31584
14350	1764690	1782486	5610499	30993
15563	1781012	1798932	5422547	32239
13982	1773225	1790935	5335563	30512
15446	1754773	1772549	5586613	32071
14420	1760893	1779015	5655521	31276
15489	1712084	1729810	5457676	31955
14483	1751031	1767785	5581855	30164
14443	1667924	1684258	5532096	29716
14246	1797705	1815844	6500476	31181
15596	1768132	1785672	5513504	31962
14380	1802505	1820655	5590203	31356
15587	1770280	1788022	5510078	32063
14326	1781555	1798274	5582358	29867
13391	1633029	1650569	5477377	29700
13391	1717808	1736065	5445461	30391
14316	1774019	1791769	5629175	30903
14417	1745587	1763310	5510012	30967
14346	1827297	1845344	5560450	31199
14433	1790519	1808258	5363769	30999
14380	1738320	1756470	5753705	31256
15496	1709901	1727737	5804766	32092
14400	1746514	1764656	5486406	31283
14230	1722048	1739804	5496732	30726
14473	1824117	1842253	5609528	31456
14506	1783852	1801548	5540251	31028
14443	1828107	1846240	6645232	31382
14296	1754679	1772362	5500425	30828
14432	1804198	1822321	5667600	31406
14346	1730934	1748740	5497305	30886
15473	1803101	1821264	5648371	32392
14237	1714138	1731994	5474136	30827
15417	1813892	1832098	5609726	32357
13799	1759786	1777482	5670847	30349
14446	1787158	1805388	5757741	31433
15523	1741040	1758890	5401362	32219
14493	1781266	1798872	5360149	30949
14349	1765126	1781765	5556854	29837
13249	1582241	1598640	5296014	28505
13363	1708915	1727061	5507989	30284
14480	1764026	1781739	5684727	31019
14322	1815944	1834174	5569163	31305
14510	1724844	1742660	5518828	31059
15422	1816549	1833191	5581234	30886
13089	1659696	1676078	5418927	28403
14402	1640346	1657883	5573530	30775
14519	1764776	1782895	5448817	31399
15593	1751470	1769262	5495922	32212
14423	1784155	1802311	5664534	31398
15450	1744373	1762193	5537144	32096
14466	1793225	1811451	5531481	31445
15496	1749893	1767723	5528438	32153
14372	1794198	1812267	5405168	31292
14376	1747437	1763774	5475165	29557
13422	1588586	1605028	5401665	28702
14305	1730048	1748165	5470464	31189
14546	1748639	1766462	5554050	31215
15513	1743745	1760510	5406948	31212
13151	1618239	1634619	5208283	28474
13405	1643077	1659531	5365984	28793
13248	1679752	1696560	5426547	28888
13377	1601131	1618710	5366646	29786
14540	1808225	1826347	6544089	31396
15529	1784212	1801885	5538371	32029
14326	1780292	1798375	5592782	31260
14550	1746977	1764663	5498136	31063
14313	1779412	1797495	5605212	31247
14349	1763212	1781045	5389671	31008
14386	1746173	1764300	5606642	31269
14389	1734703	1753689	5563068	32115
13362	1630164	1646858	5358472	28961
31256	1662931	1680524	5364342	47685
14366	1751199	1768949	5591755	30942
15620	1803865	1822001	5570957	32606
14393	1756693	1774389	5484066	30916
15456	1750514	1767291	5567507	31164
13192	1608323	1626349	5393014	29945
14388	1658726	1675220	5321170	29753
12480	1593106	1609482	5366031	27714
13299	1616253	1633829	5365569	29715
15497	1804585	1822618	5517762	32379
14439	1779625	1797468	5607941	31109
15383	1784052	1802222	5691690	32309
14323	1738357	1756173	5121100	30966
15543	1767269	1784648	5652160	31666
14093	1727967	1745740	5427493	30583
14391	1621822	1638238	5386973	29727
13345	1768291	1786427	5534316	30318
15522	1775612	1793305	5530864	32062
14380	1728881	1745581	5336540	30010
13334	1620772	1637189	5378288	28668
14273	1628810	1645124	5364214	29530
13234	1658324	1675000	5351689	28854
13213	1617155	1634751	5412869	29646
14426	1806678	1824721	5586729	31320
14353	1745973	1763739	5470456	30968
14366	1758146	1776229	5557184	31205
14373	1786239	1803948	5591623	30909
14360	1795638	1813818	5484359	31273
14103	1776489	1794255	5341463	30709
14413	1754267	1771893	82045413	30866
13652	1797414	1815237	5567746	30222
14406	1787081	1804767	5522480	30938
14613	1776799	1794895	5531571	31536
14386	1766373	1783832	5491385	30672
14319	1783785	1801845	5761378	31205
14480	1791692	1809291	5995811	30926
14509	1803675	1821744	5681367	31405
15723	1784439	1802229	5641895	32359
14437	1766110	1784272	5647218	31359
14489	1724610	1742336	5450750	30955
14426	1783825	1801665	5648344	31092
14367	1748573	1766379	5411428	31019
15676	1778639	1796815	5440654	32608
14130	1773216	1790952	5603159	30713
15507	1786172	1803938	5706313	32120
13979	1764066	1781775	5573959	30535
14433	1738120	1755980	5594066	31026
14413	1650770	1667435	5368360	29905
14414	1605365	1621799	5332621	29765
13340	1669523	1686280	5431064	28928
13236	1638621	1654992	5510984	28524
13368	1677702	1695122	5445613	29601
13923	1795979	1813782	5675494	30543
14353	1784072	1801815	5632908	30903
15453	1750013	1768189	5467199	32387
14590	1745730	1763389	5574420	31076
15549	1781679	1799718	5642141	32415
14420	1763319	1781109	5392828	31036
15469	1798498	1816667	5373485	32402
14419	1760372	1778085	5683979	30982
14506	1772692	1790808	5993774	31415
15543	1765572	1783362	5556117	32159
14349	1810771	1828827	5969524	31232
14263	1730364	1748113	5526481	30746
15589	1795731	1813951	5565120	32542
14373	1784705	1802438	5626061	30933
14596	1804411	1822474	5545344	31508
14373	1784885	1802611	5621255	30942
14383	1779212	1796912	5753458	30899
14217	1774923	1793952	5570247	32046
14299	1740313	1758006	5522574	30756
14346	1673487	1691312	5465338	30992
13260	1643470	1659875	5442247	28582
14296	1757404	1775527	5458354	31273
14326	1756012	1773859	5447746	30999
15563	1783387	1800081	5222065	31187
12183	1645916	1662290	5451458	27485
13226	1617364	1634877	5479870	29576
15506	1750680	1768779	5762314	32339
15479	1749376	1767199	5469769	32062
14327	1792279	1810362	6020011	31257
14473	1780439	1798242	5545490	31123
15510	1776239	1794388	5641718	32486
14369	1774729	1792365	5498329	30832
15552	1783865	1802031	5654370	32569
14290	1798625	1816311	5588423	30796
14359	1786412	1804598	5709519	31279
15460	1711228	1728984	5489359	31950
14426	1765173	1783325	5565597	31335
15803	1765596	1783292	5557540	32339
14316	1776358	1794088	5514291	30872
15600	1783759	1801909	5410655	32577
14393	1780639	1798299	5662222	30880
14391	1663201	1679895	5460821	30010
13436	1591823	1608302	5353577	28753
13237	1611194	1627913	5371048	28814
13102	1597031	1613531	5393225	28456
13319	1654680	1672233	5398543	29708
15603	1773545	1791668	5703139	32552
14453	1759547	1777349	5603903	31105
14430	1788402	1806525	5662004	31379
15593	1725747	1743620	5569057	32199
14467	1742510	1760693	5612666	31390
15450	1728634	1746433	5430827	31989
14539	1779105	1797188	5521321	31449
15617	1773119	1790849	5877641	32199
14440	1799558	1817708	5610292	31409
14299	1751893	1769682	5441907	30939
15467	1760247	1778199	5670164	32236
14246	1729650	1747379	5477055	30698
15363	1764959	1782709	5579017	31962
14440	1761193	1779359	5534198	31366
15642	1755412	1773188	5570809	32264
14452	1807438	1825550	5431857	31395
15362	1752146	1769789	5574596	31856
14360	1761641	1778358	5573583	30004
13402	1662349	1678794	5496919	28764
13354	1678434	1695014	5407692	28851
13240	1610397	1642327	5426270	29910
13426	1630974	1648574	5353811	29801
14359	1781498	1799575	5629181	31170
14546	1768679	1786402	5554197	31096
15583	1809745	1827867	5320124	32555
14433	1800752	1817034	5724036	29648
14285	1691417	1708111	5489859	29916
13216	1627634	1645157	5339504	29489
14450	1775825	1793705	5674900	31179
14477	1784282	1802375	5741789	31310
14466	1795891	1813571	5670313	30992
15666	1783465	1801521	5549864	32549
14387	1746307	1764000	5579120	30927
14240	1671278	1687923	5422564	29796
13211	1631716	1648058	5509546	28496
14506	1763513	1781642	5605535	31375
14290	1718864	1736727	5455523	30893
14265	1659112	1675654	5436219	29724
13223	1645220	1662783	5501003	29697
14473	1761226	1778988	5370642	31062
14623	1786316	1805655	5446064	32812
14366	1762909	1779052	5484792	29413
14460	1670041	1686674	5453322	30011
13268	1679246	1696889	5550278	29748
15536	1791932	1809931	5673770	32385
14467	1727607	1745404	6585394	31014
13437	1844634	1862757	5725629	30407
15549	1778678	1796428	5547130	32125
14480	1796132	1814228	5637532	31426
15376	1762839	1780629	5523945	32015
14592	1810171	1828334	5621318	31582
14390	1784369	1802038	5573860	30886
14467	1788026	1805962	6033203	31253
14273	1739277	1757103	5501202	30829
14482	1790828	1808864	5785980	31345
15403	1754306	1772149	5276698	32073
14493	1775799	1793579	5624782	31123
13763	1778006	1795872	5521312	30395
14303	1804868	1822661	5772154	30950
14363	1784012	1802068	101594674	31268
14406	1788545	1806325	5517505	31013
15587	1794156	1812278	5587273	32556
13492	1799558	1817267	5511771	30028
15566	1813558	1831638	5474386	32466
14519	1818635	1834783	5364527	29594
14223	1737157	1753911	5472583	29816
13591	1665078	1682590	5406113	29926
14310	1772763	1790626	5691623	30980
14417	1744374	1762537	5465547	31337
14526	1742067	1759736	5595903	31022
14440	1747421	1764123	5355474	30049
13323	1627039	1643413	5483451	28608
13271	1656685	1673462	5376491	28879
13366	1629028	1645493	6190708	28731
13331	1729682	1747925	5581775	30337
14373	1773932	1791709	5685340	30976
15513	1802262	1820385	5593489	32369
14457	1753203	1770953	5645518	30940
15616	1813681	1831446	5542824	32217
13114	1654964	1671392	5159332	28439
13285	1673546	1691046	5491460	29621
14439	1816784	1834867	5668783	31349
15606	1783025	1800778	5518384	32186
14470	1797922	1816058	5559981	31379
15643	1738237	1755866	5261535	32006
14409	1754842	1770075	5581226	28438
10699	1813951	1831620	5614748	27179
14366	1774239	1791989	5631955	30962
15506	1812535	1830631	5499576	32455
14386	1768559	1786308	6392252	30962
15563	1761680	1779429	5516652	32139
14500	1778919	1796709	5771871	31117
14180	1739660	1758660	5531351	31913
14430	1736943	1754606	5570260	30833
14479	1742926	1761066	5484536	31379
14223	1730983	1748816	5968088	30902
14492	1794465	1812484	5573196	31338
14386	1762242	1779802	5588373	30772
15563	1745329	1762015	5567955	31179
