memcpy_duration_nsec	msync_duration_nsec
4104	1431447
7232	352190
7590	330857
7701	341381
7617	344939
7728	335238
13209	298193
4581	190256
18700	346521
3882	286009
19281	231613
18198	290202
6359	297753
7718	355819
7568	318827
7718	339833
7689	346611
7701	285322
4344	196577
19036	325080
8989	201416
19530	357786
18628	282092
19879	368674
7822	326059
7726	404801
7653	354579
7699	1210998
4406	344927
10293	353083
7690	326785
7689	326836
7655	329657
7811	346223
7705	330837
7754	335666
7544	442010
7690	270298
4436	295832
3849	323489
3864	268590
12758	328907
7648	326646
7697	314152
7689	351730
7700	343112
7592	334148
7737	319594
7636	335428
7759	283191
4480	267329
18398	324881
3713	317094
17886	292597
8825	1269522
3918	356113
7640	289142
4571	294286
3888	259248
6703	295026
3760	256175
19008	334090
17439	290332
18425	350147
15193	295042
5140	202781
19963	363881
4988	264510
10005	348717
10045	347455
10004	380001
10133	350055
9947	694942
10125	346915
6058	345328
17234	351352
10035	345870
10045	352445
10072	344332
10162	355625
9913	293257
5955	282951
18999	296852
4967	198114
6406	340594
4878	194607
19108	366340
12157	1027598
10068	360378
10195	352912
10207	341767
10132	339193
10020	345306
7693	285773
4318	311512
3861	251994
3895	1215289
23876	392540
7651	342944
7790	286090
4430	272962
3819	243041
6550	278635
3760	261926
3722	275568
3853	288309
3775	260462
6980	195841
8881	411876
7765	261569
4631	327658
7693	255997
4396	446322
7674	249954
4442	347234
7651	243772
4291	343821
7706	280323
4857	212710
3834	371725
7718	279264
9356	1299201
7625	358685
7844	289120
4836	334697
7689	266046
4398	346731
7723	253120
4297	338737
7691	246760
4432	277136
15249	246246
4297	383810
7695	261760
4565	214434
3882	425464
7621	359619
7716	343865
7544	244458
4394	232224
4045	375728
7737	242458
4316	369226
7726	260753
9280	390568
7735	705534
7694	421009
7739	282920
4857	330857
7697	278906
4828	230833
3912	340887
7682	266837
4541	387900
7619	261076
9424	245067
4346	384901
7729	321536
7667	331248
7716	326213
7619	313852
7704	305976
8379	314182
7701	819363
4394	269101
17614	328009
32955	347268
7758	337823
7800	373130
7839	347392
7659	1187024
8466	362759
7574	341914
7824	249791
4404	240305
18617	316877
8815	253272
19564	398060
7731	260708
4680	190635
3924	408717
7665	312549
7638	309199
7720	317149
7608	257734
4615	194861
3713	400877
7686	246357
4312	344639
13906	413091
7655	273381
4874	237799
3789	379161
7703	341356
7666	1244239
7634	364777
7592	330187
7653	311513
9834	326501
7739	331578
7699	265030
17907	329241
3924	319937
7767	272718
4445	263924
3866	276316
4063	259814
19299	343237
3796	278028
3880	245028
17515	284895
18004	288979
8954	279795
4011	365046
19699	298088
19383	300314
3798	267368
19889	266179
6517	348578
3732	1238834
19097	298948
6619	276158
21806	310977
4009	241081
6477	366246
7766	366201
7687	288687
4488	198052
19917	343960
3827	191236
17365	348439
3905	301957
3865	236129
3808	378696
7650	251532
9326	249612
4304	391996
7713	253429
9381	364348
7876	270969
4939	343558
7750	345163
7573	206705
4369	493735
7586	1225036
13161	358180
7679	340026
7775	261036
4708	343413
7775	345209
7693	343049
7613	257011
4371	377047
7697	272119
4486	200467
18572	371239
6553	299309
8929	292963
7611	341158
7729	342572
7712	340232
7734	361409
7639	334400
7680	349180
7718	336240
7724	289017
4338	318362
3910	670459
12977	504771
11649	359081
11452	278810
6642	216311
6057	400566
11486	293149
6700	284635
6885	249801
5679	354398
11462	294974
6565	230457
5902	437701
19691	297146
6777	208973
5985	335850
5697	274158
11426	347253
11594	292517
6557	280884
5825	262458
7246	311046
6122	904205
6828	301935
7817	293863
13237	359236
16396	274572
6839	365109
11591	283938
6274	266546
6142	364124
11319	273158
4217	325555
7596	251865
4352	324473
7587	248991
4342	340464
3747	265756
13733	218268
4002	389783
7737	238064
4461	362466
7735	342501
7567	278028
4775	188056
3872	401705
7690	309982
7604	341008
7623	342111
7657	279402
4813	335236
8948	381654
7703	707756
7722	462406
7867	332530
7645	339877
7686	326080
7642	334082
7727	327419
7603	282405
4382	308844
8777	279800
4101	240350
19405	282992
18464	200491
6273	337821
17839	319461
3676	286957
6496	211854
18509	418263
7713	313380
7752	349944
7678	342308
7688	335132
9812	310350
7638	280774
4506	953447
3805	279001
16871	329801
17673	246897
16717	283365
18618	275396
6560	232390
6670	313632
3760	312844
3666	192531
8969	395564
7825	256241
4598	255386
4518	352630
7680	343331
7609	264105
4398	206701
3696	396446
7638	239197
9775	374597
7789	265675
4530	239925
4015	365490
9381	336178
7720	242944
4400	379220
7754	252577
4497	959269
7876	692137
7558	343697
7716	328006
7655	279766
4865	296504
8935	376489
7749	251682
4381	256596
4632	333558
7676	279546
4859	348272
7693	248694
4400	209262
3714	402034
7714	346072
7645	343384
7844	250077
4436	305505
12554	214076
4015	427361
7660	322636
7671	333848
7653	330290
7592	264463
4551	260544
4829	361110
7706	307302
7541	293875
4409	1020070
13064	346552
7634	327817
7686	282265
4442	196958
18730	337377
19375	292725
18740	247410
6470	294135
17127	215204
19455	300175
3844	252435
19340	337054
18589	228000
8802	352700
7604	333124
7672	314361
7642	353002
7723	352131
7664	329467
7649	324958
17212	341697
7669	298223
4330	296477
3744	1255549
8935	338480
3966	262532
4567	347527
7664	265602
4374	332351
7767	252225
4505	223664
3893	382124
7682	270872
4817	196214
18943	352455
3850	355129
13019	343823
7784	347828
7632	348634
7701	254520
4434	217451
3809	435808
7665	279471
4775	192501
3955	422134
7619	244155
4238	365071
7792	333474
9661	1277623
11249	381463
9457	349213
9512	344550
9478	342589
9676	336861
9448	270511
5362	264865
4649	211636
18770	316194
10876	211694
18766	352504
17529	274665
19499	275543
4751	270871
4675	193016
19527	404322
9482	296729
6096	206621
4758	371654
9358	273314
5531	189494
4884	403257
9428	265377
11865	399854
9579	1216782
9493	359311
9461	340539
9375	329760
9527	323844
5720	311797
5465	258396
3897	267219
8820	318391
7617	335968
7773	324012
8325	335577
7655	340450
7758	332747
7639	344293
7540	319880
7687	294629
5253	195395
18814	301548
3780	228149
6707	285256
14904	363761
7836	319463
7602	343210
7718	711848
7607	408813
7670	265962
4447	1053821
7737	363727
7640	271263
9597	258847
4240	289092
7773	247520
4487	349890
7786	249592
4457	345961
7730	251149
4529	346735
7701	246949
4288	349059
7688	246511
4419	344961
7739	238729
4424	233364
8710	323286
3752	312274
23389	294507
4830	326724
7676	268756
4689	1185626
16998	304288
18152	330622
4491	303217
17624	412774
13261	351716
7860	337483
7720	353562
7625	274106
4480	283559
16953	238213
6636	287675
19049	274219
18890	205668
18379	332120
19751	309064
17087	239893
6640	298928
23970	337151
7771	351609
7642	240252
4502	402685
7669	245862
4485	208896
3828	435235
7667	1161978
7647	349097
10929	278979
9333	338413
7724	273328
4673	349347
7702	258394
4470	343348
7678	348268
7600	325894
7786	336555
7701	279259
4470	313412
7635	279726
4607	312322
3731	255359
24240	217204
19719	336781
17196	201308
18076	412186
7854	350550
7638	343112
7843	330623
7724	308395
4611	211475
19540	1322939
8967	356070
4085	289925
3724	274772
3638	313619
18699	283012
17325	262559
6500	317614
3648	271887
3794	234233
19614	290212
3687	266922
3675	247337
19300	294145
11687	338183
7737	338895
7638	316817
7748	315334
7656	343275
7728	340158
7581	336579
7648	352167
7676	268236
4407	291514
16919	670015
8626	470556
4150	283659
6620	276349
4105	267837
6420	274936
6726	288132
16999	985675
