memcpy_duration_nsec	msync_duration_nsec
87315	1830380
94001	597375
94357	571764
102468	589960
93768	573175
93652	564156
95011	563841
93175	932973
94312	583849
121688	544490
86615	542596
94292	573755
115682	599740
116891	591886
93935	978284
146787	917431
115811	11794638
103126	654562
95355	395578
87731	352078
86806	349368
86715	348807
86283	356027
86957	348941
86609	350519
110142	373569
87292	357098
85437	357775
87469	353930
85303	351907
86474	355935
86831	353827
86657	354275
88112	350773
86297	347250
86809	354373
92112	362852
86029	354479
87875	482678
94043	378975
88292	360061
87063	351295
87969	350110
86821	348165
88012	354770
87886	350233
86118	351959
95609	374574
87646	463837
86317	361672
86880	355018
85758	357344
87243	349684
87066	348565
85918	348422
86775	348610
86511	346732
92055	343176
86409	333654
85726	4545360
104628	408301
86200	362074
86560	356192
85277	354641
85886	353470
86286	354078
85469	354367
112759	356190
85272	328177
85663	325619
86809	329505
85301	326699
86949	329874
85492	431942
94198	359844
86526	334579
86366	331282
87223	332314
111054	379449
85820	351107
86000	347627
86494	350376
87226	371627
85149	490158
95177	378621
86275	351656
86218	351413
86403	350556
86077	352644
96549	362436
86229	351584
85454	349015
86752	347739
84595	350056
86769	354361
86498	348822
87004	350202
87244	350379
86586	348367
86243	353637
92260	355949
85926	348582
86978	349579
85418	349276
87189	358127
85969	550835
94992	384252
86052	350070
86464	351398
86429	350346
95115	362653
86115	354787
86606	353741
87058	351293
86421	350799
85621	353873
87275	326857
85718	333876
86089	324165
85483	331119
86217	325393
91875	335414
86321	329471
85374	328516
86466	327936
85586	327322
87937	334684
85149	324771
87043	349387
85143	475500
94638	358173
86797	333322
95597	338538
85929	326285
86240	328851
85803	328491
86549	327548
86066	328368
86557	329107
85352	326551
87892	330760
86423	326954
87235	327377
86689	331842
91841	335125
86783	328130
85906	331292
82237	315923
82735	322142
80969	315993
82642	317876
80671	313601
81861	317492
81918	582831
88863	347444
90803	327746
80960	317662
82334	316984
82010	319325
81489	319939
83096	320372
81781	315417
82911	312951
81499	311234
83260	314699
82243	315655
82755	317513
87558	322916
83409	317377
82587	318653
82066	312356
81899	311438
82574	312993
81743	317774
82854	312215
80995	314308
81275	317626
81764	316388
81494	567744
97950	365014
88352	332213
86026	332628
86795	324400
84966	327853
87658	328214
85795	327319
87175	329885
86466	327605
86983	327759
86683	329182
91317	331782
86083	331608
86566	328631
85715	333134
86306	335122
85866	326682
87603	327382
86369	327811
86929	326180
87294	328153
86461	327737
91300	333359
86615	339979
86532	477828
95129	359150
86715	329033
87415	329100
86126	324228
86121	325500
86160	326853
85529	327631
87029	326737
123049	364195
82358	311455
81642	318628
81310	312579
82075	323358
81963	315544
82353	322134
80652	352048
96227	370638
96601	325543
82043	311029
82308	315417
86730	318126
83418	314273
82327	319233
80817	477886
88984	344746
82410	320344
82644	316019
81008	314900
81172	323774
81880	315984
82221	317532
102757	341701
82364	318183
81965	315273
81995	315208
81786	316934
82862	313766
81181	311795
82750	315104
81635	317986
82130	318622
82774	319690
81878	318398
97753	338252
82132	316455
81960	317596
83038	319017
81308	318574
83334	584235
88929	339797
82377	320723
81837	317009
81042	313375
81275	312967
103046	336727
80405	309370
80897	311269
80395	312375
81433	312285
79477	312308
80478	317864
80946	316563
81633	317911
81327	321650
80083	308556
81602	310692
81418	324678
85362	325036
81861	315927
80833	316836
81965	317379
80463	314544
81057	367500
94941	505010
88351	341226
82049	311880
81320	317981
80624	313954
89085	319358
80525	309935
81370	318504
80600	318549
81656	318146
80526	310689
80779	310928
81713	311375
81275	312612
81805	314982
81203	317106
80991	331741
87130	324874
81728	314904
82012	323236
81967	320108
81621	309685
81051	315169
81388	315887
81942	322422
81205	554190
89375	346762
82548	355487
89367	324640
82010	327628
86026	334393
86732	328505
85912	325602
85886	326250
85906	331445
86046	325359
86272	335316
85460	326088
85318	330979
86486	340005
91463	340179
86927	327543
85246	353341
86621	353136
85338	352819
86017	327499
85912	332728
84727	326537
85306	373117
98325	507010
117871	378138
86783	328662
85692	328474
86212	353408
86275	354482
85900	350844
85835	330331
84932	326528
86231	336274
81494	316263
80721	322111
81464	315238
86028	323469
82751	314928
80195	316167
81892	311942
81017	309078
80497	319076
81765	312238
80781	315278
80795	310372
82536	317435
81002	315466
82177	328885
86057	459702
82873	362863
96479	371738
95714	369043
94995	370215
95453	371441
96043	368930
95310	368927
95162	374218
95699	338603
86449	394638
90217	341779
80991	315544
81089	317351
80589	314225
81541	312603
81518	321153
84994	334961
86603	333862
86169	329756
84731	327156
109460	352373
85266	334993
86312	496152
92312	365718
74556	319883
86066	334519
85129	324265
86561	333482
85618	327588
85412	333710
86112	327002
108726	358002
87063	328513
84821	326005
86092	324971
85209	325560
85794	326276
86137	324933
85689	327091
86000	328496
86055	328102
86226	333337
86112	357657
91263	332813
86937	329125
86720	330873
86558	554135
94035	358130
86312	330713
86880	334007
85869	327522
85726	330802
86595	327571
85863	326965
96051	337650
85389	328234
85778	331285
86407	328108
85672	326374
86235	331213
81612	317989
81833	321560
80969	322283
81277	321360
82113	315274
102166	336703
81962	318676
80207	313019
81697	316311
82478	311728
80510	321151
82557	467597
88906	340315
82657	315290
81577	324909
81537	315217
81346	315518
89946	322057
82397	313454
81016	314024
81265	315179
80604	316377
81186	321824
81115	312937
81363	316128
81437	312949
83179	310843
80546	315311
82690	355512
86779	324815
82678	316473
80986	314678
81586	315339
82000	319026
82071	318577
81357	327273
82262	469988
89515	347369
83327	319365
80558	316281
89630	324774
82055	313401
81701	313066
81382	315196
80932	314073
82650	323090
81635	319652
81088	310326
83219	314332
80697	312521
82873	314384
81984	311796
96668	334687
81791	323423
76833	304809
78090	335081
80649	317198
81803	314629
82028	317118
80986	314201
81101	338329
81035	481326
89382	340064
81602	314116
90534	334136
82040	314798
82374	323687
81297	316926
81268	317795
82145	319995
82310	314993
81036	312234
82125	314999
81670	316221
82616	323617
82179	314963
86437	324835
82235	319610
81495	318105
81878	313709
82574	312862
81745	312838
82256	317334
81111	311792
82659	321807
80332	315349
82275	543472
96357	347541
81918	315817
82096	312108
81195	316843
81711	316111
82539	322226
81137	313782
82023	312092
80913	310518
82188	311742
81407	315383
81565	346494
86729	317106
81710	312821
81814	312513
81572	309636
81071	318217
83247	318177
80699	316673
81981	314868
80638	315229
82830	316769
82193	312403
80786	314742
87216	330122
81370	462786
90122	346985
82727	320607
81812	321313
82541	316957
82195	319720
83165	313483
81652	316201
82181	313626
82560	313448
81730	334424
90259	325363
81953	319363
82139	320059
81614	318680
80982	317504
81325	318573
81005	310664
82051	319844
81828	314584
82069	315570
82504	319104
80628	331983
87737	317474
82148	328374
80662	538803
89367	341602
82779	316118
83287	326680
81508	316323
81440	324403
81564	314668
81389	322549
82772	319273
91218	330162
81843	318619
81786	314210
81972	312796
81875	313967
81807	312544
82789	318480
82177	315071
81690	316966
81263	314068
81972	314671
82263	312351
86228	319346
81925	315028
82379	311186
81475	328418
83038	462741
88593	340052
83299	313843
82179	318634
80821	311416
81772	315688
81607	311770
105828	341367
81630	312871
81621	317010
82214	314942
82235	322212
83103	316296
81369	354139
96524	372487
96131	370224
96264	329558
81608	318476
81052	313288
86353	318518
81781	311177
80591	308603
81118	315203
80470	314045
81329	323009
80842	478218
89228	342433
82348	321179
81889	320654
82522	312388
103468	338722
81842	310598
81680	319662
80934	312968
81995	317563
81127	319316
81699	320160
81242	314078
81469	323540
81368	322047
81092	321598
81499	316478
85950	327565
80615	315848
81221	322071
80395	320078
82200	317781
81833	316671
81273	316808
81897	330021
81560	462864
88988	340656
80262	317502
81226	313285
90894	329675
80814	317928
81014	320257
80847	312243
81077	315863
80847	311852
79852	311833
81777	313490
82080	311410
81471	313678
81755	323718
80851	321456
87670	320151
80978	318021
81746	311466
80862	314949
82774	323993
83381	318339
81433	323622
82548	352987
95502	373040
96353	462715
95562	369051
102628	396775
98198	363674
96317	371692
95848	369524
97453	364318
97345	364941
97779	365112
95195	362304
95630	372710
95456	373756
119199	364294
81129	352404
94952	364061
96249	367124
95437	363290
96928	367012
96233	364990
85595	347688
86766	349930
85689	355304
101699	542493
120543	472743
93500	377766
86920	354404
85994	351161
86409	352687
85484	347213
86123	349133
87007	353168
86091	347955
86995	351649
93820	362118
87226	351722
87892	351732
85954	345540
86258	348839
85375	347310
86017	347453
86100	346541
84943	346210
87229	350830
85911	349261
91817	375689
87646	355499
85783	353150
86069	347479
86241	356693
85880	355938
86443	485643
92766	352439
86298	343859
85583	326351
112308	352981
85432	328445
86369	333911
86229	326734
85783	328073
86629	325922
86060	326779
86215	328025
86181	329728
85714	327262
85674	327350
85563	325639
91592	340370
86777	325727
86295	335156
86023	323548
84557	332536
87441	335220
86469	332142
84855	349393
86901	477718
94194	359513
86851	334639
94949	337985
86598	328894
87212	332711
87552	330973
86826	326331
86540	338270
87006	329965
86446	330259
85921	332348
87066	332462
86069	329731
102583	352815
87534	321339
81870	312615
83014	313297
81666	314920
82532	312351
81212	312429
81090	315130
82605	314883
81282	318203
82796	571220
89918	351045
90978	335369
82211	326675
81456	327009
83129	314958
81568	316058
82605	320507
81939	314857
80741	310737
82464	315909
81214	316201
82101	317139
82532	334692
86510	323602
82856	318348
81021	317071
81567	317859
81426	317838
81697	318619
81731	316132
81539	318273
81618	318240
81038	309207
81904	318067
82233	559062
97153	348719
81788	316991
80605	315857
81837	311791
81581	317674
80505	308917
81800	317566
80694	311652
82033	320941
82139	315591
