elapsed_after_write_registered_nsec	elapsed_after_write_completed_nsec	elapsed_after_fsync_registered_nsec	elapsed_after_fsync_completed_nsec	non_blocking_time_nsec
13530	113431	124007	1230958	23356
13170	60662	71235	952233	23113
13189	59791	70101	987291	22839
10106	60205	70285	972052	19583
13086	60098	70668	1149146	23027
13023	60085	70594	960722	22903
7569	54485	62838	2320986	15506
13143	62645	73088	972608	22934
13073	59701	70138	1034063	22880
7563	54479	62875	952976	15549
13126	63195	73585	1055336	22889
13136	60075	70474	940383	22909
13180	59855	70085	1011497	22754
7513	54688	62978	1087169	15389
12840	63638	74078	2188130	22590
13063	60705	71111	977355	22836
13073	72162	82561	1136821	22835
12979	63311	73764	950079	22779
12930	60712	71355	1053346	22920
12990	60992	71488	945676	22849
12960	61225	71568	1044927	22666
12963	62672	73078	944640	22669
13110	59852	70325	996635	22950
13086	60068	71654	987151	24026
13046	59261	69284	1058756	22479
12866	62341	72924	971532	22823
12969	60688	70841	1044740	22516
12956	60641	70771	1362654	22480
12813	63902	74218	1856876	22433
12926	60255	70851	957045	22869
13020	59909	70378	1091449	22852
12810	63572	73875	960209	22443
12896	71828	82314	1111928	22745
12916	61032	71325	947643	22572
12973	61038	71408	1007754	22707
12919	62854	72917	954275	22335
13076	61495	71718	1771049	22665
13113	59822	70338	1074023	22995
13000	63205	73561	1298066	22723
12933	60838	71101	1165683	22536
12986	60608	70931	1078006	22658
12999	61061	71401	972222	22703
12869	63298	73594	1063152	22499
13156	61092	71395	931770	22816
13043	60208	70868	1058999	23064
13046	60178	70605	2229596	22826
12972	62398	72644	1123524	22599
13000	61198	71801	961929	22943
34626	95661	106057	1150321	44332
13103	61938	72305	965046	22820
12956	59961	70361	1057523	22733
13150	60228	70531	938100	22819
12723	63554	74141	1071005	22640
13036	61911	72444	2332032	22936
13033	61145	71644	1083562	22879
13096	65118	75661	954719	22973
12970	60748	71031	1044177	22626
13033	60345	70821	960349	22862
13040	60032	70225	1057803	22600
13093	64155	74558	964559	22832
12949	61628	71941	2365322	22613
13073	75998	86511	1084909	22815
14143	62295	72708	1036910	23869
14147	61275	71542	982809	23764
13073	72014	82324	972215	22730
12753	63362	73558	954556	22302
12950	60615	71145	1017641	22829
12880	60862	71358	955013	22743
13056	61192	71635	1080002	22866
12959	63298	73574	2112915	22556
13087	60642	71128	1031887	22940
13053	59842	70125	894858	22693
12620	63719	73958	1013408	22186
12873	61448	72008	966952	22796
12937	60829	71155	1150011	22630
12986	60828	71178	1449692	22699
12936	64155	74514	1725037	22633
12980	61652	72051	966829	22716
12943	60708	71031	1096025	22592
12936	64322	74678	963279	22606
13106	71155	81484	1065816	22798
13176	60198	70688	952223	23003
13090	60158	70425	1168296	22720
12840	64095	74588	2383518	22650
12980	60922	71508	1186246	22906
13003	63804	74018	974088	22557
12927	61362	71958	1015004	22863
