before wait	after wait	rtt
430	3304	4215
229	3091	4863
210	3028	4558
214	3080	4903
209	3078	5011
212	3069	4892
203	3072	4999
209	3083	4980
196	3034	5005
215	3081	4982
200	3053	4935
209	3076	4914
197	3069	5038
209	3066	4900
202	3059	4927
213	3055	4923
202	3056	5021
225	3055	4931
198	3043	4973
214	3076	4903
202	3048	5032
210	3088	4922
198	3080	4926
227	3634	4933
219	3071	5794
231	3324	4842
196	3076	5017
215	3070	4918
194	3059	5065
209	3080	4885
198	3047	12931
209	3359	4388
196	3080	3830
216	3082	3758
200	3091	3718
209	3099	5253
200	3059	3682
212	3103	5084
206	3305	5049
212	3084	4964
200	3086	5061
218	3218	4943
198	3076	4926
210	3072	4888
202	3049	5104
217	3070	4906
200	3086	4951
211	3417	4887
193	3093	5044
219	3084	4929
193	3096	4913
207	3080	4923
197	3048	4979
210	3077	4880
200	3044	5000
210	3417	4996
202	3059	5570
219	3048	4960
198	3083	4893
208	3183	4914
248	3113	4954
213	3072	4897
208	3057	4911
210	3080	4912
195	3052	4962
216	3067	4975
196	3089	4937
211	3059	4924
200	3070	5076
215	3059	4943
206	3071	4956
212	3107	4918
198	3171	5022
215	3070	4902
199	3088	4985
214	3200	4949
192	3049	5089
216	3086	4932
198	3200	4971
207	3114	4933
198	3087	4958
217	3293	4903
194	3116	4952
210	3099	4939
198	3105	5040
209	3112	4925
196	3091	4912
217	3504	4971
196	3065	5625
221	3103	4954
193	3065	4964
212	3090	4924
196	3086	5032
214	3078	4916
195	3111	11354
214	3113	4231
198	3065	3767
219	3116	3804
196	3106	5120
211	3104	5070
200	3074	3791
211	3097	5049
204	3076	4966
216	3313	4973
198	3082	5080
219	3080	5013
196	3177	4977
210	3094	5025
210	3072	4958
208	3185	4981
196	3063	4975
211	3068	5007
198	3163	5045
219	3086	4930
196	3087	5011
208	3099	4951
196	3064	4967
206	3033	4941
198	3198	4970
221	3447	4937
198	3051	5520
217	3074	4975
198	3032	4979
211	3078	4948
198	3038	4975
212	3056	4960
198	3081	4984
212	3082	4905
198	3059	5000
219	3086	4872
198	3068	4969
214	3115	4920
193	3044	5040
211	3097	4864
210	3090	4947
212	3088	4926
198	3205	5005
217	3107	4928
196	3057	4952
213	3253	4912
197	3071	5095
213	3070	4931
198	3272	4992
212	3074	4865
196	3084	5078
217	3274	4937
196	3084	4941
212	3078	4939
200	3052	5027
213	3091	4918
196	3061	4929
209	3626	4887
215	3111	5703
227	3095	4952
196	3055	5002
208	3080	11291
198	3029	4417
214	3075	3747
200	3038	3758
215	3059	5074
200	3052	5065
223	3094	5054
198	3065	4916
221	3075	4964
198	3079	5028
214	3071	4947
209	3070	8369
214	3069	3825
194	3053	3744
221	3099	5152
196	3059	5044
211	3322	5047
196	3057	5091
213	3088	4990
196	3146	5045
213	3067	5034
198	3057	5072
219	3083	4998
198	3034	4992
213	3076	4975
200	3094	5059
209	3078	4858
198	3072	4954
211	3440	4880
198	3066	5562
221	3084	4905
200	3057	4958
212	3061	4901
244	3135	3819
221	3067	4806
192	3080	4889
210	3091	4962
198	3034	5019
217	3071	4933
196	3057	4981
212	3069	4901
197	3057	5033
213	3093	4952
204	3093	4937
212	3074	4981
198	3088	4960
215	3089	4880
198	3068	4952
211	3078	4906
281	3051	4999
209	3103	4941
198	3068	4981
213	3070	4933
196	3072	5015
214	3080	4945
200	3067	4920
212	3099	4909
198	3082	4979
215	3088	4907
198	3062	4921
212	3450	4915
200	3070	4306
218	3067	13101
198	3063	4606
210	3080	3775
200	3022	3723
211	3078	5068
200	3090	5063
211	3059	5065
198	3091	5011
219	3061	5027
198	3091	4929
206	3061	4977
196	3082	5074
213	3076	4996
205	3072	5021
209	3068	4937
196	3063	5000
223	3078	4954
198	3108	4910
210	3059	4964
202	3114	4981
211	3109	4964
196	3110	4943
213	3101	4973
197	3069	5111
215	3080	5001
196	3114	4922
215	3093	4990
194	3086	5047
207	3135	4921
198	3111	4947
217	3463	4962
196	3072	5620
216	3109	4922
196	3051	4916
212	3126	4928
198	3093	5091
211	3105	4924
198	3095	4954
209	3112	4864
200	3097	5071
217	3112	4931
198	3050	4970
211	3103	4918
200	3064	3767
208	3105	4981
206	3137	4964
213	3324	5004
198	3085	5064
221	3116	4916
198	3265	4958
213	3086	4908
196	3082	5021
214	3349	4943
202	7674	7878
295	3164	4633
200	3057	4979
232	3097	4945
194	3110	4906
208	3069	4937
197	3254	5019
215	3099	11377
192	3043	4523
223	3608	5246
219	3076	4463
240	3091	5019
197	3057	5107
211	3072	5026
196	3108	5137
214	3107	4989
200	3076	5005
213	3080	4992
200	3071	5059
218	3103	4886
198	3053	4949
215	3078	4891
200	3051	4944
213	3079	4891
204	3063	4954
212	3080	4922
198	3061	4966
215	3078	4924
196	3049	4914
211	3114	4870
196	3054	4912
215	3070	4851
199	3084	4909
212	3072	4884
196	3057	4937
217	3332	4895
199	3061	4882
210	3067	4886
200	3094	4954
209	3082	4927
196	3050	4968
213	3745	4925
199	3068	5596
219	3101	4965
196	3172	4968
211	3059	4960
229	3118	4955
210	3082	4804
205	3057	4979
213	3066	4978
200	3082	5017
216	3099	4939
196	3059	4996
213	3080	4918
198	3080	5036
210	3095	4939
204	3078	5004
217	3101	4987
196	3064	5042
217	3084	4985
196	3078	4977
211	3076	4954
198	3065	5052
211	3049	4958
200	3078	4933
211	3064	5009
198	3038	11169
218	3063	4393
198	3068	3743
213	3068	5190
196	3095	5021
213	3099	5044
196	3059	4999
217	3453	4930
198	3080	5491
219	3078	4922
200	3078	4921
213	3083	4921
195	3059	4964
212	3069	4973
195	3092	5044
213	3065	4990
194	3085	4956
217	3108	4979
198	3061	4988
213	3068	4979
196	3080	4952
208	3061	4987
206	3080	5000
213	3070	5006
200	3063	4958
215	3068	4983
198	3059	4897
208	3057	4966
206	3078	4987
213	3133	4907
196	3055	4902
207	3051	4898
196	3049	4914
215	3076	4979
200	3063	4874
212	3067	4893
192	3058	4971
210	3069	4901
196	3090	4928
211	3434	4923
200	3059	5499
221	3093	4906
195	3061	4926
209	3080	4906
200	3059	5026
210	3072	4844
200	3049	4927
214	3067	4890
198	3072	4960
217	3076	4843
190	3047	4965
216	3086	4962
200	3051	4904
211	3095	4828
202	3061	4972
213	3101	4891
199	3084	4928
219	3088	4865
196	3053	4952
210	3075	4928
208	3070	11015
213	3070	4379
198	3042	3754
209	3070	5053
195	3063	5105
217	3078	5032
197	3073	5010
209	3089	4990
194	3048	5063
213	3076	4935
197	3084	4922
215	3629	4968
211	3101	5657
229	3090	4947
197	3046	4981
213	3088	4920
198	3056	5046
212	3086	4895
198	3052	4914
207	3064	4967
198	3055	5009
217	3078	4973
196	3067	4920
215	3093	4979
196	3064	4958
215	3074	4937
205	3091	5028
217	3092	4926
198	3076	5036
219	3107	4905
200	3064	5028
210	3103	4954
196	3090	5027
208	3068	4969
196	3025	4899
210	3093	4926
198	3089	5059
217	3082	4962
196	3047	4921
212	3082	4951
200	3070	5051
212	3096	4968
196	3055	4962
220	3426	4956
198	3068	5493
217	3082	4946
200	3067	4939
213	3070	4940
229	3092	3926
209	3072	4902
198	3089	4973
211	3078	5015
196	3032	5023
217	3076	4916
200	3088	4932
211	3070	4958
198	3074	4977
208	3080	4931
202	3136	4901
212	3074	4893
198	3069	11507
217	3072	4213
194	3078	3756
212	3067	3739
198	3099	5173
210	3099	5069
198	3070	4971
212	3077	4930
196	3063	5053
219	3086	4933
197	3080	4974
213	3103	4931
196	3088	5002
209	3063	4985
198	3097	4939
219	3424	4986
195	3071	5518
217	3072	5030
198	3101	5000
211	3070	4914
194	3093	4893
209	3068	4918
199	3080	4957
213	3068	4952
198	3053	4864
217	3080	4935
196	3049	4878
211	3078	4926
197	3103	4861
212	3071	4880
204	3105	4922
210	3061	4861
194	3059	4945
217	3081	4925
197	3082	4922
212	3057	4892
197	3090	4981
210	3067	4884
198	3185	4903
215	3081	4916
200	3068	4969
229	3301	4872
197	3067	4909
213	3068	4870
200	3090	4947
211	3078	4983
196	3086	4952
211	3679	4952
200	3047	5508
218	3084	4907
196	3259	4937
209	3079	4929
197	3054	5010
221	3345	4882
196	3048	4899
208	3093	4865
202	3082	5049
213	3076	4868
198	3061	4945
211	3078	4843
194	3061	14839
212	3073	4221
200	3065	3762
211	3108	3790
198	3076	3741
219	3093	5324
198	3043	5152
209	3131	5060
198	3070	5160
211	3074	4937
200	3057	5000
209	3080	4902
197	3050	5052
217	3099	4883
199	3054	4905
211	3080	4901
196	3160	5002
208	3078	4949
200	3085	4866
217	3651	4867
214	3073	5695
236	3095	4880
198	3056	4935
211	3072	4878
196	3049	4960
213	3084	4859
198	3028	4916
215	3046	4891
196	3198	4952
217	3088	4905
198	3053	4897
211	3078	4903
200	3055	4981
215	3061	4937
200	3082	4876
212	3096	4896
197	3048	4987
219	3112	4897
200	3046	4924
209	3078	4931
198	3053	4973
213	3082	4914
198	3057	4905
207	3074	4883
197	3067	5014
225	3093	4966
197	3082	4922
212	3076	4920
196	3084	5011
211	3074	4916
198	3055	4916
213	3436	4891
198	3061	5571
219	3080	4902
198	3086	4956
210	3069	4932
227	3114	5118
213	3070	4830
204	3069	4876
214	3075	4985
196	3088	11764
221	3087	4335
198	3093	3697
212	3063	5202
196	3059	3722
214	3077	5197
206	3066	5047
211	3093	5087
198	3116	5116
214	3080	5071
196	3061	4901
213	3124	4929
198	3070	3754
211	3066	5028
199	3069	4964
211	3072	4947
199	3063	4888
219	3103	4924
196	3062	4912
213	3069	4886
196	3043	4922
211	3072	4879
198	3093	4916
211	3478	4901
224	3074	5557
219	3074	4918
200	3070	4914
210	3088	4903
194	3059	4970
213	3097	4922
198	3064	4897
210	3107	4914
198	3053	4963
221	3084	4946
198	3062	4927
210	3088	4932
198	3062	4954
215	3072	4904
206	3101	4952
212	3061	4916
197	3061	5006
215	3070	4893
197	3057	4905
212	3052	4958
196	3103	4973
212	3071	4878
196	3083	4910
213	3084	5025
196	3074	5032
219	3086	4956
197	3094	4939
212	3067	4920
195	3050	5040
208	3055	4964
200	3063	5028
219	3415	4918
196	3055	4276
219	3112	5023
197	3080	4955
211	3083	4923
198	3021	5061
212	3092	13269
202	3065	4247
206	3082	5210
198	3078	3760
215	3072	5061
198	3083	5081
213	3070	5023
198	3061	5057
210	3063	4945
206	3055	5000
211	3059	4967
200	3078	4897
215	3084	4888
192	3078	4933
211	3066	4912
210	3037	4833
211	3070	4842
192	3047	4954
211	3070	4843
198	3051	4902
219	3087	4908
194	3055	4926
211	3083	4899
194	3044	4885
209	3078	4874
196	3057	4931
210	3602	4897
212	3076	5535
227	3097	4928
196	3053	4906
209	3066	4876
202	3053	4895
207	3076	4900
198	3055	4965
213	3080	4863
198	3049	4897
223	3087	4878
200	3070	4839
215	3068	4836
198	3072	5009
214	3067	4869
206	3072	4954
215	3076	4874
194	3053	4914
221	3117	4896
196	3217	4908
210	3078	4914
196	3059	4939
210	3069	4903
196	3049	4910
214	3071	4911
196	3080	4893
219	3049	4924
200	3061	4864
211	3089	4903
200	3122	5002
214	3082	4852
200	3064	4931
219	3427	4827
198	3093	5470
215	3061	11467
200	3072	4261
213	3249	5304
223	3114	3975
214	3094	4916
195	3058	5014
209	3072	5003
198	3055	4998
215	3080	4965
200	3053	4982
212	3078	4926
198	3080	4979
210	3059	4931
200	3067	4970
211	3114	4916
198	3069	5057
215	3067	4916
198	3082	4893
212	3078	4926
198	3069	5004
213	3068	4908
200	3064	4935
213	3068	4902
201	3064	4923
219	3086	4930
204	3072	4914
211	3074	4933
196	3091	4963
210	3067	4905
204	3069	4909
213	3495	4927
200	3091	5571
207	3062	4952
198	3091	4897
211	3061	4908
196	3089	4984
213	3093	4919
198	3061	4945
208	3051	4931
200	3070	4988
216	3086	4955
194	3053	4885
212	3082	4975
200	3065	4964
214	3069	4952
201	3066	4910
213	3048	4929
196	3058	4948
219	3093	4977
196	3082	4956
211	3065	4937
197	3058	5025
212	3072	4933
200	3070	5022
214	3076	4989
196	3068	4996
219	3074	4969
198	3084	4937
214	3084	4928
200	3057	11295
212	3078	4257
200	3078	3747
219	3440	5226
