write_duration_nsec	flush_duration_nsec
23446	1077546
28606	859849
28506	995515
30406	852835
28442	1574908
28355	861235
28263	878848
28360	842996
28746	968713
28339	842982
28282	861688
30409	1009305
28342	884008
28263	853062
28326	1364207
18252	889657
28265	865248
28233	837833
28212	857835
28226	842059
28495	1812724
28506	972456
28612	932246
30676	851659
28549	1049733
28403	1973084
30449	1018181
28613	839019
28600	1031604
28556	847686
28530	926244
28646	848382
28439	1397616
28493	1617037
30536	879045
28293	846329
28226	878021
28239	865925
28852	886641
28546	840153
28543	1410777
28503	1656426
30665	901197
28559	855036
28226	887475
28296	935880
30646	898978
28613	854142
28443	1363524
28486	1664569
30822	894174
28412	893171
28333	929767
30699	997251
28379	892861
28389	856022
28266	2180377
30769	1067426
28583	1061013
28476	1023297
30859	980855
28556	1047986
28585	972685
28303	2069981
41879	1156150
28693	1070306
28582	1046719
30912	872525
29059	1038023
28629	855425
28639	2074993
31093	894315
28613	988175
28676	855195
30972	935070
28716	853192
28740	882152
28533	918980
28406	2107726
30989	881228
28755	925070
28613	851139
30829	931457
28629	850058
28596	875811
28346	939530
30519	1550779
28600	868769
28682	923083
28636	848206
30949	977575
28626	850835
28653	962166
28409	837329
28372	1871113
30573	993779
28423	1069653
28702	853555
30489	880145
28382	856248
28356	908967
28343	817407
30583	885805
28636	1009071
28729	910391
28579	852565
28699	884448
30573	871679
28459	2103119
28599	916034
30623	914237
28626	857595
28439	977818
28496	803974
18549	962619
28636	1087075
28552	1457681
28702	855619
28483	957046
28422	842129
28502	1026534
28422	858618
30743	923817
28689	840449
28653	921600
28743	1398283
31503	1002881
28633	837433
37806	907884
28626	961592
30579	1785959
28733	847636
28686	914631
28686	852899
30846	898471
28605	841515
28380	2147089
30896	892057
28690	965842
28632	852788
28806	914153
30826	843779
28609	955352
28452	848985
28479	2133195
30809	957095
28656	897564
28640	855672
28639	870122
30886	845576
28670	869409
28516	827690
28640	2126409
30812	864215
28646	1021414
28996	842619
28659	928044
30832	858618
28670	873165
28366	858672
28440	2172941
30872	851458
28726	1072666
28539	857789
30949	980601
28622	847779
28596	919047
28409	888124
30939	2164401
28532	916123
28739	1010121
30922	858458
28733	883551
28572	851152
28715	921923
28686	2087584
30759	977856
28689	850659
28633	895165
31203	1062439
28593	1061386
28539	980425
28606	888151
30806	2227953
29086	934390
28669	878458
31092	1075105
28729	990655
28513	979042
28593	843020
30752	1037893
28675	994268
37779	922070
28672	2068637
30836	1140784
28756	1017308
28672	863032
30806	1008854
28649	1019547
28685	841259
28739	1061013
30939	2053798
28659	1092892
28729	861912
30883	957193
28676	977082
28682	1011081
28636	955062
30803	1070000
28613	2082661
28593	912524
31019	853882
28549	967282
29049	934403
28549	914564
30992	910457
28619	911443
28686	2082474
30370	1082879
28619	883725
28539	910030
28649	900444
28553	881505
30909	866102
28566	867928
28493	995378
28399	2533104
30766	857439
28386	877528
28509	856832
30596	867329
28592	848142
28413	876768
28399	820130
30852	1326318
28752	1849163
28836	927647
30912	858098
28686	882111
28579	853872
28502	876111
28509	845246
31432	929533
28665	1958177
28585	903350
31012	862391
28733	872352
28529	840555
28520	864289
28505	899527
30519	874142
28503	920821
28419	2114995
30916	928697
28899	959669
28670	849189
37949	923086
31033	865076
28596	872925
28556	851889
28426	1348294
30532	1892535
28813	936560
28699	862299
28649	914297
30973	873668
28622	871618
28595	844059
28726	938430
31043	2224726
28549	1051570
29249	1063119
31059	969882
28679	895990
28582	964619
28469	856338
30899	2143315
28622	927083
28696	886671
31796	861232
28746	963176
28616	845676
28389	912647
28449	868982
30472	2232716
28502	968212
30809	974659
28652	850525
28712	874738
28762	841379
28753	866432
30776	836996
28503	958219
28436	853356
28375	2160961
30909	1014161
28579	1024054
28672	963272
31072	977122
28690	909884
29033	933300
28436	910154
30960	2097490
28649	857392
28820	875192
28610	844379
30843	870912
28516	854618
28792	871621
28460	810757
30526	1022351
28799	2214933
28676	1022627
30849	891711
28689	905697
28659	838502
28436	859596
28436	889021
30463	998445
28423	2122599
37966	1124441
30653	906658
28440	951100
28529	906087
28436	861889
30716	835116
28452	871755
28465	839955
28372	841409
31246	1012655
28526	981912
28469	836476
28453	2042535
30602	857915
28483	968939
28526	871155
28309	869605
31006	846502
28519	950233
28495	827969
28376	2240913
31170	916647
28439	861888
28343	810880
30632	961539
28459	835982
28393	1046657
28466	845836
28446	863502
30493	838583
28452	855782
28636	838863
28320	1128028
30629	882941
28603	2541494
28362	861262
30546	876448
28599	830316
28999	875702
28469	793104
66035	941683
30973	884405
28803	948470
28846	2037958
30769	959096
28676	846672
28619	862725
28566	834606
30926	866285
28702	839379
28779	874138
28513	976215
28543	2185861
30789	1026374
28755	886871
46002	875964
28702	873311
28622	846632
28756	875458
28703	849313
30876	1435205
28395	1720703
28476	932163
31066	848139
37939	908297
28689	844299
28729	876072
29053	832446
30893	2129532
28442	1061963
28422	971205
30792	846062
28305	854568
28439	835396
28529	865765
30893	853179
28716	1002441
28623	867672
28689	2258858
30926	930856
28753	866315
28460	839090
47879	892035
30645	838635
28466	861782
28446	843689
28456	1417950
30876	1637089
28756	934016
28699	838179
30973	966402
28632	848982
28519	2214900
30959	887258
28609	882458
28729	950856
28969	917791
28663	864566
30849	923937
28676	842862
28466	2283458
31029	860272
28646	872565
28582	991028
28692	874858
30969	835433
28619	868085
28629	839262
28486	898528
28473	909448
30739	984045
28625	890914
28446	2147702
30769	846769
28433	870008
28529	844649
28342	877524
30919	842152
28722	874031
28606	847019
28753	988402
28665	2178037
30769	963566
28466	881768
28579	969152
31086	840196
28532	875288
28439	817956
37995	1034707
30802	2150941
28529	982522
28636	869352
30766	877472
28632	853969
28479	884181
28466	842183
47159	887488
28609	847982
28502	869141
28519	843262
28572	1079705
30915	1935707
28729	929883
28669	812619
30479	943726
27833	847852
28439	960805
28483	828530
28426	1500390
30619	894201
28596	888887
28516	846676
28533	885781
30682	828716
28899	857582
28452	823956
28452	844382
30493	1631997
28672	943669
28789	900497
28703	884138
30832	866075
28413	870009
28439	827303
28499	858982
30529	856205
28800	2091383
28943	1034877
30863	886338
28659	851472
28746	883551
28622	852435
28612	891591
30809	852126
28683	2187154
28565	963642
31179	983295
28596	852726
28645	882097
28566	845419
45359	901007
30625	865515
28573	2214410
45599	1002965
30515	899647
28466	855355
28466	879768
28559	862965
30799	871605
28556	857872
28715	2316416
30912	1010547
38503	911181
28519	849556
28493	887818
30615	857072
28646	874725
28569	852992
28692	877605
28789	852366
30779	879061
28496	957765
28589	880848
28360	1048947
30879	1412750
28822	861258
28766	920667
28636	856392
30889	984882
28632	2212609
28486	935777
31209	854925
29103	869925
28662	844832
28626	862579
42889	868632
30910	954766
28376	858262
28442	2107582
31090	1033134
28619	885724
28582	852885
28779	873645
31005	849712
28713	863022
28376	825490
28359	922234
28479	2138039
30712	972605
28452	850475
28479	908101
30739	849516
28360	864049
28396	849262
28493	837233
30736	1404043
28599	1766672
28876	1015174
30676	913777
28716	850489
28519	868968
28839	841249
28426	908074
30519	846249
28459	864729
28303	857449
28529	961256
30866	2103823
28459	923510
28796	851156
30770	920671
28639	844676
28479	864515
28585	831396
28386	1001631
30459	1428326
38769	957139
28656	905754
30716	870048
28773	851526
28675	868765
28593	844166
28690	864779
30966	1713558
28356	865462
28436	839423
28333	919860
30656	853022
28396	867249
28503	835116
28863	844529
30565	854342
28709	1447948
28650	1681412
31020	1006122
28709	850902
28402	1144987
28409	1453348
30759	958509
28812	2044038
28569	949576
30866	850753
28719	965816
28690	845209
28346	937407
30599	853036
28649	913844
28595	866138
28606	2264218
