elapsed_after_memcpy_nsec	elapsed_after_msync_nsec	elapsed_after_fsync_nsec
14339	274617	291890
7422	182170	191886
6400	337538	348309
13683	261704	277784
7011	340027	351375
14111	269177	285759
7771	180969	190991
6357	349083	359777
13968	719297	737613
24873	330108	1012465
14471	323191	342059
14028	331988	350390
13416	270161	285983
7131	192689	202037
6534	1181349	1192220
13665	331488	349501
13974	276198	292840
18742	191621	784238
14383	337641	356373
13616	287996	304701
8694	188672	199534
6714	342789	353934
14137	267902	284390
7656	181058	191000
6423	434180	444940
13668	271289	287366
7466	214362	224008
6329	363852	374567
25337	1309485	2057813
14282	326374	345030
13933	326491	344833
13906	271729	288118
7289	189128	198654
6368	348516	359221
13620	301685	318351
8176	343576	356089
24971	277229	866398
14536	261007	278506
7557	339565	351459
14111	291300	308402
7996	185829	196080
6102	347485	357924
13962	290395	307394
8628	182126	193000
6406	428527	439270
14254	270738	287397
6943	186126	195595
17702	757378	2118493
14431	339773	358601
13603	271058	287095
7760	193663	203600
6163	347313	357813
13962	290486	307508
8263	194157	204808
17663	389477	1012208
14596	264364	281897
7620	181652	191546
6549	338576	349499
14057	286390	303539
8769	188403	199415
6757	336769	347863
14419	251323	268562
21812	179332	203370
6537	334968	345842
14162	290264	307405
8636	187435	198505
18583	346610	1396941
14477	1028387	1047296
13668	342450	360481
13728	283386	300217
8406	187217	197829
6852	343253	354442
13745	249630	265869
18340	187054	826382
14234	290093	307878
8768	319553	332695
13317	285376	301724
8454	187655	198386
6423	440166	451020
13836	262476	278703
6697	188463	197491
5869	346290	356496
13912	270002	286305
7206	183320	192749
6083	366848	375454
18116	187061	780580
14266	300257	318100
8494	662121	675035
13728	1111429	1129576
13753	347116	365206
14120	321196	339653
14199	292146	309456
19639	302497	995585
13951	266312	283171
7231	182175	191711
6174	353373	363966
13603	289208	305831
8145	202772	213179
6283	431756	442376
13763	284242	301007
8552	187871	198655
6217	347034	357623
13919	272698	289289
18568	183897	870812
14359	329645	348401
13751	321128	339276
13489	271318	287224
7394	1434062	1445793
13802	352404	370543
13622	280890	297114
18554	295700	931128
14097	271006	288069
7491	341353	353207
13580	286584	303219
8345	183623	194203
6632	347617	358597
13556	283325	299918
8154	191389	201683
6297	426329	436963
13557	263362	279325
7486	197688	207434
6680	345669	356686
25162	259164	894980
14383	266721	284072
7383	184477	194109
6434	341633	352439
13711	329839	347875
14069	1325073	1342276
8114	344844	355398
17954	207662	796169
13985	269353	286272
7180	190863	200269
6332	425313	435982
13779	262664	278806
7299	177347	186903
6348	346142	356827
13651	264146	280226
7117	190789	200157
6365	451793	462495
13780	279076	295916
7859	188669	199023
17631	327837	903847
14008	346098	364458
13562	271628	287599
7492	199734	209451
6505	344952	355794
13942	270447	286760
7723	265027	276277
22810	1404288	1431504
24857	349021	952524
14368	291896	309804
7951	200240	210428
6243	431269	441906
13716	283714	300401
8566	185746	196492
6014	344503	354854
13523	286864	303393
8209	187077	197552
6080	421872	432920
28320	270745	858010
14065	286191	303833
8191	187272	197729
6406	430483	441226
14220	265781	282369
6817	188178	197229
6094	335059	344322
7754	190512	200437
6109	395522	404789
7583	1389446	1401449
24811	279822	878758
14428	270815	288243
7543	191992	201775
6434	426622	437393
13714	280456	297150
8486	190746	201400
6351	343954	354642
13828	290714	307522
8017	191243	201482
5792	411442	421608
24725	267712	874589
13874	255944	272790
7294	197320	206825
6552	444861	455844
13291	284268	300573
8151	190509	200849
5969	348591	358897
13777	272084	288223
7743	184340	194334
6212	761458	772032
24591	1026708	1659127
14148	273214	290393
7574	192255	202134
6728	432177	443337
13951	271410	287813
7117	197771	207174
5975	347002	357372
13825	275744	292020
18057	184934	825919
13982	286121	303714
7949	331227	343613
13151	288151	304424
8060	188340	198648
6517	439437	450371
14025	272942	289413
7540	186789	196620
6463	344357	355214
14040	289972	307020
8554	197975	208777
5955	440627	450953
24610	716466	1392097
14326	287860	305226
7282	190255	199840
6206	437890	448490
13459	286811	303284
8429	183757	194355
6486	339320	350143
13605	281465	298053
8185	187083	197654
17522	423970	1050584
14076	326041	344514
14011	321014	339387
13791	286079	302961
8271	1076425	1089033
13742	340442	358521
13448	322379	340164
13474	266447	282623
18439	192455	1310811
13997	1024247	1042676
13417	328022	345847
13320	337273	354990
13643	325305	343356
13323	325633	343293
13854	337930	356121
25362	326879	906900
14180	280438	297243
6880	187918	197035
6668	364678	373529
5855	203891	211943
5863	401186	409246
5805	223442	231456
5899	346296	356532
13905	281897	298781
8169	330883	343389
13620	292007	308721
19268	196815	790968
14131	306380	324228
7791	1390197	1400248
6008	351482	360678
7697	255461	265267
5791	258718	266658
5557	195991	203717
5657	326748	334816
17774	337141	909528
14636	275925	293516
7425	182981	192606
6782	343643	354762
13928	291114	308057
8708	182690	193646
6345	344893	355575
14228	379258	397823
13448	272097	287902
7062	204057	213368
6526	367959	376891
17388	195563	797752
13693	273317	289953
7114	184849	194246
6643	488278	499341
14188	1364026	1382551
13868	331854	350059
14308	317802	335190
19285	197066	909151
14094	271540	288491
7491	184321	194097
6631	343320	354383
13783	287813	304650
8583	186932	197769
6634	431082	442050
13785	311947	330069
13611	318814	336762
13720	363978	382035
13605	282209	298437
18842	189780	901642
13765	334357	352530
13439	332505	350307
13325	269478	285326
6963	337604	348904
13814	1384912	1403063
13691	289863	306203
18371	196843	845510
14083	322011	340491
13831	329785	347990
13402	271020	286867
7826	194114	204269
6302	333904	344543
13471	262536	278381
6943	182092	191240
6372	426673	437382
13874	289175	306009
8165	190035	200351
6151	336362	345507
19206	333559	1040053
14651	267363	285034
7342	189249	198828
6634	348902	359930
13214	271865	287496
6951	237744	246998
6286	1412064	1422687
24796	367201	980054
14377	275991	293310
7811	187486	197560
6217	434401	445012
13668	270895	287020
7736	193206	203202
6603	344016	354956
13631	265998	282000
7220	182598	192106
6217	434919	445473
13882	267964	284386
18568	187957	783937
14414	404928	423725
13494	278207	294098
7286	200806	210274
6743	336863	347943
14142	262670	279155
6674	205168	214174
6403	341376	352116
14063	761149	779549
14056	1005006	1023456
24839	345122	1005434
13922	324180	342510
13574	313868	331816
13720	332048	350142
13366	261447	277235
6522	185669	194460
6243	342653	353233
13672	272200	288441
18765	316634	902954
13765	269466	286206
7362	186832	196408
6075	349755	360224
13285	385301	403017
13308	290872	307183
8006	187214	197412
5851	342847	353070
13597	265549	281503
6817	252332	262127
7643	817565	829602
24679	287630	882157
13934	268638	285569
7468	188080	197857
6117	437102	447613
13311	263923	279625
7417	196075	205692
6274	345545	356156
13697	268133	284245
7365	177729	187297
5940	400738	410992
24834	231400	821934
14356	286595	304551
8428	185721	196377
5920	425563	435911
13297	269812	285523
7071	185517	194791
6171	350380	360888
13471	1047710	1065518
13459	305860	321933
18699	382235	2122462
14511	330405	349290
14283	324690	343347
13825	331365	349598
13783	318893	337013
13962	282317	298713
7383	186346	196243
17554	327618	901065
13980	338570	356887
13311	271809	287483
6768	180404	189409
6023	346221	356581
13820	288300	305140
8499	189721	200451
6297	423113	433747
13545	272810	288772
7103	196714	206091
6325	357941	368678
24597	336527	1050824
14106	270881	287958
7543	198848	208603
6657	342207	353296
13474	268133	284027
7011	183624	192832
6000	423129	433466
13823	274075	290255
7292	186386	195961
6454	342584	353375
13957	279110	295616
18180	186426	831778
13809	269876	286717
6923	183272	192483
6586	342060	352983
14063	320865	339265
13911	305823	322885
8620	276458	288306
7702	282483	293368
8414	246695	257249
5615	252921	260659
5622	249279	257001
5928	457642	465924
17468	274135	969215
7788	244793	254961
5891	264667	272675
5542	320266	327959
5591	261496	269181
5937	260261	268309
6169	755678	763981
5617	303631	311402
5651	279755	287546
5603	311397	319374
12702	250159	793511
8446	331530	344290
13783	266106	282306
7231	345573	357236
13651	270791	286876
7554	184389	194240
6462	348493	359292
14054	270973	287441
6791	182886	191920
6974	436416	447727
13608	294803	312748
25202	324028	932745
14494	371241	390166
13917	336516	354770
13491	265347	281335
7500	193649	203340
6397	346556	357290
13913	276001	292340
7394	184635	194314
6140	437199	447676
13605	289101	305863
8406	187811	198657
17725	336756	925453
14480	337941	356750
13896	266691	282947
7185	201231	210622
6285	347292	357914
13554	268382	284339
6605	204283	213105
6240	408753	418150
7757	184938	194855
5880	314142	322216
5797	197483	205455
6143	351767	362273
25991	266601	883041
14171	267901	285055
7357	194131	203680
5940	466201	476478
13429	290397	306892
8005	335568	347910
13857	274063	290332
7500	179683	189412
6565	731748	742641
24734	361104	1099840
13840	290496	307958
7897	1381764	1394081
13416	353876	371666
13294	318413	336044
13563	293363	309991
7854	321611	332488
19394	191408	783920
13899	265141	282014
7286	184203	193786
6200	427767	438399
13639	270655	286717
7142	201235	210605
5934	457752	468021
13540	278605	295162
8363	186715	197260
5854	430475	440666
13756	269678	285986
18236	185329	775055
14219	269850	286991
6997	342033	353393
13285	296621	312983
8168	190012	200303
6000	349941	360278
13600	265409	281383
6726	181923	190926
6094	434842	445273
13485	284571	301064
8248	1384025	1396667
24971	341487	969323
14031	348703	367071
13079	283684	299794
8023	189371	199563
6131	348653	359121
13440	348110	365887
13734	282887	299138
18228	328741	910541
14182	264247	281300
6842	181855	190988
5840	349261	359438
13694	281919	298641
7965	183521	193686
5800	345894	356031
13702	287562	304292
8003	185869	196086
5840	328172	337158
7545	302926	313651
7551	289360	299781
31807	196966	1933424
13797	329525	347696
13526	321562	339425
13648	264124	280169
6857	207420	216500
6137	337173	347647
13654	265001	281067
7277	187386	197145
17374	516481	1102209
14157	272782	289947
6957	186986	196094
6149	340443	351012
13751	268648	284819
7311	195132	204734
6100	347788	358225
14669	259552	276615
7014	197037	206277
5969	342747	353053
13454	284819	300796
17751	188046	780528
13822	344925	363121
13337	679649	697417
13402	1141913	1159746
13700	334799	352836
13431	321799	339567
14002	275470	292126
17988	186097	896468
13748	346476	364632
13600	331847	349821
13985	325494	343853
13582	324619	342538
13946	317534	335817
13799	268134	284325
7037	183646	192917
6360	337934	348631
14174	284368	301562
7940	188460	198849
17105	334021	907870
14249	274746	291972
7328	177938	187540
6066	342885	353288
13406	275240	291043
7291	267459	278260
22315	204326	228755
5826	333505	343668
13434	266494	282376
6888	337398	348623
13545	266313	282243
6566	324425	333510
17468	187989	1905974
6486	306325	317148
13500	315362	333199
13494	270770	286636
6968	199957	209131
5934	347580	357851
13825	266314	282476
6528	195949	205000
17734	334754	913221
14280	267244	284421
6929	183454	192592
6506	334048	344891
14137	264518	281035
6546	339335	350218
13622	283934	300561
7880	183829	193849
5780	350089	360206
13657	290440	307163
8126	184932	195301
6128	401480	411936
25202	267502	2008034
14299	330408	349044
13836	262204	278457
6848	356044	367241
13448	284773	301318
7880	183689	193783
6303	305670	314350
17194	178975	887223
13942	280111	297650
7988	184440	194677
6317	347474	358162
13703	270554	286745
7202	176101	185526
6131	432572	443040
13802	315591	333730
13554	298748	315482
7931	283238	294326
7891	245639	255853
17788	292452	946804
14034	272322	289302
6862	236237	245324
6063	1462168	1472565
13808	417902	434850
8272	354801	366230
7800	258510	268758
17713	302863	892943
14408	266628	284005
6886	329720	339763
7734	185089	194997
6151	323603	332911
7685	182281	192140
5628	304042	311890
5597	248796	256541
5543	310162	317842
6765	248688	257561
5640	252758	260547
5608	263818	271743
17125	273719	969892
14008	254113	271129
7083	250847	260101
5763	251458	259364
5674	329679	337513
5900	1339002	1347102
5386	380897	388458
5432	474669	484498
25254	339673	947784
14433	257564	274923
6871	344928	356230
13480	271908	287805
7029	192174	201515
6283	344846	355560
13546	270511	286431
7411	186635	196285
6360	441751	452506
13796	290282	307092
19214	194040	786902
13831	262927	279712
6826	349141	360361
13528	282923	299506
8062	187924	198243
6340	344919	355679
13414	675475	693261
14097	994937	1013417
24656	430064	1070992
14183	290124	307919
8409	191357	201977
6385	347800	358580
13333	273820	289584
7005	183207	192491
6132	338669	349138
13765	273298	289463
6603	176918	185778
6294	345087	355718
13594	278883	294977
18177	182355	769136
13817	259678	276523
