elapsed_after_write_registered_nsec	elapsed_after_write_completed_nsec	elapsed_after_fsync_registered_nsec	elapsed_after_fsync_completed_nsec	non_blocking_time_nsec
13360	72535	82311	1016675	22482
13059	48795	58665	945259	22282
13107	41683	51699	850836	22543
13069	58081	68154	1038020	22522
13227	61755	72008	894878	22823
13163	59858	70008	1028587	22697
13057	60328	70308	924537	22423
7414	52989	60752	988945	14873
13163	61149	70885	2090880	22276
13199	59958	70134	994731	22738
7327	52376	60435	884632	15069
13126	61835	72225	994165	22862
13123	59402	69492	890868	22563
13137	59672	69855	965373	22677
7263	53745	61742	1116055	14929
13193	61755	72038	1042733	22833
13186	59232	69421	891194	22748
13166	59488	69291	998837	22349
7363	53182	61058	966362	14946
13093	61059	70842	1449279	22253
13113	59011	69154	1673895	22616
13086	58555	68481	987054	22349
13083	61169	71225	968959	22463
13230	59722	69802	993185	22663
13133	58941	69028	937359	22570
7270	53549	61615	988855	15005
14383	62278	72535	893858	23983
13137	59659	69245	984385	22100
13143	59295	68985	964112	22233
7196	53268	61062	2047231	14699
13126	61305	71365	938556	22542
13113	59688	69671	966572	22449
7156	65401	73421	1000814	14846
13086	61762	71965	999998	22626
13089	59208	69558	906360	22786
13129	59408	69725	958646	22793
7430	53955	61725	2112809	14919
13003	62434	72474	999811	22420
13133	59832	70065	931980	22703
13136	59798	69881	1035543	22579
12936	63618	73901	940280	22542
12993	61345	71452	1026801	22472
12967	61722	71808	885752	22429
13143	59355	69201	1486064	22376
13063	63378	73588	1541219	22623
13066	60458	70665	1052240	22650
12953	60572	70711	946619	22466
12993	50319	60552	1022161	22579
13183	59499	69812	894565	22846
13220	59975	69875	1017118	22486
13186	59981	70048	881604	22603
12606	62232	72305	2459243	22066
12973	60279	70402	907534	22479
13003	60725	71068	1097398	22686
9690	59878	76431	917567	25590
12949	60268	70371	1019650	22402
13136	59835	70018	895334	22679
13073	59798	70144	1052256	22776
12983	63355	73568	890654	22513
12993	59865	69792	1017325	22329
