initiation_duration_nsec	write_duration_nsec	fsync_duration_nsec
13873	120280	929437
13456	75071	873502
13556	74041	872118
12629	74237	857512
12520	69361	919077
13920	76271	921337
13553	74117	876331
13573	70844	860012
13669	71301	949156
13749	74491	853002
12576	74027	1431995
13487	114634	1593652
14099	102750	909711
13513	73485	1040487
13579	73901	872225
13673	73775	849969
16210	83111	883079
13546	70502	868686
13519	70928	2147959
13483	119743	969442
13656	71115	874588
12446	69825	1008105
13596	70905	901118
13683	70824	910504
13983	73461	862252
13560	70948	854972
13560	70741	2166012
13913	73695	856446
13659	73968	870932
12583	72571	859349
12527	72662	958306
13316	75571	867688
13766	74084	883251
13617	73695	855246
13646	74088	2112546
13916	73621	849476
13613	71074	871418
12386	69648	853732
13563	70784	1040804
13146	73268	869168
13656	74254	870785
13603	84475	887309
8076	68084	2232966
13616	123089	921447
13523	77911	881821
13630	73768	865896
12389	76671	1069256
13526	72078	890034
13540	71981	866889
13613	70892	986982
13529	70621	2053641
13867	73328	877725
13523	70564	868732
13526	70881	949527
13883	77238	878998
12527	72712	888559
13453	73314	873385
13480	73455	1386824
12953	120306	1764986
13193	103110	907381
13340	73605	851029
12533	73424	864495
13453	74895	874212
12406	73581	1013298
12490	73841	881065
12530	72395	2139913
13769	115600	1021007
13593	73815	867089
13547	73175	878345
13800	75945	861366
13609	73771	866782
13613	74108	956129
13673	74548	871532
12880	76308	2139476
13230	107017	915221
12476	72611	868678
13820	77094	870582
13553	71768	864372
13476	74691	869772
13667	70788	1075093
18766	82827	912087
13702	68518	2358749
13460	70381	877595
12913	71322	897205
13286	67391	874382
12350	67818	857166
13459	69481	867612
13476	69594	1072396
13917	69405	884902
13496	66241	867982
13419	66205	876412
13510	66188	896315
12707	55922	872319
13327	67638	1097429
13410	70808	948703
13606	69178	856169
13196	71451	1120188
13460	71572	884915
13606	68648	879278
13456	69131	1385367
13592	74104	930930
13443	67825	870372
13473	50678	854049
13403	49682	841106
12329	66175	924797
12833	67678	1097336
13486	67648	884398
13513	65611	871292
13459	65515	880491
13930	54862	2010709
13466	68481	1067313
13580	68378	897158
13796	70658	900487
13496	68651	929500
13593	51875	951316
12329	64128	836293
7800	60588	922964
13313	68748	899185
13606	53095	877692
13396	68728	2078434
13633	72538	968183
13679	68251	868008
13376	68141	992181
13446	68908	868835
13080	54195	882979
13343	65591	856572
13500	65875	875972
