write_duration_nsec	flush_duration_nsec
23636	1019348
30812	848542
28329	948029
28399	980055
28506	933387
30602	968649
28455	993218
28373	858196
28526	2127732
30546	864168
28489	961936
28522	1017177
28346	921657
30926	886608
28793	1000855
28529	957869
28439	987205
30870	2055455
28856	976486
28546	949976
30699	948269
28345	845409
28303	945233
28320	828873
30702	947949
28493	852729
28533	913528
28733	861646
28519	914631
30916	906514
28269	1334794
28402	1703331
41966	1084216
28556	862512
28453	953540
28499	856028
31022	971885
28603	902887
28676	957433
28912	870688
30975	962335
28866	897941
28536	939146
28625	1982216
30359	1014200
28725	890861
28589	994258
28782	871728
31446	986418
28796	978152
28572	2170024
30686	1010728
28533	963273
28586	873219
28539	955102
30783	863782
28449	936660
28476	2107760
30782	1020484
28756	865609
28669	1008165
28690	874699
31179	1004108
28332	853452
38079	1080015
28496	2023418
30809	1001228
28466	859045
28515	936563
30646	879088
28870	957899
13220	827067
28693	1379994
31065	1744623
28529	1087962
28556	857552
28546	1014481
31156	878698
28419	976922
28339	869312
28646	2234352
30536	969122
28606	936723
28513	865095
30736	948417
28552	876058
28566	905284
28516	1001668
30983	2124626
28636	1037630
28633	996565
30929	852595
28759	990512
28742	862382
28472	983882
30966	2164421
38019	1053909
28793	847752
30923	992472
28766	856448
28793	999138
28655	871381
30813	1475111
28703	1706611
28635	1048963
31056	848249
29113	989365
28673	853792
28826	970019
30995	878194
28459	2153568
28349	903277
31166	979169
28366	854059
28486	978202
28446	850619
28459	963362
30903	874329
28706	2242276
28659	838179
30983	943873
28820	839783
28756	894871
28406	818140
30846	974662
28673	940820
28636	1130894
28662	880754
41156	1065176
28820	865262
28910	986672
28409	1549825
31063	985779
28699	2041588
28749	1026937
31552	855009
28822	943773
28859	825196
28829	905394
31046	855275
28490	1009481
28479	869551
28513	2190847
30786	854526
28646	997228
28540	865606
28489	990298
30726	847375
28499	994054
28432	2083557
30996	1068842
28879	856289
28899	996191
28813	858232
31069	982739
28383	842579
28552	1067372
28425	1862203
30786	1031107
28459	856419
37982	984922
30809	869742
28926	981032
28886	851422
29245	1383456
31092	1610107
28952	1013617
28552	847525
28566	990548
30645	858912
28566	990108
28506	877818
28556	2134795
30889	1084229
28853	1026244
28683	904578
31079	998898
28749	860875
28819	992951
28579	1364844
30839	1734837
28756	878982
28816	997965
30996	860955
28752	987538
28829	852249
28906	928607
30909	2071523
28702	1056802
28743	843089
31016	1009951
28652	852129
38013	1038697
29213	850916
28419	1001281
30662	2084503
28642	1002435
30902	868381
28792	987164
28619	853662
28806	946619
28779	852712
31069	1363474
28842	1650303
28802	1021947
30826	966965
28766	939833
28736	869355
28819	954019
30919	860968
28766	2120133
28756	923634
31039	964059
28463	842886
28525	983068
28406	885804
28499	989428
30849	920030
28636	2190061
30742	977018
28792	972605
28643	847302
28779	1076469
29159	862448
41219	1005871
28566	1061413
28409	986428
28432	838842
30813	953416
28555	850472
28513	904924
28485	1388773
30846	2070330
28699	903497
28733	969736
30759	957749
28553	1009468
28673	845073
28579	975895
31036	1004738
28769	1444712
28772	1745116
30880	1123815
28846	1058529
28569	945736
28379	860725
30709	1044120
28446	865671
28459	2385455
30689	1043337
28845	1017430
28692	855902
31632	955152
28752	867021
28852	1096002
28566	922787
37925	2204406
30509	946696
28546	980908
30972	865155
28446	959056
28569	880258
28472	995481
28566	1999452
30825	1021453
28699	862351
28566	972572
30995	866461
28912	918047
28886	861955
28966	1004271
31092	2228089
28446	1068213
28489	857432
37182	1008978
28646	856182
28739	1003351
28689	1042377
30876	1070016
28713	902331
28946	2090360
31420	901261
28813	974472
28829	865779
28786	958219
31042	1013551
28749	994471
28663	846210
38383	1553559
30879	1770289
28606	990139
28696	867275
31145	993858
28843	1525060
28809	987391
28766	845329
30819	992271
28503	856009
28510	972952
28532	823063
18659	979358
28632	843009
28842	1876966
28813	885555
31086	980658
28833	854369
28870	968139
28356	873485
30939	970779
28859	2046361
29216	1093122
30893	861595
28762	966419
28829	860969
28846	931833
31146	851169
28863	993418
28793	2126639
30783	1100949
28756	846409
37966	999498
28815	856835
31036	984858
28426	840489
28436	1366674
28440	1559146
30819	1054309
28513	852022
28503	909647
28422	839445
30952	992538
28476	1056683
28503	2184130
30849	1056789
28709	984845
28772	847769
28450	998858
30932	858248
28965	973952
29202	845769
28823	2329517
30872	1099455
28586	1043070
28552	1004871
30589	954219
28636	841582
28436	938660
28443	940736
31102	911260
28776	843209
28826	1197905
28800	857232
41125	1497657
28772	1054146
28669	2082093
30969	876355
28869	982232
28752	1011177
28705	1002857
30809	854195
28806	998645
28706	904848
28636	1000911
31009	2100546
28723	954219
28759	940616
30862	930820
28825	958192
29349	974125
28843	1085256
31142	2215743
28769	852836
28806	999084
30949	915234
28846	977445
28773	841116
28772	1012151
30936	994298
28463	1003578
29383	2025682
30863	1015057
28529	1061629
28613	993985
28626	859409
42012	1028510
29053	2074307
28739	1081402
31146	859612
28745	1063576
28779	875048
