before wait	after wait	rtt
427	3179	4602
209	2940	4716
202	2943	3676
201	3215	4996
204	2945	3668
196	2918	3634
204	2949	3652
194	2918	3630
205	2944	3645
204	2976	4979
205	2971	3657
196	2918	3657
203	2977	3645
201	2982	3649
212	2979	4957
198	2949	3653
202	2925	3611
200	2917	3652
206	2956	4996
200	2956	3659
206	2981	3665
196	2973	4939
200	2970	5044
200	3518	5006
217	2951	4303
211	2992	5045
213	2969	5021
196	2947	3489
209	2945	3685
198	2969	4983
231	2989	3731
200	2971	3527
201	2940	3670
206	2951	3505
202	2951	3648
194	2973	4981
206	2949	3678
199	2964	4932
206	2970	3671
196	2925	3640
208	2939	3674
201	2950	3683
209	2929	4978
196	2939	3628
205	2981	3659
208	2973	4985
206	2964	11362
200	2968	4495
206	2974	3795
204	2929	3665
206	2962	3657
201	2958	3660
202	2971	3647
200	2964	3666
205	2946	3638
200	3358	5109
209	3177	5752
204	2964	3661
211	2925	3623
192	2944	3647
206	2974	3684
195	2941	3638
205	2923	3640
198	2948	3653
208	2951	3625
199	2963	3666
204	2977	3686
200	2981	3663
206	2987	3686
196	2916	3633
206	2945	3667
202	2922	3613
206	2951	3652
206	2977	3657
207	2979	3657
196	2918	3621
204	2958	3654
194	2943	3640
206	2964	3703
196	2972	3674
208	2983	3653
202	2941	4966
206	2947	3655
196	2958	3636
207	2990	3661
194	2973	3678
210	2972	5015
202	3329	4971
204	2979	4252
206	2972	4951
208	2939	3657
200	2970	5002
207	2962	3668
194	2967	4980
209	2965	5015
202	2970	4945
210	2958	3636
198	2969	3645
208	2974	4987
196	2966	5004
204	2957	3667
196	2950	4952
206	2985	3690
198	2965	3670
206	2981	3654
200	2975	4960
208	2970	4953
198	2914	3629
297	2949	3638
195	2945	4979
203	2923	3638
198	3103	4994
205	2982	3670
198	2972	3642
203	2958	3661
225	2956	4627
210	2975	3642
205	2971	3662
205	2931	3664
204	3348	4941
208	2945	4173
198	2946	3632
210	2966	3671
198	2970	4964
208	2972	3677
198	2943	5013
208	2972	5012
194	2956	3632
207	2939	3674
202	2947	4960
203	2979	4977
192	2928	3646
210	2928	3659
203	2979	4950
205	2952	5011
198	2951	3627
208	2945	3651
200	2962	4990
204	2955	11251
200	2967	4251
204	2945	3779
200	2924	3649
202	2943	3674
193	2968	3631
206	2979	3692
200	2967	3678
210	2991	3722
195	2945	3629
206	2937	3674
194	2946	3639
208	2929	3638
206	3556	5167
215	2965	4382
213	2975	5072
207	2965	3662
192	2935	3636
200	2977	4962
198	2981	3686
206	2972	4947
196	2949	3642
207	2971	3647
203	3036	5018
204	2979	3649
198	2965	3651
202	2976	3669
195	2960	3648
204	2945	3650
196	2973	4979
202	2939	3671
202	2965	4946
202	2922	3653
200	2958	3638
206	2922	3648
194	2967	4988
207	2931	4998
194	2930	4949
198	2966	3651
202	2939	3674
204	2924	4950
196	2958	3630
202	2941	3627
194	2958	3632
206	2950	3672
199	3292	5052
206	2949	4208
200	2952	3629
204	2975	3663
202	2956	3663
202	2955	3659
200	2979	4985
206	2951	3678
198	2971	3676
202	2972	3672
200	2950	4948
203	2975	3649
194	2942	3649
206	2979	3693
194	2939	3640
202	2954	3690
192	2931	3661
204	2951	3781
200	2979	3696
204	2979	4942
192	2954	3655
207	2982	3687
196	2986	4925
204	2953	3720
194	2933	4938
202	2952	3655
204	2922	3634
205	2969	4978
190	2939	3624
204	2981	3649
195	2951	3623
202	2986	4994
202	3375	5004
206	2920	4202
202	2954	3642
210	2979	5017
198	2964	4981
208	2972	3680
198	2977	4969
202	2960	4954
197	2941	3654
206	2969	3674
205	2961	4967
202	2973	4992
198	2944	4925
201	2977	11344
200	2962	4333
207	2948	3750
196	2954	3708
198	2947	3652
221	3002	3670
203	2979	3666
195	2949	3652
206	2991	3665
191	2943	3646
208	2974	3678
194	2971	3643
202	2975	3647
208	2945	3633
200	2969	3649
255	2988	4820
206	2972	4955
200	2916	3609
205	2929	3672
203	3278	5036
208	2973	5562
202	2971	4943
210	2949	3503
193	2975	3676
205	2990	3683
196	2914	3638
204	2926	3672
192	2935	3618
202	2983	3642
204	2920	3657
202	2970	7623
197	2918	3636
207	2967	3670
202	2948	3661
206	2911	3663
197	2907	3627
205	2925	3584
202	2918	3610
204	2945	3634
194	2981	3687
207	2971	3668
194	2931	3636
209	2971	3676
195	2981	3656
202	2981	3621
198	2972	3688
206	2973	5055
196	2947	3648
206	2987	3653
196	2973	3632
208	2977	3654
204	3484	5034
225	2987	4253
210	2974	3522
212	2968	3518
196	2918	3478
206	2987	3657
193	2951	3471
202	2960	3701
198	2983	4979
209	2961	3651
202	2956	3484
208	2974	3675
200	2971	3646
204	2968	3672
196	2946	3636
208	2962	3671
194	2956	3632
206	2985	3653
202	2976	3686
207	2963	5013
198	2964	5032
206	2964	3640
194	2918	3655
204	2937	3672
198	2950	4942
202	2939	3651
203	2984	3657
204	2941	3703
196	2916	4916
204	2960	3661
198	2956	4966
204	2950	3668
202	3301	5076
200	2945	4156
204	2915	3650
210	2979	4991
196	2943	3630
202	2932	3661
200	2939	3611
201	2967	3693
200	2930	3634
203	2961	3634
202	2926	3623
210	2928	3623
200	2980	3643
201	2916	3632
193	2943	3648
210	2931	3634
196	2971	3645
207	2921	13472
200	2924	4358
208	2968	3766
198	2970	3671
206	2975	3680
195	2935	3623
204	2965	3674
198	2979	3655
204	2952	3621
202	2913	3612
204	2954	3697
196	2943	3684
208	2956	3667
194	2949	3632
206	2960	3676
202	3356	5049
200	2964	4236
200	2954	3662
209	2984	5019
196	2952	3653
208	2983	3690
198	2966	5006
202	2973	3651
198	2968	3675
206	2975	3674
199	2952	3626
203	2961	3630
197	2947	3644
203	2958	3653
193	2968	3648
204	2966	5025
198	2971	3676
206	2977	3686
200	2966	4983
202	2977	4894
196	2952	3685
200	2971	3682
196	2960	3627
204	2983	3680
198	2947	3653
207	2958	3632
204	2974	3682
203	2950	4984
225	2991	3945
206	2947	4994
200	2939	5007
200	2958	3655
200	3292	4972
204	2956	4171
202	2960	3672
208	2964	3631
192	2954	3628
202	2948	3642
196	2981	3646
204	2924	3621
194	2958	3787
204	2977	3693
198	2948	3647
202	2964	4973
196	2952	3657
204	2930	3655
196	2971	3670
202	2991	3671
195	2911	3614
204	2977	3693
202	2966	3640
202	2925	3630
200	2970	3657
204	2975	3657
197	2947	3656
206	2977	3674
199	2972	3650
204	2991	3688
206	2970	3684
210	2962	3699
196	2937	4981
200	2973	3687
196	2939	3628
207	2965	3695
206	3549	5017
215	2980	4319
206	2979	3644
206	2956	3670
198	2960	3638
202	2926	3661
200	2966	4950
211	2952	3695
198	2951	3655
206	2983	3689
198	2969	4925
203	2977	3680
198	2979	4990
206	2960	3642
200	2954	3626
204	2981	3722
196	2966	4954
204	2958	3652
204	2977	3655
205	2977	11533
198	2935	4377
208	2972	3768
191	2966	3669
208	2962	3670
200	2961	3670
204	2941	3634
198	2950	3621
210	2979	3648
198	2958	3644
204	2962	3678
196	2946	3628
205	2980	3672
202	3297	5074
206	2975	4215
200	2977	5023
212	2987	4994
196	2935	3621
208	2952	3636
200	2921	3638
210	2966	5025
196	2951	3629
200	3030	3710
206	2979	3693
202	2956	3634
194	2941	3680
208	2985	3661
200	2956	3626
200	2952	3676
192	2905	3625
208	2947	3672
198	2960	3663
202	2924	3648
202	2924	3615
203	2952	3658
196	2948	3632
200	2969	3668
199	3021	5092
204	2966	3661
204	2968	3638
205	2982	3687
196	2931	4977
208	2966	3654
194	2973	3678
212	2968	4991
196	3362	5000
204	2983	4276
202	2972	4936
207	2925	3664
194	2950	3657
205	2973	3643
198	3004	4994
204	2956	3659
202	2971	3630
204	2975	3650
198	2941	3625
206	2941	3682
200	2951	3617
205	2958	3638
196	2977	5004
206	3191	5017
196	2971	3683
206	2969	3682
198	2960	4924
206	2977	5011
195	2955	4993
202	2973	3640
195	2909	3621
206	2965	3670
196	2975	3683
206	3025	3729
198	2916	3643
204	2954	3668
232	3005	4034
206	2987	3701
199	2955	3648
208	3025	5040
201	3297	4925
205	2919	4159
200	2958	3670
206	2975	4970
194	2956	3613
209	2971	3649
192	2910	3598
206	2941	3680
194	2970	3653
205	2952	3640
198	2933	3669
202	2975	4987
